class,name,mmol/g,metacyc_identifier
Amino_Acids,Alanine ,0.4754229375,L-ALPHA-ALANINE
Amino_Acids,Arginine,0.2251985,ARG
Amino_Acids,Asparagine ,0.2367665625,ASN
Amino_Acids,Aspartate ,0.2792665625,L-ASPARTATE
Amino_Acids,Cysteine,0.045895,CYS
Amino_Acids,Glutamate ,0.4162925,GLT
Amino_Acids,Glutamine ,0.1782925,GLN
Amino_Acids,Histidine,0.091184625,HIS
Amino_Acids,Glycine,0.469657125,GLY
Amino_Acids,Isoleucine ,0.2478804375,ILE
Amino_Acids,Leucine,0.3643808125,LEU
Amino_Acids,Lysine ,0.2630426875,LYS
Amino_Acids,Methionine,0.124172375,MET 
Amino_Acids,Phenylalanine ,0.1837309375,PHE
Amino_Acids,Proline,0.2062665625,PRO
Amino_Acids,Serine,0.2214485,SER
Amino_Acids,Threonine ,0.2534225625,THR
Amino_Acids,Tryptophan,0.0734605625,TRP
Amino_Acids,Tyrosine ,0.13022425,TYR
Amino_Acids,Valine,0.350542875,VAL
FAME,C14 (myristate),0.009,CPD-7836
FAME,C15 (pentadecanoic acid) ,0.002,CPD-8462
FAME,C16 (palmitate) ,0.2173333333,PALMITATE
FAME,C18 (stearate),0.0015,STEARIC_ACID
Phospholipids,Phosphatidylserine (1%)*,0.008,L-1-PHOSPHATIDYL-SERINE
Phospholipids,Phosphatidylethanolamine (50%)* ,0.107006,L-1-PHOSPHATIDYL-ETHANOLAMINE
Phospholipids,Dipalmitoyl phosphatidate (4)* ,0.0035,CPD0-1422 
Phospholipids,Dipalmitoyl phosphatidate (4)* ,0.0035,CPD-9245
Phospholipids,Cardiolipin (11)*,0.011,CARDIOLIPIN
Phospholipids,Phosphatidylglycerol (34)*,0.0346666667,L-1-PHOSPHATIDYL-GLYCEROL
Sterols,tetrahymanol,0.025,CPD-14517
Sterols,aminotriol (III) 65% of BHP ,0.008,CPD-14521
Sterols,aminotetrol and 3-Me-aminotetrol <3% BHP ,0.003,CPD-14520
Sterols,squalene,0.0265,SQUALENE
Sterols,lanosterol,0.0225,LANOSTEROL
Sterols,Diplopterol,0.013,CPD-14518
Intracellular_Metabolites,Ribulose-5-phosphate/Ribose-5-phosphate ,0.001,RIBOSE-5P
Intracellular_Metabolites,Fructose-1 6-bisphosphate ,0.001,FRUCTOSE-16-DIPHOSPHATE
Intracellular_Metabolites,Fructose-6-phosphate ,0.003,FRUCTOSE-6P
Intracellular_Metabolites,Glucose-6-phosphate,0.002,GLC-6-P GLC-1-P
Intracellular_Metabolites,Glyceraldehyde-3-phosphate/Dihydroxyacetone ,0.003,GAP
Intracellular_Metabolites,6-Phosphogluconic acid,0.00015,CPD-2961
Intracellular_Metabolites,2-dehydro-3-deoxy-phosphogluconate ,3.00E-06,2-KETO-3-DEOXY-6-P-GLUCONATE
Intracellular_Metabolites,Phosphoglycerate,0.006,G3P
Intracellular_Metabolites,Phosphoenolpyruvate ,0.005,PHOSPHO-ENOL-PYRUVATE
Intracellular_Metabolites,Pyruvate,0.015,PYRUVATE
Intracellular_Metabolites,Acetyl-CoA ,0.0001,ACETYL-COA
Intracellular_Metabolites,Succinate,0.002,SUC
Intracellular_Metabolites,Malate,0.004,MAL
Intracellular_Metabolites,Fumarate,0.001,FUM
Intracellular_Metabolites,Citrate,0.001,CIT
Intracellular_Metabolites,Glycerate ,0.001,GLYCERATE
Intracellular_Metabolites,polyP (PPi),0.029,PPI
Cofactors,Thiamin B1,0.0001615,THIAMINE-PYROPHOSPHATE
Cofactors,Riboflavin B2,0.0001615,RIBOFLAVIN
