,0
0,1CMET2-PWY
1,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY
2,ANAGLYCOLYSIS-PWY
3,ARGSYNBSUB-PWY
4,AST-PWY
5,CALVIN-PWY
6,CATECHOL-ORTHO-CLEAVAGE-PWY
7,CENTFERM-PWY
8,CHLOROPHYLL-SYN
9,COA-PWY
10,CODH-PWY
11,CRNFORCAT-PWY
12,DAPLYSINESYN-PWY
13,DENITRIFICATION-PWY
14,DHGLUCONATE-PYR-CAT-PWY
15,DTDPRHAMSYN-PWY
16,FAO-PWY
17,FASYN-ELONG-PWY
18,FERMENTATION-PWY
19,FORMASS-PWY
20,PWY-7909
21,FUCCAT-PWY
22,GALACTARDEG-PWY
23,GALACTUROCAT-PWY
24,GALLATE-DEGRADATION-I-PWY
25,GALLATE-DEGRADATION-II-PWY
26,GLUCARDEG-PWY
27,GLUCONEO-PWY
28,GLUCOSE1PMETAB-PWY
29,GLUTORN-PWY
30,GLYCOCAT-PWY
31,GLYCOGENSYNTH-PWY
32,GLYCOLYSIS
33,GLYOXYLATE-BYPASS
34,HCAMHPDEG-PWY
35,HEME-BIOSYNTHESIS-II
36,HEMESYN2-PWY
37,HISDEG-PWY
38,HISTSYN-PWY
39,HOMOSER-METSYN-PWY
40,ILEUSYN-PWY
41,LEU-DEG2-PWY
42,METH-ACETATE-PWY
43,METHYLGALLATE-DEGRADATION-PWY
44,NAD-BIOSYNTHESIS-II
45,NAGLIPASYN-PWY
46,NONMEVIPP-PWY
47,NONOXIPENT-PWY
48,P101-PWY
49,P105-PWY
50,P108-PWY
51,P122-PWY
52,P124-PWY
53,P161-PWY
54,P162-PWY
55,P163-PWY
56,P164-PWY
57,P184-PWY
58,P221-PWY
59,P23-PWY
60,P241-PWY
61,P261-PWY
62,P42-PWY
63,P562-PWY
64,PANTO-PWY
65,PPGPPMET-PWY
66,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
67,PWY-1269
68,PWY-1361
69,PWY-1622
70,PWY-1723
71,PWY-1801
72,PWY-181
73,PWY-1861
74,PWY-2941
75,PWY-2942
76,PWY-3661
77,PWY-3781
78,PWY-3801
79,PWY-4361
80,PWY-4984
81,PWY-5022
82,PWY-5028
83,PWY-5097
84,PWY-5101
85,PWY-5103
