,0
0,1CMET2-PWY
1,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY
2,ANAGLYCOLYSIS-PWY
3,ARGSYNBSUB-PWY
4,AST-PWY
5,CALVIN-PWY
6,CATECHOL-ORTHO-CLEAVAGE-PWY
7,CENTFERM-PWY
8,COA-PWY
9,CRNFORCAT-PWY
10,DAPLYSINESYN-PWY
11,DENITRIFICATION-PWY
12,DHGLUCONATE-PYR-CAT-PWY
13,DTDPRHAMSYN-PWY
14,FAO-PWY
15,FASYN-ELONG-PWY
16,FERMENTATION-PWY
17,FORMASS-PWY
18,FOVITHF-PWY
19,GALACTARDEG-PWY
20,GALACTUROCAT-PWY
21,GALLATE-DEGRADATION-I-PWY
22,GALLATE-DEGRADATION-II-PWY
23,GLUCARDEG-PWY
24,GLUCONEO-PWY
25,GLUCOSE1PMETAB-PWY
26,GLUTORN-PWY
27,GLYCOCAT-PWY
28,GLYCOGENSYNTH-PWY
29,GLYCOLYSIS
30,GLYOXYLATE-BYPASS
31,HCAMHPDEG-PWY
32,HEME-BIOSYNTHESIS-II
33,HEMESYN2-PWY
34,HISDEG-PWY
35,HISTSYN-PWY
36,HOMOSER-METSYN-PWY
37,ILEUSYN-PWY
38,LEU-DEG2-PWY
39,METHYLGALLATE-DEGRADATION-PWY
40,NAD-BIOSYNTHESIS-II
41,NAGLIPASYN-PWY
42,NONMEVIPP-PWY
43,NONOXIPENT-PWY
44,P101-PWY
45,P105-PWY
46,P108-PWY
47,P122-PWY
48,P124-PWY
49,P161-PWY
50,P163-PWY
51,P164-PWY
52,P221-PWY
53,P23-PWY
54,P241-PWY
55,P261-PWY
56,P42-PWY
57,P562-PWY
58,PANTO-PWY
59,PPGPPMET-PWY
60,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
61,PWY-1269
62,PWY-1361
63,PWY-1622
64,PWY-1723
65,PWY-1801
66,PWY-181
67,PWY-1861
68,PWY-2941
69,PWY-2942
70,PWY-3661
71,PWY-3781
72,PWY-4361
73,PWY-4984
74,PWY-5022
75,PWY-5028
76,PWY-5097
77,PWY-5101
78,PWY-5103
79,PWY-5104
80,PWY-5154
81,PWY-5188
82,PWY-5189
83,PWY-5384
84,PWY-5419
85,PWY-5484
86,PWY-5509
87,PWY-5531
