,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,0.0,0.0,0.0,0.0,6.250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,2.355003971889683,0.0,-6.250000000000001,0.0,0.0,0.0,0.0,0.0,3.894996028110318,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,7.567823210434658e-06,2.6692646263458454e-07,-0.15113024865055008,0.00016097349258827057,0.08133710559653551,1.0979012136315162e-08,0.0,5.23221408608874e-07,5.074489520215052e-05,1.809216399825804e-07,3.2173669212680322e-06,8.898155186259284e-08,0.06953369126869785,0.0,9.656457591533926e-07,3.3757103018909107e-05,1.1544285413329007e-06
ARG,6.73163605016141e-06,2.3784682748323143e-07,-0.00017361134655761158,1.6330218314327107e-05,1.172118679710464e-05,2.1848064721953662e-08,7.416288066159473e-05,4.6617978186713363e-07,4.52955498259066e-05,2.0178792252693302e-07,3.0480065315274135e-06,2.0930320401530253e-07,8.792340963476127e-06,8.052542191272284e-07,5.209796909192701e-07,4.037307188431364e-06,1.029020514423452e-06
ASN,3.689660848873056e-06,3.071819366606992e-07,-0.1503290890395599,1.360447558481888e-05,0.15029612642769546,1.4603164469249445e-08,6.857136453542908e-05,3.2675109428550387e-07,-6.625772601828852e-05,1.0669423486873593e-07,2.1363849491220514e-06,4.5078314232040926e-08,6.162659006018188e-06,1.0605253507976824e-06,3.6516101883824875e-07,2.8297978443060497e-06,0.0
L_ASPARTATE,0.0,1.5936266932369982e-07,0.0627368834931868,1.8399809903452535e-05,-0.08496492587558298,0.0,0.022053678506304183,0.0,0.00013941028152375127,1.565624092963472e-07,4.7086755199710624e-06,1.3197487256293992e-07,0.0,5.215959998604791e-06,2.0055036391711508e-07,3.962642353808865e-06,2.0180564767215377e-06
CYS,6.892499907620243e-07,2.425958744785638e-08,-1.4618132821661863e-05,1.672045657017051e-06,7.363257474002428e-06,6.57526972059486e-09,1.1149559388250813e-05,-1.7477485690750153e-07,-6.807557172989461e-06,1.5521887164753972e-08,3.135732046280375e-07,6.5849241089857256e-09,9.045395748276072e-07,-7.082214945618284e-07,-3.557228644498623e-07,4.1337854892839156e-07,1.0586370370212297e-07
GLT,0.007942094790159211,3.5134546850931684e-07,0.010455988420414937,-0.00011406068696818565,-0.020472987802951093,3.773179237632946e-08,0.04066108297501153,6.89692736564088e-07,0.0001913638695922073,6.121001572939335e-07,4.388682668278861e-06,0.0,-0.038633094687269,-6.737881888342778e-06,-4.5315579241391567e-07,-3.254385801383335e-05,3.2684648804405065e-06
GLN,5.634082361972413e-06,1.98330845152056e-07,-0.02070149648732225,1.0639376693792135e-05,0.020575895928253905,-4.786879102976153e-09,6.248374087933865e-05,4.067594907390952e-07,2.9584800046481243e-05,6.699640936339087e-08,2.320100638393412e-06,-3.018716538649273e-08,1.0137647391834154e-05,7.661010643340701e-07,5.305769960499396e-07,1.6406950923103448e-06,1.226325203086552e-06
HIS,2.7256910706756397e-06,9.630600481498527e-08,0.03655338389926805,1.035522936490775e-05,-0.03663410861929921,5.5075565782589635e-09,3.0029119234698503e-05,3.864811848506295e-07,2.8678117022434056e-05,9.637678478618512e-08,1.9268300590043718e-06,4.071961995228565e-08,3.560086296392673e-06,3.2605360990161427e-07,2.1094867294674373e-07,1.6347366481314868e-06,6.525169010612712e-07
GLY,8.108565953805121e-06,1.6812475696355852e-07,0.7110967518420475,1.2790940796186253e-05,-0.7113619092095467,1.4582539666885759e-09,6.847334725117665e-05,2.270767575147849e-06,0.00015556387518400068,1.0759984445667747e-07,3.6714643816678437e-06,3.2740336754954115e-08,6.217869184400601e-06,3.655802675477224e-06,1.1414472315938094e-07,2.855149505596692e-06,1.1255170761194994e-06
ILE,-0.009507998810836273,2.618027014146649e-07,0.06824055984347249,0.0,1.2901741846795257e-05,1.497199674259507e-08,8.163254775079047e-05,5.131332947727434e-07,4.9857706457408795e-05,-1.0569120939415742e-07,1.3640845519503815e-06,0.0,-0.04633642841573893,8.863592259094898e-07,-0.012549293383176277,5.834109662588723e-06,0.0
LEU,1.0892075273201663e-05,3.8484634777268573e-07,0.14607018865948534,-7.529600610391229e-05,-0.14603774722496693,2.2008628001611238e-08,0.00011999871541245798,7.542988416344642e-07,-7.046458497291677e-05,3.268742411285856e-07,4.931805036282505e-06,1.0406245243773422e-07,1.4226384030304214e-05,1.302935795019205e-06,8.429674401612908e-07,-4.5029331692608606e-05,4.561514752604328e-06
LYS,-0.009501741738380958,3.093583367632096e-07,0.08862781356007321,2.125612062001787e-05,9.11085213235072e-06,1.9495427736818645e-08,-0.0329168999845054,6.063423400558908e-07,5.2907382411501994e-05,1.7780258739425157e-07,3.5602183388012106e-06,1.17310030319345e-07,-0.046307074119262825,3.311155880740644e-06,6.08529355356826e-07,4.715769124164037e-06,1.2019454907851404e-06
PHE,8.238133622996194e-06,2.910754431778292e-07,0.1104790136250488,1.9984817890281015e-05,-0.11067177569717028,1.6646048965726074e-08,9.108955122860548e-05,5.705078686285453e-07,5.543240739878581e-05,1.86450655459977e-07,3.7301311157316522e-06,7.8706799835285e-08,5.320467577804568e-06,9.854650204228586e-07,6.375716507367171e-07,4.940831002677746e-06,1.25930879736456e-06
PRO,5.138101971031008e-06,1.8154297766376723e-07,0.020076264274621808,1.2464477622226598e-05,8.946510556461517e-06,1.0382096347882376e-08,-0.02015015674887975,3.5582423622098383e-07,3.457304466628784e-05,1.1618750570481103e-07,1.6339174605375874e-06,4.9089221160282646e-08,6.710990329509886e-06,6.146319051784506e-07,3.976517382747158e-07,3.0815831200558504e-06,-3.814611487532153e-07
SER,0.0,1.8348468244631385e-07,-1.1123742328475676,1.0319376247899268e-05,1.1124811606376142,0.0,2.769662017749388e-05,-2.329956493193924e-06,-0.0001475636134762252,8.841983866078277e-08,0.0,6.712442548263627e-08,5.09846241792476e-06,-3.218024086469771e-06,3.891810145680312e-07,2.3411352056684467e-06,0.0
THR,0.006348655843767364,1.784374007917339e-07,-0.04574725386210006,1.3649728271037108e-05,1.247921093742832e-05,-5.965031951179564e-09,5.5638461948438166e-05,3.5004229790829767e-07,3.39816186067778e-05,1.1419993650670969e-07,3.6159466211523207e-06,9.54437734824351e-08,0.03090400040107963,6.041176641204943e-07,0.008366968739825,6.063995262720058e-06,8.63639739654632e-07
TRP,4.025789289220666e-06,1.4224197556463992e-07,0.05398859135931631,9.766127801706817e-06,-0.05408528690710066,8.134547058935673e-09,4.435238750289234e-05,2.7879427210669424e-07,2.708856182653003e-05,9.103486436136956e-08,1.8228305803614363e-06,3.8462230192678626e-08,5.258173765512705e-06,4.815744324716451e-07,3.1156682327678733e-07,2.4144721900244242e-06,6.15395683082858e-07
TYR,5.838997079722325e-06,2.0652136256853467e-07,0.07830494957335325,1.426158029440202e-05,-0.07844538487738724,1.6984535405884424e-08,6.43286179436964e-05,4.0505822683065813e-07,3.938411435505706e-05,1.3203679302894054e-07,2.6438299848573065e-06,2.7116436177528904e-08,7.626445165351607e-06,6.99654633623583e-07,4.5189592414154905e-07,3.5198825782216584e-06,8.92568720875638e-07
VAL,8.732026243799821e-06,3.085259993428055e-07,-0.12198043251679858,2.118294777452587e-05,0.12172913145709446,1.764401296169217e-08,9.620131204765766e-05,6.047109587118991e-07,5.8755691314843894e-05,1.3031282411767332e-07,3.95375995170334e-06,8.34254302222946e-08,1.1405095502105888e-05,1.0445456233750026e-06,6.757953489604814e-07,4.820526667177893e-05,0.0
RIBOSE_5P,2.4910009207289697e-08,1.2988068802316606e-07,-4.733257295017565,5.709242244560614e-06,0.0,2.167923420334879e-08,4.052217193830047e-05,1.826526425040588e-07,-8.565188405312963e-06,0.0,4.733216208374897,0.0,2.5803285526578726e-06,4.6602595576561565e-07,0.0,1.4939809354974103e-08,0.0
FRUCTOSE_16_DIPHOSPHATE,0.0,1.0341175251958253e-07,8.628262923193,7.251477391868552e-08,-1.86450607893614e-06,-5.217394380672319e-09,0.0,0.0,2.01136108037605e-07,-5.730301687703521e-07,-8.628245945454676,-9.961448720628316e-09,1.6387360067870156e-06,4.0389811097876027e-07,2.3134243386135782e-09,-1.6947033410524173e-05,0.0
FRUCTOSE_6P,4.901602295729815e-06,3.535407519688481e-07,-0.19830988779881797,2.2610820778426763e-05,0.19818201567621566,0.0,5.4276837868147943e-05,-6.105631634439395e-07,4.3891408598928574e-05,0.0,0.0,-6.55031428667652e-08,0.0,-2.741808758232632e-07,1.5755206117449971e-06,0.0,1.2126388801534187e-06
GAP,0.0,0.0,3.2163812307421216,-3.4078879992584134e-06,-3.27372240917125,0.0,0.05735353761229767,-2.2531144729670927e-07,-8.804889009829886e-06,0.0,0.0,0.0,0.0,0.0,7.890528449681995e-08,0.0,0.0
