,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
CH4,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,1.3349026816674835e-12,0.0,0.0,3.6407379563570026,-3.6407379563583366,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,1.0421824915237294e-06,-6.5165317746503835,7.173437082032506e-09,0.0011356305079728267,6.227738642734733e-06,0.00016333374047304566,6.515122035538691,1.1340538304595041e-07,8.295810960817627e-05,7.455064939635015e-07,1.0868431830625241e-06,-5.484736226095237e-07,1.914237675887893e-05
ARG,1.142986358877525e-05,0.0016891558303692186,0.0011469274407986587,0.0010122645513943342,4.501263666244127e-06,0.00011805380309605005,-0.004078878832731206,9.325965240554008e-08,7.394619378176474e-05,4.222261143927221e-06,1.112899448528693e-06,1.0856611890146319e-07,1.706289967239201e-05
ASN,-1.6924658031541854e-08,0.0011839499211683706,-7.16151941741155e-08,-0.12560740079221952,3.1549905976661156e-06,8.27453502846115e-05,0.1242803823174895,6.536682769498785e-08,5.182978901329956e-05,4.6577054940949014e-07,1.3899301054681232e-05,7.609531672802945e-08,-9.07957023025641e-06
L_ASPARTATE,0.0,11.002795522175099,0.0,0.643150635233342,7.373927192178509e-05,-0.1630593226816244,-11.483209929631249,7.710028425956073e-08,0.0,7.5414230854647264e-06,0.0,1.4913060792553035e-06,0.00024024580305877759
CYS,9.44388047281001e-08,0.00017130194408032122,6.539654261729122e-10,0.00020009056934415683,-3.652948323476516e-06,1.209256142335648e-05,-0.0003902815504573788,9.548617931916688e-09,7.535042559373381e-06,6.836462869658213e-08,2.7617973516405177e-07,7.097964533659134e-07,1.755399168333617e-06
GLT,1.2242841315858806e-05,-3.9211345540550404,-0.0006370899306370766,-0.6182047791041413,7.207705213964156e-06,0.12378779955732036,4.399028101930248,0.0,0.016862224321661977,0.0,2.8509220580588787e-07,0.0,0.00027856164197209433
GLN,-8.002073572495598e-06,1.6748986632032912,0.0,-0.009029906368300875,2.530291828631647e-06,0.124208937662189,-1.7920395804756495,2.5693864517818903e-07,0.002209602952340383,3.2867992468015274e-06,-2.2660581285150974e-05,5.98051969038043e-08,-0.00022318815393006626
HIS,-1.1788179522648515e-06,-0.015875208658159702,2.586211679471171e-09,0.0004098736812770592,1.8225961847037356e-06,4.780089038689017e-05,0.015364473483901384,3.776154859263365e-08,2.9941381054992393e-05,1.5031615813695692e-05,4.5062152303105685e-07,4.395925428269886e-08,6.908898955664432e-06
GLY,6.555264520851571e-07,-3.3038484290507837,4.514840075680836e-09,0.0007083247763388585,0.0,-1.9863194880899702,5.229968891709772,6.592165454169357e-08,0.05944349222192607,0.0,1.3405386909073731e-06,-5.506948373913247e-07,4.569262590909883e-05
