,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,0.0,0.0,0.0,0.0,11.603453021610125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,11.179564648203378,0.0,-11.603453021610125,0.0,0.0,0.0,0.0,0.0,11.398080023407342,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,5.686544876157862,4.233989975424661,-9.98692440119188,7.014327413183793,9.717861718202062,2.84875192834009,0.0,4.526271437580219,6.5129654975054825,4.065100905468874,5.315075699026861,3.756948990411379,9.649768289336455,0.0,4.792397846505381,6.335938373729625,4.869945918935082
ARG,5.635694636642816,4.183898805272515,-7.047151148780582,6.02056540921598,5.876545168572448,3.147295465770644,6.6777596859595825,4.4761409480236845,6.46362868936375,4.112501693058732,5.2915911167657175,4.128381196962796,5.751678295092677,4.713514413147038,4.524406781286216,5.413666474695208,4.820003610461913
ASN,5.3745612854634075,4.294990697743884,-9.984616030053278,5.941255307041385,9.984520791997644,2.972482929441167,6.64371589470009,4.32181075561336,-6.628809633059557,3.8357773502079375,5.1372556800996,3.461690697603726,5.597342239752266,4.833100436654232,4.370075937669511,5.259330805989399,0.0
L_ASPARTATE,0.0,4.010002042582836,9.605095945331119,6.072386708028799,-9.736812687208271,0.0,9.151054043806276,0.0,6.951867856993908,4.002303702042637,5.4804732045470566,3.928115505642597,0.0,5.524908553190904,4.10983018512858,5.405559588317766,5.1125096721569205
CYS,4.645959586850858,3.192735148446184,-5.972465370590304,5.030825181807972,5.674643909788502,2.6265140816027923,5.854831316075186,-4.050090659680002,-5.640565295314808,2.998953087304095,4.303933519217072,2.6271497785312086,4.764008054752286,-4.6577516584977365,-4.358703799792296,4.4239373034064675,3.8323839781366464
GLT,8.70750807124887,4.353326612467737,8.82693809852103,-6.8647090465068015,-9.118754232291867,3.3844596717452387,9.416751945969153,4.646238463874566,7.089432983930802,4.594406545901286,5.449908725050553,0.0,-9.394532502949158,-5.636097401907434,-4.4638354663930615,-6.320042248567008,5.321918896615331
GLN,5.558397396275836,4.104997370714958,-9.123574745830993,5.834489825657786,9.12093175920587,-2.4890362238324766,6.603340135222787,4.416927328160936,6.278641871275353,3.6337254825024514,5.173082743274373,-3.2876193533226648,5.813510852989624,4.691867899153907,4.532334169264638,5.02260500598483,4.896184173844706
HIS,5.243052117305662,3.7912966011313864,9.370500592057258,5.822733380287847,-9.371458633204957,2.5497583908759953,6.285115823883092,4.394718861636016,6.265123872702488,3.791615616480035,5.092419927533842,3.4175428029770822,5.3590354296350915,4.320882762052699,4.131781865953425,5.021024940895628,4.622175135304741
