,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
CH4,0.0,0.0,0.0,0.0,0.0,0.0,11.603453021610125,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,0.03571313650846619,0.0,0.0,11.368762425797962,-11.368762425798122,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,4.825523267381493,-11.621589521488257,2.6642422154676115,7.862810061269739,5.601904468789768,7.020648953547776,11.621495559213256,3.8622663154904675,6.726431932894047,4.680033508218578,4.843746113580217,-4.546741082882578,6.089569217353642
ARG,5.865614643339207,8.035242724831349,7.867108953732954,7.8128670394548525,5.460908959916893,6.8796530439721835,-8.4181138102701,3.7773393206146366,6.676488920290225,5.433119696890906,4.854035009356209,3.8433296165875506,6.039626237877056
ASN,-3.0364923835249273,7.880906342922314,-3.6626726186900633,-9.906588233119143,5.306573217523634,6.725316684803701,9.901975584902658,3.623033880152926,6.5221525757053165,4.475759551154374,5.950566452629084,3.6890198142866515,-5.765639041485285
L_ASPARTATE,0.0,11.849076046297323,0.0,10.615885707197933,6.675271941200295,-10.01991863831897,-11.867636308692166,3.6947167061049333,0.0,5.685027207254759,0.0,4.981144328191362,7.188228841978719
CYS,3.7827951044915267,7.041335335488553,1.6333497840171525,7.108799658049246,-5.370218384446659,5.8900918656625185,-7.3989510432236525,2.78822133079683,5.684659611588966,3.642503394198295,4.248789304127896,4.658716358803421,5.051952745833132
GLT,5.895455777233351,-11.400984749673503,-7.61177375588745,-10.598705362380315,5.665370958959436,9.900250847339441,11.450929740618058,0.0,9.034487867179447,0.0,4.262582073901503,0.0,7.252494342262084
GLN,-5.71077638960253,11.03156154021323,0.0,-8.763256252122561,5.210746290490004,9.90172585167137,-11.060920601889677,4.217428759068983,8.151887248839673,5.324348241005035,-6.1628443488761855,3.584425016686395,-7.156244174571485
HIS,-4.879025483396158,-9.008292446906516,2.222844683796099,7.4202230531534275,5.068267172321101,6.487009132059193,8.99409068697062,3.3848018908336197,6.283845058606533,5.9845791215547,4.461399945737292,3.4507771660220055,5.646982824375854
GLY,4.624173543967019,-11.326593119205675,2.463710994427448,7.65780544697108,0.0,-11.105622107821082,11.526072109921497,3.626703699626919,9.581677320073414,0.0,4.934857403255715,-4.548496292086078,6.467419269538704
ILE,-5.939646672729884,8.076919485012846,2.6555188793552205,7.85454379939133,5.5025855829614505,6.921329799277231,9.322839994724138,3.8190094454707966,-9.361862925012586,4.671767420573024,-5.998768492464835,-4.477449108935146,-4.334699943641285
