,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,25.146294545709356,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372
L_ALPHA_ALANINE,-1.3526907794731144,-1.3526907794731144,21.643052471569796,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144,-1.3526907794731144
ARG,-0.9545097166622369,-0.9545097166622369,15.272155466595795,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369,-0.9545097166622369
ASN,-2.250225075026375,-2.250225075026375,20.740202955043692,-2.250225075026375,-2.250225075026375,-2.250225075026375,-2.250225075026375,-2.250225075026375,13.013173170351894,-2.250225075026375,-2.250225075026375,-2.250225075026375,-2.250225075026375,-2.250225075026375,-2.250225075026375,-2.250225075026375,-2.250225075026375
L_ASPARTATE,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542,21.101025644085706,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542,-1.3188141027553542
CYS,-3.342754447291343,-3.342754447291343,10.40935528345305,-3.342754447291343,-3.342754447291343,-3.342754447291343,-3.342754447291343,5.982923930962252,9.645127117760092,-3.342754447291343,-3.342754447291343,-3.342754447291343,-3.342754447291343,7.382115088433839,6.693531946886902,-3.342754447291343,-3.342754447291343
GLT,-5.661375571091213,-5.661375571091213,-5.661375571091213,10.14520114713672,15.335331990860404,-5.661375571091213,-5.661375571091213,-5.661375571091213,-5.661375571091213,-5.661375571091213,-5.661375571091213,-5.661375571091213,15.970334925847558,7.3162182892033165,4.616985431403574,8.89105949755175,-5.661375571091213
GLN,-2.0181793072873937,-2.0181793072873937,18.98962789727999,-2.0181793072873937,-2.0181793072873937,3.7130383976314594,-2.0181793072873937,-2.0181793072873937,-2.0181793072873937,-2.0181793072873937,-2.0181793072873937,5.5518440071121,-2.0181793072873937,-2.0181793072873937,-2.0181793072873937,-2.0181793072873937,-2.0181793072873937
HIS,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082,20.309252657344082,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082,-1.2693282910840082
GLY,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676,23.10097178989548,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676,-1.4438107368684676
ILE,16.03130583836837,-4.198428799781105,-4.198428799781105,-4.198428799781105,-4.198428799781105,-4.198428799781105,-4.198428799781105,-4.198428799781105,-4.198428799781105,4.624330930169977,-4.198428799781105,-4.198428799781105,17.615100855209505,-4.198428799781105,16.308836773406526,-4.198428799781105,-4.198428799781105
LEU,-4.03263860855381,-4.03263860855381,-4.03263860855381,11.358634625007568,18.928827734564802,-4.03263860855381,-4.03263860855381,-4.03263860855381,11.292317788372877,-4.03263860855381,-4.03263860855381,-4.03263860855381,-4.03263860855381,-4.03263860855381,-4.03263860855381,10.844521763254294,-4.03263860855381
LYS,16.492984589183813,-3.736091747222428,-3.736091747222428,-3.736091747222428,-3.736091747222428,-3.736091747222428,17.735495668558862,-3.736091747222428,-3.736091747222428,-3.736091747222428,-3.736091747222428,-3.736091747222428,18.07680420337132,-3.736091747222428,-3.736091747222428,-3.736091747222428,-3.736091747222428
PHE,-1.33436294454971,-1.33436294454971,-1.33436294454971,-1.33436294454971,21.349807112795325,-1.33436294454971,-1.33436294454971,-1.33436294454971,-1.33436294454971,-1.33436294454971,-1.33436294454971,-1.33436294454971,-1.33436294454971,-1.33436294454971,-1.33436294454971,-1.33436294454971,-1.33436294454971
PRO,-1.8286443394564387,-1.8286443394564387,-1.8286443394564387,-1.8286443394564387,-1.8286443394564387,-1.8286443394564387,19.15216894086293,-1.8286443394564387,-1.8286443394564387,-1.8286443394564387,-1.8286443394564387,-1.8286443394564387,-1.8286443394564387,-1.8286443394564387,-1.8286443394564387,-1.8286443394564387,8.277496150983682
SER,-3.835898769943384,-3.835898769943384,21.15595440067795,-3.835898769943384,-3.835898769943384,-3.835898769943384,-3.835898769943384,8.079803442747574,12.22820662931642,-3.835898769943384,-3.835898769943384,-3.835898769943384,-3.835898769943384,8.402719536522008,-3.835898769943384,-3.835898769943384,-3.835898769943384
THR,-1.6324320991118526,-1.6324320991118526,20.168300878359695,-1.6324320991118526,-1.6324320991118526,4.3181806083181105,-1.6324320991118526,-1.6324320991118526,-1.6324320991118526,-1.6324320991118526,-1.6324320991118526,-1.6324320991118526,-1.6324320991118526,-1.6324320991118526,-1.6324320991118526,-1.6324320991118526,-1.6324320991118526
TRP,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633,20.67591849429064,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633,-1.2922449058931633
TYR,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342,21.02588598671896,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342,-1.3141178741699342
VAL,-1.3400859914631695,-1.3400859914631695,21.441375863410734,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695,-1.3400859914631695
RIBOSE_5P,-2.3327955283882247,-2.3327955283882247,24.10717457405762,-2.3327955283882247,-2.3327955283882247,-2.3327955283882247,-2.3327955283882247,-2.3327955283882247,10.884758351765806,-2.3327955283882247,-2.3327955283882247,-2.3327955283882247,-2.3327955283882247,-2.3327955283882247,-2.3327955283882247,-2.3327955283882247,-2.3327955283882247
FRUCTOSE_16_DIPHOSPHATE,-4.436805237482453,-4.436805237482453,-4.436805237482453,-4.436805237482453,7.256045229970821,1.3802642855481935,-4.436805237482453,-4.436805237482453,-4.436805237482453,6.076250962158497,22.603592487205457,2.0255702342874713,-4.436805237482453,-4.436805237482453,-4.436805237482453,9.4631344131365,-4.436805237482453
FRUCTOSE_6P,-3.0567230602265383,-3.0567230602265383,20.210709049046024,-3.0567230602265383,-3.0567230602265383,-3.0567230602265383,-3.0567230602265383,7.519774852764719,-3.0567230602265383,-3.0567230602265383,-3.0567230602265383,5.287703464087738,-3.0567230602265383,6.719212417046522,-3.0567230602265383,-3.0567230602265383,-3.0567230602265383
GAP,-3.5995309235047053,-3.5995309235047053,-3.5995309235047053,8.696412324213792,22.471753256472425,-3.5995309235047053,-3.5995309235047053,5.980112509869286,9.645623915005674,-3.5995309235047053,-3.5995309235047053,-3.5995309235047053,-3.5995309235047053,-3.5995309235047053,-3.5995309235047053,-3.5995309235047053,-3.5995309235047053
CPD_2961,-0.667124927074374,-0.667124927074374,10.673998833190018,-0.667124927074374,-0.667124927074374,-0.667124927074374,-0.667124927074374,-0.667124927074374,-0.667124927074374,-0.667124927074374,-0.667124927074374,-0.667124927074374,-0.667124927074374,-0.667124927074374,-0.667124927074374,-0.667124927074374,-0.667124927074374
2_KETO_3_DEOXY_6_P_GLUCONATE,-0.29416030863539966,-0.29416030863539966,4.7065649381664025,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966,-0.29416030863539966
G3P,9.077665514752537,-2.257372721776754,24.782925311898858,-2.257372721776754,-2.257372721776754,-2.257372721776754,-2.257372721776754,-2.257372721776754,-2.257372721776754,-2.257372721776754,-2.257372721776754,-2.257372721776754,-2.257372721776754,-2.257372721776754,-2.257372721776754,-2.257372721776754,-2.257372721776754
PHOSPHO_ENOL_PYRUVATE,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065,25.43025893338252,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065,-1.5893911833364065
PYRUVATE,-15.115541825543039,5.583233039565721,-15.115541825543039,7.694882763848399,-15.115541825543039,4.155858397363568,8.207875363478442,5.919749218664201,8.21074319011117,5.3599743050215505,-15.115541825543039,4.929076610145444,6.00577646166339,6.193552819322321,-15.115541825543039,7.00100209752274,6.315984861008218
ACETYL_COA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUC,13.263900873798423,2.2519103237236955,20.611433248277283,-6.561476388267987,-6.561476388267987,-6.561476388267987,14.566860898405848,-6.561476388267987,9.038034016577548,-6.561476388267987,-6.561476388267987,1.2642446995913872,-6.561476388267987,-6.561476388267987,4.6183798223056485,-6.561476388267987,-6.561476388267987
MAL,-3.336311565253034,-3.336311565253034,19.668153342879663,-3.336311565253034,19.4937012494713,-3.336311565253034,-3.336311565253034,-3.336311565253034,-3.336311565253034,-3.336311565253034,7.546507321191621,-3.336311565253034,-3.336311565253034,-3.336311565253034,-3.336311565253034,-3.336311565253034,-3.336311565253034
