,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,-2.013657145187196,-2.013657145187196,-2.013657145187196,-2.013657145187196,-2.013657145187196,-2.013657145187196,24.163885742246386,-2.013657145187196,-2.013657145187196,-2.013657145187196,-2.013657145187196,-2.013657145187196,-2.013657145187196
L_ALPHA_ALANINE,-2.863765925247982,23.895932863826687,-2.863765925247982,-2.863765925247982,-2.863765925247982,-2.863765925247982,-2.863765925247982,-2.863765925247982,-2.863765925247982,-2.863765925247982,-2.863765925247982,7.6054923139010455,-2.863765925247982
ARG,-1.4910325669734767,-1.4910325669734767,-1.4910325669734767,-1.4910325669734767,-1.4910325669734767,-1.4910325669734767,17.892390803681764,-1.4910325669734767,-1.4910325669734767,-1.4910325669734767,-1.4910325669734767,-1.4910325669734767,-1.4910325669734767
ASN,3.029317915284727,-3.962464182009729,4.471151190303475,18.84829820600063,-3.962464182009729,-3.962464182009729,-3.962464182009729,-3.962464182009729,-3.962464182009729,-3.962464182009729,-3.962464182009729,-3.962464182009729,9.313410326498767
L_ASPARTATE,-3.876765980236609,-3.876765980236609,-3.876765980236609,-3.876765980236609,-3.876765980236609,19.19494930936985,23.44947647323286,-3.876765980236609,-3.876765980236609,-3.876765980236609,-3.876765980236609,-3.876765980236609,-3.876765980236609
CYS,-2.261699936466842,-2.261699936466842,-2.261699936466842,-2.261699936466842,10.103684861682606,-2.261699936466842,14.775014439452685,-2.261699936466842,-2.261699936466842,-2.261699936466842,-2.261699936466842,-2.261699936466842,-2.261699936466842
GLT,-5.244839637234872,21.00689789281579,12.28191714431487,19.159581335218096,-5.244839637234872,-5.244839637234872,-5.244839637234872,-5.244839637234872,-5.244839637234872,-5.244839637234872,-5.244839637234872,-5.244839637234872,-5.244839637234872
GLN,6.26764570908991,-6.88190287503123,-6.88190287503123,13.296240337193051,-6.88190287503123,-6.88190287503123,18.58680801767067,-6.88190287503123,-6.88190287503123,-6.88190287503123,7.308570653133669,-6.88190287503123,9.595958283162549
HIS,8.774622788868848,18.282611344040586,-2.459748557537214,-2.459748557537214,-2.459748557537214,-2.459748557537214,-2.459748557537214,-2.459748557537214,-2.459748557537214,-2.459748557537214,-2.459748557537214,-2.459748557537214,-2.459748557537214
