,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,25.146294545709356,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372
METOH,-3.058055767986314,-3.058055767986314,22.683843137130008,-3.058055767986314,-3.058055767986314,-3.058055767986314,-3.058055767986314,-3.058055767986314,-3.058055767986314,-3.058055767986314,23.186993382664657,-3.058055767986314,-3.058055767986314,-3.058055767986314,-3.058055767986314,-3.058055767986314,-3.058055767986314
L_ALPHA_ALANINE,2.3493646860050124,-0.995266575178702,-10.744388776477754,5.406696962498734,11.631814751631818,-4.184895052643819,-10.744388776477754,-0.32226363746081255,4.252268489262918,-1.3841480300285252,1.4940252962364031,-2.09369403601748,11.475023837395023,-10.744388776477754,0.29051506458230314,3.8446484730010155,0.46907610014935663
ARG,1.9733880824483325,-1.369495356935821,-11.003278376551911,2.8595857861044003,2.5279669269091896,-3.7563627538206728,4.372831530935224,-0.6965829554923397,3.879776690225701,-1.533893283202099,1.1810604471325448,-1.4973293742284595,2.2404503254258947,-0.1500103532269632,-0.5854467673210966,1.4621493465229016,0.0951900850751688
ASN,2.6194791849051278,0.13367604278733403,-9.755905512385832,3.9243403912794257,13.234303223957049,-2.9115106298753286,5.541815668838197,0.19543150823082378,-9.755905512385832,-0.923701765752833,2.0730628355104983,-1.7850681155273325,3.132451289253641,1.3727195059972175,0.3065661969439635,2.3541512006097207,-9.755905512385832
L_ASPARTATE,-9.393748996117864,-0.1603780699909496,12.722801744379122,4.588438116684436,-9.393748996117864,-9.393748996117864,11.677331630333347,-9.393748996117864,6.613518299860771,-0.17810415415960534,3.225506907225496,-0.3489287892664521,-9.393748996117864,3.327823078614813,0.06948472289616348,3.053011931233657,2.3782395627785373
CYS,3.928675836758602,0.5825029081133559,-6.76904145057696,4.814861618513138,6.297309024151493,-0.721269279739424,6.712205859812475,-6.76904145057696,-6.76904145057696,0.1363032228379195,3.1411317120096722,-0.7198055334683886,4.200492479199216,-6.76904145057696,-6.76904145057696,3.4174506365870494,2.0553487681097016
GLT,11.680438150681752,1.6545648315012471,11.955435951134499,-8.369340131301234,-8.369340131301234,-0.5763337433011237,13.31353252391001,2.329019294111898,7.95468257527813,2.209671892445334,4.179538457178355,-8.369340131301234,-8.369340131301234,-8.369340131301234,-8.369340131301234,-8.369340131301234,3.8848309861685486
GLN,2.547975612243114,-0.7986016207705262,-10.250707373358544,3.1837019244265043,10.75101412960485,-10.250707373358544,4.954045185974731,-0.08035635069715141,4.206399803688324,-1.8837452453158008,1.6607558361297716,-10.250707373358544,3.135396054694465,0.5527177095305351,0.18537772125776542,1.3142680414193961,1.0231733178896434
HIS,1.307476605326329,-2.035314004888434,10.811277935390367,2.6422420401570683,-10.76509704177256,-4.894061380205004,3.7069169620416416,-0.6458829030697046,3.6608837932733183,-2.0345794449021994,0.9606331706326863,-2.89591392896844,1.574538051332146,-0.8158968052950737,-1.251317709725079,0.7962401386850253,-0.12214547801212383
GLY,1.7040480580025346,-2.1718312300274896,13.085688887236746,2.159863496856264,-11.45872082395396,-6.9087664420375745,3.837569914936193,0.4312498811900287,4.658181629429221,-2.6180662292266508,0.9117199478642934,-3.80754671360242,1.4385548872190181,0.9074450488226073,-2.559026585235147,0.6602547721452421,-0.2706184996188892
