,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,0.0,0.0,0.0,0.0,6.250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,2.3099553657599263,0.0,-2.3099553742359555,0.0,0.0,0.0,0.0,0.0,8.47602909814038e-09,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,3.71588379980431e-06,0.0,0.10114923013360756,6.692561001427659e-06,0.0,-0.001287244034280146,-0.07374458428468314,1.7053209006697672e-06,-0.024919968752361837,0.0,1.2491547419853154e-06,-0.0012154434660525926,3.604905777901871e-06,4.069923625841996e-07,2.1386500836454818e-07,0.0,4.217201774000409e-07
ARG,2.459109981800026e-06,0.0037988527182255677,-0.003875587895844963,5.9655338705919025e-06,3.14616601830693e-06,4.968900365354987e-09,2.7092177704645633e-05,1.7029847519390758e-07,2.8045677990135368e-05,5.560766536943922e-08,2.1333070070228954e-06,2.349423861858807e-08,5.303591860148759e-06,2.941645498043335e-07,1.9031723472690573e-07,1.4748543047609518e-06,3.759078178974091e-07
ASN,2.464486135790269e-08,6.090014188488349e-08,0.09681964408986922,-0.022782730159531764,0.043389639161667354,3.4827628630152044e-09,-0.04872707146513928,1.3472877642014012e-07,-0.041002819063231485,6.503085075523814e-08,-0.006370332738625328,1.6568699687389327e-08,-0.019483869841068088,2.0618352036546157e-07,0.0005385569365924032,3.221477048156607e-06,-0.002384749937194519
L_ASPARTATE,2.428310024725726e-06,0.002532393961851297,-0.01720445230759311,-0.05311825296864193,0.0,0.0009602449932297125,0.0,2.1983199833311071e-07,0.04103474087645488,-6.934412545882245e-05,0.006372138235747779,2.2943209679134145e-08,0.01948927060753747,5.896416405721281e-07,0.0,0.0,0.0
CYS,6.683198670018823e-07,8.896328878248869e-09,0.0031455277574050314,6.078818841839875e-07,3.276799895020338e-05,5.082124530812668e-10,2.7606655811533194e-06,1.735324284803049e-08,-0.0003034548197654141,5.720812488889438e-09,1.14550310174202e-07,2.417043276555787e-09,3.2728924307011963e-07,5.968341191338226e-08,-0.0008803853136241421,1.5100657034583116e-07,-0.0019991799154734776
GLT,5.014640848667803e-06,-0.003165699303424047,-0.5107129952104204,0.1044125056820557,0.0,0.0015121874278009539,0.2237170519704929,-2.2445863685189925e-06,0.10571330515691639,0.0,0.015923521888856047,5.183162283431274e-08,0.03777938209531626,0.0034502921034196706,0.0014675351306638596,0.014637855915396328,0.005262235256822902
GLN,5.040007641466814e-06,1.393466572372755e-07,-0.0011465206120144882,6.3395941436665724e-06,0.0,4.2735503099255996e-09,9.775127134779335e-05,1.8125911788021549e-07,1.7530842582494115e-05,7.890694819825102e-08,1.1809955851391844e-06,0.0010128953292120534,2.7086456329975877e-06,4.330666883960024e-07,1.444128612649905e-07,1.7291261961914282e-06,3.635338494024755e-07
HIS,9.95712493850726e-07,3.5181203496902235e-08,0.013353186438696893,2.4154904219005653e-06,-0.013377405739708397,2.0119458711081485e-09,1.0969830558938138e-05,6.895515885392837e-08,6.699908393950061e-06,2.251597023801743e-08,4.5084703958522697e-07,1.3553230067922212e-08,1.3005224409478868e-06,4.183234662197533e-07,7.706090813961464e-08,5.971798206378175e-07,1.522079588089978e-07
GLY,2.923102282442066e-06,6.1445735547245e-08,0.03299180950486191,4.214863404018039e-06,0.007502749058200434,3.5115887080688452e-09,-0.03626424163243482,1.5717802586347448e-07,1.1696264138201359e-05,-0.00017679186559027118,1.3412095724584176e-06,1.6258833445682575e-08,2.270381720191441e-06,-0.0013796273281985578,0.0,-0.0026969290209839076,3.4706884434320953e-07
ILE,2.706790933994709e-06,9.563821209490038e-08,0.0008411628946196493,6.566380973955817e-06,4.713089347321529e-06,-0.0009072883944030451,2.982089517583512e-05,1.874508957060047e-07,1.821334111135283e-05,0.0,1.2256034617464555e-06,2.5860572550461065e-08,0.0,3.2379273086849477e-07,2.0948593977266982e-07,1.6234012673836776e-06,4.1376916080737704e-07
LEU,3.978945211425269e-06,1.405868481621795e-07,-0.00010249857465561337,9.652489154068733e-06,6.928176112171472e-06,8.039893482237212e-09,4.38363031921312e-05,2.755502223978718e-07,2.6773359364005465e-05,8.997558282379489e-08,1.8016201266144133e-06,3.8014683743053335e-08,5.196989663902393e-06,4.75970833137875e-07,3.07941432214438e-07,2.3863773954441e-06,6.082349398888534e-07
LYS,4.485481289907164e-06,-0.0037982939430736998,0.03852029890489605,6.9680307004388215e-06,5.001377683735435e-06,5.803914795270431e-09,-0.023843856146704798,1.989168160185683e-07,1.93274073686613e-05,7.238134970022881e-08,1.3005706768897052e-06,3.055806402579319e-08,4.180746758685215e-06,5.365638763889175e-07,-0.0019073040682669245,-0.009013391663774788,4.3907842490955805e-07
PHE,3.009443242735412e-06,1.0633173309455777e-07,0.003711355260430434,7.300582620961424e-06,5.240070339593046e-06,6.091599108198189e-09,3.327559942260658e-05,2.0841019686533322e-07,2.027450329237201e-05,6.807225738162236e-08,1.3626409080595842e-06,2.8752100628768426e-08,3.921223931833712e-06,3.599967155649348e-07,2.3388132584793847e-07,1.8049173702402624e-06,-0.0037885557774873283
PRO,1.8769817248461874e-06,6.631881836332561e-08,0.02517161034805241,4.5533539113430734e-06,3.268217896472032e-06,3.7926466271858205e-09,2.067883210359007e-05,1.299848839921182e-07,-0.016548396333813244,4.2444043752528406e-08,0.0,1.7932608485443248e-08,-0.008655634310494027,2.2452899145087525e-07,1.4526473974302845e-07,1.1257221504264347e-06,2.8692173576709196e-07
SER,1.303396074620395e-06,6.69424827002684e-08,-0.057914699715813714,4.453352352423394e-06,0.0,3.828897510310638e-09,0.05444531317431385,7.61742515595519e-08,0.0003147603687001119,0.0002652790754190312,0.0,2.103937426926668e-08,1.865646027218124e-06,2.5240426983852734e-07,0.0008807486909401511,1.1692596084731551e-06,0.0019993863631019492
THR,1.846481855971714e-06,6.52411758710114e-08,-4.4321303484086045e-05,4.475461663572192e-06,0.0,3.727767468538339e-09,2.0325088303923472e-05,1.277612890360659e-07,1.241370402246347e-05,4.171797193014399e-08,8.353370493645281e-07,2.501364107669187e-08,2.409630058685117e-06,2.208805250288962e-07,1.4277975893091778e-07,1.1064649105172442e-06,2.820134902477733e-07
TRP,-3.093922386449105e-06,5.1961909309338596e-08,-3.333067446382085e-05,3.578653654493634e-06,2.56070367552793e-06,2.9716024040799285e-09,1.6202212658601786e-05,1.0184534224630362e-07,9.895626008870442e-06,3.325562195797671e-08,6.658917448737686e-07,1.40600635671429e-08,1.9208447242927345e-06,1.759222401576968e-07,1.1381736615117527e-07,8.820222333804374e-07,2.248080044359225e-07
TYR,3.7799276889541535e-06,5.197034639517202e-08,-5.6566686692208765e-05,5.1744827839490116e-06,3.714039709797203e-06,4.3010703022295884e-09,2.3499658228990417e-05,1.4847288253179675e-07,1.4352597023031048e-05,4.8184919454468e-08,9.658081122476791e-07,2.0378818709449665e-08,2.7812828790760604e-06,2.5515728040944085e-07,1.6508049001915147e-07,1.2792833591038556e-06,3.2606109935119464e-07
VAL,2.7201612506332787e-06,1.1270653359379545e-07,0.08733067846396865,-0.009503769546910575,5.9474320277122376e-05,0.0,3.514295855506998e-05,2.2090480584383904e-07,-0.03099565625133889,-0.00312481581400037,-0.015920558022055525,3.047584668376229e-08,-0.024355614214159566,5.667461486935864e-07,0.0,-0.00037230035373966684,-0.0031562325351816465
RIBOSE_5P,-2.4394571733890496e-07,0.0,-0.15219942217550242,3.4620669113236147e-06,0.0,4.609506765926303e-08,0.11093150424638024,0.0,0.0,0.0,0.032486992898542975,0.002025277666577984,1.7586902986866476e-06,0.0,0.0,0.006750624457432494,0.0
FRUCTOSE_16_DIPHOSPHATE,0.0,0.004272998382916203,0.011892149625120868,0.0,0.0,0.0015651364940757956,1.203035442271846e-07,-8.411629836745583e-08,-2.664666323557431e-06,-1.0868662433474153e-09,0.0,0.0,1.426252284868154e-08,-5.327771520341885e-07,2.54835502825234e-07,0.0,-0.01772739125704249
FRUCTOSE_6P,0.0,0.0042728836077536945,-0.2090696912133441,-1.7470892239370977e-06,0.0,-1.1174209047370784e-07,1.3730616674967564e-06,0.0,0.16681077296290003,-8.863909847379753e-08,0.0,0.0,5.207829716081406e-06,0.0,1.4991723094433884e-08,0.0,0.03798138623000298
GAP,-7.385330022316813e-07,0.0,0.0639030760686484,-4.184861804993528e-07,0.0,0.0,0.0,0.0,-0.0811727598826507,0.0,0.0,-0.001215106619801742,-4.541479656738599e-07,0.0,0.0,0.018486401600951732,0.0
CPD_2961,1.6379616084032704e-09,0.0014255963133471682,-0.001425591319242865,0.0,0.0,1.1061013565806357e-07,1.8045531634077692e-08,1.1343224434925692e-10,1.1021447251975762e-08,0.0,7.416499709137731e-10,-1.4871971968371796e-07,0.0,1.9593684003512468e-10,1.267663204197002e-10,9.8236953493981e-10,2.50384317322768e-10
2_KETO_3_DEOXY_6_P_GLUCONATE,3.2759232168065414e-11,1.157471881114867e-12,-6.936400340832678e-09,4.0529873964549554e-09,0.0,0.0,3.6091063268155397e-10,2.2686448869851393e-12,2.2042894503951528e-10,3.777988219958927e-11,1.4832999418275468e-11,0.0,2.182165995848275e-09,3.918736800702495e-12,2.535326408394005e-12,1.9647390698796207e-11,5.00768634645536e-12
G3P,0.0,0.0,0.37302372007621587,0.0,-0.3142303134402447,-0.001565143874324302,0.0,0.0,-0.00221110496364314,7.40782003913515e-10,-0.032483048469595946,3.1298039665346e-10,4.278756854604462e-08,3.918736800702494e-09,2.535326408394004e-09,-0.02253415962380209,0.0
PHOSPHO_ENOL_PYRUVATE,1.7096366243906965e-06,0.0,-0.22905018336887706,0.03418947888706784,0.0,0.0021945659389898064,0.006617140056969006,0.021273781662063007,0.06216198077113678,0.009754268815324487,0.02506790939626149,0.0042542882791594345,0.029233866311946265,2.9798878517806186e-07,0.0009542290915533119,0.027032239408283976,0.006314427124712212
PYRUVATE,0.08087029228239348,-0.0030863404281288908,-0.12571412709832697,0.06261201930965296,0.0,0.0,0.01255398179025804,-0.021275345566833408,0.0,0.0,-0.005960480289015286,0.0,0.0,0.0,0.0,0.0,0.0
ACETYL_COA,2.1790012407190434e-06,6.487849170267365e-10,0.00024624927786940515,4.454463164084436e-08,-0.0002480004748272282,3.710277106909381e-11,2.0229724657279753e-07,2.555797457822644e-09,1.235545995983412e-07,4.1522235594102557e-10,8.314177176877388e-09,1.7543143983443503e-10,2.3983242756251544e-08,-8.495712531566005e-07,1.421098482107848e-09,1.1012734675874337e-08,2.8069030636175357e-09
SUC,-9.149786401426685e-07,0.0,0.581338622385428,-0.16327766728526374,0.0,-0.0015651134653148068,-0.25947978857325055,1.008286616731514e-09,-0.11107234574201008,0.0,-0.025481067964103134,0.0,0.0,-0.0013789833080997615,0.0,0.0,-0.01908274207703071
MAL,9.659374457374368e-07,0.0,0.021004536251441244,0.0,0.0,0.0,3.208094512724923e-07,2.016573232875679e-09,0.0,-0.0009027710119185504,0.0,2.7820479702529775e-10,-0.0005199787488822623,0.0027614327327166685,0.001075953390297035,-0.02342046610660592,4.451276752404764e-09
FUM,0.0,-1.1304912111089085e-08,0.05894512738843316,-0.003796265883958391,0.0,0.0,-0.008133978436479908,-2.5406831364640606e-08,7.932569097505535e-06,-8.328732006670683e-09,5.269654190784397e-07,-3.5669367313647614e-09,-0.0502400355875096,0.0,0.0008316259498611715,-2.2003352980444792e-07,0.002385358535309903
CIT,1.0919744056021804e-08,0.003798913385353473,-0.5254003426951106,0.125323583447163,0.0,2.2064535799994168e-11,0.22996794294149764,2.9496376957081735e-06,0.05963941564598614,0.0,0.01911506518955772,1.0432679888448665e-10,0.04041946642490788,0.0,-0.0017606837324203452,0.026583635305207486,0.022310043404026515
GLYCERATE,5.459872028010902e-09,1.9291198018581117e-10,0.05468958784056578,1.3245056851159983e-08,0.0,1.2907753442996633e-11,-0.05442504139551796,3.781074811641898e-10,3.673815750658587e-08,-0.00026524665161912765,8.336973848871663e-07,5.216339944224333e-11,7.131261424340771e-09,6.531228001170822e-10,-2.014635543126291e-07,3.2745651164660333e-09,8.346143910758932e-10
PPI,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
THIAMINE_PYROPHOSPHATE,-2.785087819321997e-06,1.24621139200034e-10,4.7300522453342956e-05,8.556306725849349e-09,1.0440345299996705e-07,1.9041694395394835e-11,3.885804478538063e-08,2.442574328320666e-10,2.373284974925448e-08,7.975752908802177e-11,1.597019604034325e-09,3.3697556039689194e-11,1.0882304933544014e-08,4.2191732887563513e-10,2.729701433037545e-10,2.1153690652370577e-09,5.391608966350271e-10
RIBOFLAVIN,1.8640913082300557e-08,6.586336523510569e-10,0.00019910822993245047,4.522083159933538e-08,3.245772984132102e-08,3.7666001321906715e-11,5.115474801398245e-05,1.290921958608071e-09,7.96299563955249e-08,4.2152553750467643e-10,5.358421039852012e-09,1.780945395957258e-10,2.9697662784238842e-08,2.229870093399739e-09,9.15886665032334e-10,1.1179911068467784e-08,2.849512633531613e-09
ADENOSYLCOBALAMIN,0.0,0.0,0.000218593433647609,0.0,0.0,0.0,-0.00021878253885936072,0.0,1.96727922780714e-07,0.0,1.3238121534546033e-08,0.0,-2.296409041574928e-08,0.0,2.2627223380533288e-09,0.0,0.0
GDP_MANNOSE,6.667319815073765e-06,1.5730891675235175e-07,0.0596471582371835,1.0847719221135403e-05,-0.05980439173238399,9.002080541746387e-09,9.72167390589521e-05,3.0787981417188415e-07,3.0045493877455504e-05,1.006777067359624e-07,2.0087935566045304e-06,4.24673363048952e-08,5.811812615654266e-06,3.27215219522979e-07,3.451035600628978e-07,2.666364856164429e-06,6.795975653688035e-07
SUCROSE,-1.4524709190532431e-06,2.0062845939324356e-08,-1.0984874788336558e-05,1.377485912520638e-06,0.0,1.1473558615996966e-09,6.255784299813599e-06,4.1854229519988824e-08,3.82076838068493e-06,9.656732962809377e-08,2.5710532325010795e-07,5.4249935419933055e-09,0.0,6.792477121217654e-08,4.394565774549607e-08,3.6247471100209104e-07,8.679989667189289e-08
HYDROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETOH,0.0,0.0,0.02154188289633834,-0.018966444403025386,0.0,0.0,-2.6747487999844048e-08,-1.7020660410510546e-07,-1.085000251694485e-08,8.230911154594611e-12,0.0,0.0,0.0,-0.0027620690354425385,0.0,0.0,0.00018683833799328913
PROPIONATE,0.0,0.0,0.025331840853281717,0.0,0.0,0.0,0.0,-6.971537241630232e-07,0.0,-0.0028694818224321763,0.0,0.0,-0.0003882448865056039,0.0,0.0,-0.022073416990619776,0.0
PROPANE_1_2_DIOL,-6.971537241630231e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.971537241630231e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPD_10353,0.10784940207460282,0.0,-0.1572099522732318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04266404079041554,0.0,0.006696507399166084,0.0,0.0,0.0,0.0
BUTANEDIOL,-0.10784940207460282,0.0,0.1572099522732318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04266404279946291,0.0,-0.006696507399166084,0.0,0.0,0.0,0.0
BUTANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008103168247208494,0.0,0.0,0.0,0.0,0.0
ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORMATE,1.1854026534152165e-05,0.0,1.0791709044591529,-0.028461998885063216,-1.0628553541962251,1.2179826019841614e-10,6.497303690145026e-07,0.0,9.139718824488435e-08,-0.0010449284178884785,3.518082561471342e-08,0.0,0.0014211573852478349,0.00655961512550272,0.005197943233465375,4.6599572107234295e-08,-1.5760479235839728e-08
CARBON_DIOXIDE,-0.026970293253582966,-0.0027701018724128703,-2.275383581328062,-0.02660126034235791,-2.5404649629146694,-0.0006048939664889189,-0.05674717526743806,-4.79113239634674e-07,-0.04391383791788662,-0.0018750615343721933,-0.012741636984788422,-0.001215520886301625,-0.025460279656183773,-0.0072504319262245405,-0.005809421821150965,-0.01066800070518873,-0.009541448234523804
ACET,-0.05391585155196468,-0.004748092613126466,0.2453801102063603,-8.83003790078097e-12,0.0,-0.00030243928955185704,-0.07671152731425612,3.597498509525418e-07,-0.08338267203649845,-0.0006629361158129225,3.9714113254025725e-07,-0.0028359324818751463,-0.0007801509050795572,0.0,-0.0005869364387764254,-0.002697815783641479,-0.018756512557930496
BUTYRIC_ACID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBON_MONOXIDE,-2.323845747210077e-07,0.0,0.0,0.0,8.188506117644473e-09,9.929041109997263e-13,0.0,0.0,0.0,0.0,0.0,0.0,5.229591711183231e-10,0.0,0.0,0.0,0.0
PUTRESCINE,0.0,-0.002532510725471457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009722101837260418,0.0,0.0,0.0015603005417454154,0.0,0.0,0.0,0.0
NITROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
