,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
CH4,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,-2.3751883988643994e-08,0.0,0.0,0.5344879259089413,-0.5344879021570581,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,7.487143666362455e-07,0.22566009619288063,0.0,-0.2362624300505783,3.4831342675795476e-06,0.015978990391137544,0.0,-0.005449310058946571,5.722049198092308e-05,4.0795387102072225e-07,0.0,8.702251107678692e-08,1.0706208509496943e-05
ARG,5.18706865360607e-07,-0.02191033708817345,3.2898691401672203e-07,0.0005661530692093023,2.1921132755820536e-06,6.602673467385185e-05,0.021222743047548245,0.0,4.135763176555535e-05,9.751215004327327e-07,6.22437521533253e-07,-1.239314167554371e-07,9.543170316325676e-06
ASN,3.635679676865262e-07,-0.2509925537026117,5.671159105788666e-08,0.05493194367069092,1.7645659998018975e-06,4.627894354485031e-05,0.19597629976218095,-1.1687910102179544e-06,2.8988068470767922e-05,2.6050248004067545e-07,1.0045208431644875e-05,4.25596224412734e-08,-2.3210673582505605e-06
L_ASPARTATE,6.605894481494087e-06,-0.0013422254161534215,0.0,0.0,3.206578858221853e-05,0.029247503720527535,-0.028178500578370787,1.269533886148229e-06,0.0,-9.202123767225753e-07,0.0,0.0,0.00023420126942221066
CYS,5.25456074991184e-08,0.00019411433369784941,3.6575866721261145e-10,5.79719967026064e-05,2.577632591622746e-07,-0.002466437391002837,0.0021833560655403848,5.3404807482541985e-09,4.214300960885979e-06,-9.04708333315811e-08,6.372979017512542e-08,6.217000095439962e-09,2.6485203038094114e-05
GLT,0.028814019421569963,-0.07809457413504985,8.280388552814919e-07,0.17389330772002745,4.1538140612022115e-05,-0.10554665756353639,0.0,-0.009081962839427454,-0.009982338501380784,-1.3454190856330046e-06,2.8580176285231774e-05,8.338067376880859e-07,-7.222884560756176e-05
GLN,-6.5917706608563995e-06,-0.1082301231770554,-8.1977024007873e-07,-0.006007692105944493,-3.4618681601521744e-05,0.10569944471156373,0.0,0.009080719598442826,-0.0005698427615088509,2.205452351969082e-06,-2.8062181785404736e-05,1.4128323143269955e-08,9.536655811493442e-05
HIS,2.1002838844468686e-07,0.0003825300506506957,1.4464515999702953e-09,0.00022923972031173632,1.0193663528746977e-06,2.6734731317221528e-05,-0.0006618865705684482,6.949571129843769e-08,1.6746022329142765e-05,1.5048882446090955e-07,2.5202972677882427e-07,1.0690876437130442e-06,3.864102860480999e-06
GLY,3.571103527856644e-07,0.006087990066330796,-1.670421562230424e-10,0.0,0.0,0.014284497684131455,-0.02044493252091284,0.0,2.9220648543262298e-05,2.627135980443578e-07,1.3489351330897618e-06,2.1690464176084471e-07,4.103862522342668e-05
ILE,-0.0345665057806161,0.0010398873966896997,3.932100984411972e-09,0.0006231758670131889,2.771092679283118e-06,7.267693114141885e-05,0.023360292504507545,0.0,4.552316225911698e-05,4.090957864182214e-07,6.851292755239418e-07,6.683607084875635e-08,1.0504356082069024e-05
LEU,8.392899111203052e-07,-0.035451154096884166,5.780134027446533e-09,0.0009160598998565901,4.073467887073519e-06,0.00010683408294096122,0.03433930667897146,0.0,6.69184184877291e-05,6.013651442155373e-07,1.007130552942284e-06,6.67249359896286e-08,1.5441258062059166e-05
LYS,7.434500601895304e-07,-0.019358852462748904,1.3916352189361528e-07,0.0006612940355339331,4.592037090644193e-06,7.712240416991868e-05,0.024789185395768767,6.565700325105998e-08,-0.006186775734308023,4.834067462991009e-07,8.09580848473235e-07,4.61840417905663e-08,1.1146882271758167e-05
PHE,1.0318352338622717e-06,0.0011561595171131357,4.371757932493134e-09,0.0006928545453825912,3.080934709041127e-06,-0.027888819701916413,0.025972258715327275,2.1652621722201838e-07,5.06132081824518e-05,4.567364522417527e-07,7.617351021576037e-07,-3.114700451840524e-07,1.1693046483675776e-05
PRO,3.9591694313787885e-07,-0.01672419225886551,2.726653763797998e-09,0.0004321315322357364,2.5827794819317062e-06,5.039667816864891e-05,0.01619882849737213,8.3278429282791e-08,3.1567322967004314e-05,8.676653530621848e-07,4.7509215180416315e-07,-4.2331188509508014e-07,7.284080994102737e-06
SER,1.262098689639952e-07,-0.0035452643466657814,0.0,0.0010233529061262042,4.549952899678221e-06,0.0024840724008560757,0.0,9.407394401276552e-08,3.089488010991201e-05,4.15239551945623e-07,-5.288586983264341e-06,-8.16461907626789e-08,7.1289164830009896e-06
THR,3.891441639443351e-07,-0.0005214521732182721,2.680010082087671e-09,0.0004247392457950393,1.8886992852724774e-06,5.54151361850355e-05,0.0,3.9131108929256457e-08,3.102731448317353e-05,2.788282489404013e-07,4.6696495670295584e-07,4.555359702914135e-08,7.159475384123157e-06
TRP,-1.72253113581391e-07,-0.013305407384876889,2.136379071415855e-09,0.0003375545072730319,1.5055830021770074e-06,3.9486644743046374e-05,0.012879390482371873,0.0,2.4733528335257046e-05,2.222688785901055e-07,1.6469355714668293e-05,5.079313552630995e-07,5.7071999374879e-06
TYR,4.499244833653601e-07,0.0008194589154602124,3.0986001161506184e-09,0.0004910791512131265,2.183694704670682e-06,-0.019766973902339405,0.01840853155977738,4.5242986018486936e-08,3.602965620767916e-05,3.2237835608431024e-07,5.399000842380836e-07,5.26686007597483e-08,8.277711865748044e-06
VAL,6.728471247430787e-07,0.03204195207901975,4.6338535820187586e-09,-0.05972911922919222,3.26564291937236e-06,8.564740809935166e-05,0.027529347676508446,8.190488611583151e-07,5.364757144729758e-05,4.971113401851469e-07,8.074026481309486e-07,7.876414352997212e-08,1.2379043226677284e-05
RIBOSE_5P,-1.9193029867904987e-07,0.6096853390979249,0.0,0.6257085819701135,0.0,-1.2354176287480918,0.0,0.0,2.3899610351931373e-05,0.0,0.0,0.0,0.0
FRUCTOSE_16_DIPHOSPHATE,2.3033317955519553e-09,-0.5294389820216225,3.6115527174031325e-08,-0.30409704878169425,-4.508056803092397e-06,0.7993373110634077,0.0,0.010896588624766971,-6.3856094559573814e-06,1.6503754412577287e-09,0.023312984712166307,0.0,0.0
FRUCTOSE_6P,-7.86195375916056e-06,0.0,0.0,0.0007702894487782442,0.0,0.0,0.0,0.0,-0.0006866528150716391,0.0,-1.7731232385655607e-05,0.0,-5.804344756161431e-05
GAP,0.034551152782808146,0.0,0.0,-0.07555316065169089,0.0,0.0,0.0,0.0,0.0,0.029251195951763415,0.0,0.011756289711615893,-5.477794496566242e-06
CPD_2961,0.0,1.3614023794666648e-05,-3.027547550563459e-07,3.8464474492069563e-07,-1.69926149980346e-05,4.397902384375463e-08,0.0,3.7466381030804703e-06,2.8098400567188356e-08,2.475563161886594e-10,5.298978999299087e-07,-1.058643406041415e-06,6.4836358075112765e-09
2_KETO_3_DEOXY_6_P_GLUCONATE,6.909995386655867e-12,-9.340797921580479e-10,0.0,0.0,3.3537451045725856e-11,8.795804768750928e-10,0.0,0.0,0.0,4.951126323773188e-12,8.29185169794541e-12,8.088908288548148e-13,0.0
G3P,-0.03455131830165163,-0.28318156588109855,0.0,0.33731563876549137,3.353745104572585e-08,0.0,-0.10344730664097943,0.0,5.509490307291835e-07,-0.02924972350529139,-0.02331694236567419,-0.011756278057402769,0.14818691150012414
PHOSPHO_ENOL_PYRUVATE,1.27007872986148e-08,0.831096582050814,0.0028671418607448367,0.08228581533227788,8.536695453656323e-07,0.03186788528066021,-1.1210652199400617,-0.010896251430703873,0.18384318409929515,0.0,0.0,-3.6233590602860694e-09,0.0
PYRUVATE,0.0172834918256113,0.0,-0.0028671439755254546,-0.06494347233819911,0.15152303778868442,-0.015898405001666872,0.0,0.016341088770285762,0.0,0.0,0.03496615925219383,0.011757285767477095,-0.1481620420888608
ACETYL_COA,3.87318332024387e-09,7.054327381999508e-06,9.36416400224574e-08,4.22746404702557e-06,1.8798376709070628e-08,4.930215204528742e-07,0.00015847018782888132,3.89475090340781e-10,3.0881736927549685e-07,2.4779335715790546e-05,4.647739961220528e-09,4.533986335605741e-10,-0.00019545495767718643
SUC,-0.02301238464022569,0.47153064958840324,0.0,-0.3223048456528531,1.5777507525289248e-08,-0.11080184010831498,0.0,0.0,-0.01530131380996673,2.2005005883436386e-09,3.68526742130907e-09,0.0,-0.0001102870403178775
MAL,-3.114392289000181e-09,0.020285931339929397,0.0,0.0,-2.5570227361347117e-05,0.003852359711778522,0.0,0.0,-0.06311510218396428,0.03900238447401006,0.0,0.0,0.0
FUM,0.023005914495348754,-0.16217731382482484,-1.3549118173963587e-07,0.15583340756498468,0.0,-0.029192722165706227,0.0,0.0,0.012817384838791569,-3.5002975200475876e-07,0.0,3.86982178452219e-08,-0.00028622407390710056
CIT,3.6619016365449466e-07,-0.0808372884221673,1.586289351458794e-11,-0.03118971526833616,0.0,-0.005777073600206325,0.0,8.753788960825258e-07,0.11758268250007814,1.650375441257729e-09,1.7892904663846486e-06,6.645663165228198e-08,0.00021829580823588796
GLYCERATE,0.0,0.000785261407636443,0.0,-0.0007836596478154172,-2.664972079290439e-06,1.0261772230209413e-06,0.0,-7.81853185257826e-08,9.18248384548639e-08,8.251877206288645e-10,1.3819752829909013e-09,0.0,2.1188352312128356e-08
PPI,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THIAMINE_PYROPHOSPHATE,7.439761699632815e-10,-0.0003881782960285455,5.1237146052119055e-12,8.120277948325796e-07,3.6108655625898165e-09,9.470149801021832e-08,3.04395722189894e-05,7.481189555182072e-11,5.931884564184209e-08,5.330712675262465e-10,8.927560328121224e-10,8.709057924003504e-11,1.3687675593634919e-08
RIBOFLAVIN,3.931979319323484e-09,7.16141403224841e-06,2.70792811371945e-11,4.291638126198502e-06,1.908374124088039e-08,5.00505724132952e-07,0.00010213277520845127,3.953874304383507e-10,3.135053026246479e-07,2.817328409513716e-09,4.718293945344687e-09,4.6028135080808e-10,7.234056618565824e-08
ADENOSYLCOBALAMIN,0.0,3.21555705485091e-09,0.0,1.926994751514465e-09,0.0,0.0,0.00025232173448380024,0.0,0.0,0.0,0.0,0.0,0.0
GDP_MANNOSE,2.4687412522990678e-05,0.044994146429858176,5.247190924031116e-07,0.020982899444979938,0.00011974161319567783,-0.11056640708180285,0.042152666706236665,4.896372645880134e-06,0.0019469724482807749,4.457276778733578e-07,2.9612976255225088e-05,1.3736527656444038e-06,0.00030843957829161087
SUCROSE,1.2748250488841406e-07,-0.00019147532317232148,8.248704627585726e-10,0.00013072893291422332,-2.2534497433527997e-05,1.524606159916827e-05,0.0,-7.4716478406515476e-06,3.1530941583405e-05,3.3375061739021164e-06,1.5297637197539478e-07,4.179161430306027e-08,4.031495081417273e-05
HYDROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETOH,0.0,-0.06476340144873527,0.0,0.08422513095515566,3.667413431436359e-08,0.0,0.0,0.0,0.0,-0.019499080265796265,0.0,7.112028809891941e-09,3.730697321280138e-05
PROPIONATE,0.0,0.0,6.1132552945054315e-09,-0.0450964247036802,0.0,0.08599035667157784,0.0,0.0,-0.040893902782743935,0.0,0.0,-3.5298409013075506e-08,0.0
PROPANE_1_2_DIOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPD_10353,0.0,0.04275488092212642,0.0,0.0,-0.050586711081342904,0.0,0.0,0.0,0.0,-2.9110292631029765e-06,0.0,0.007834741188460115,0.0
BUTANEDIOL,0.0,-0.04275488092212642,0.0,0.0,4.877704516555917e-05,0.0,0.0,-0.00726140871054528,0.0,0.0,-0.02331276626211029,-0.01567276649866521,0.0
BUTANOL,0.0,-0.0796810953149979,0.0,-0.10761590092885731,0.0,-0.0002549190539938233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.486831533304725e-06,0.0,0.0
FORMATE,0.0,0.06734745947271288,0.0,0.0,-0.02523866332409893,0.01420519280222966,0.0,8.336681724052905e-10,-0.046599641847049095,-0.009748858586107604,0.0,-3.920810687245677e-09,3.4514569455627166e-05
