,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,0.0,0.0,0.0,0.0,11.603453021610125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,11.171176592562013,0.0,-11.17117659415559,0.0,0.0,0.0,0.0,0.0,2.7365627402882495,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,5.377636949205671,0.0,9.81253558595178,5.633166353345188,0.0,-7.917233897290117,-9.675303136103297,5.0393830855952455,-9.204120497953497,0.0,4.904194660147219,-7.892307773130906,5.364468798593698,4.4171758832663555,4.1377443641666005,0.0,4.4326134238603
ARG,5.198353707553032,8.387225462300483,-8.395910596866916,5.583223453978446,5.305356790155102,2.5051924548912456,6.240417169529708,4.038823481079499,6.255439188769896,3.5528292893517737,5.136629534812132,3.178822189696037,5.532144375039761,4.2761863320858255,4.08708666295999,4.976326710673353,4.382672355979453
ASN,3.199573760614289,3.592302363552114,9.793536486171101,-9.165178770932382,9.444959042871153,2.3514347500753683,-9.495343315133555,3.937083572446671,-9.42038672118668,3.6207964414588307,-8.611735122556148,3.027269485688361,-9.09724822428549,4.121859759804352,7.5388046407832165,5.315630145459502,-8.185015853123106
L_ASPARTATE,5.19287992252779,8.211104276270596,-9.043213856356369,-9.532816787270429,0.0,7.789955062716896,0.0,4.149694680450581,9.420724699742841,-6.64858277718417,8.611858194045544,3.1685218985475547,9.097368590417746,4.57817262156028,0.0,0.0,0.0
CYS,4.632567496723702,2.7575434960674006,8.305266528342887,4.591403332414695,6.323023131735605,1.5267280637867504,5.248589255114376,3.0473432639295357,-7.289667066325142,2.5662114813215986,3.8666283190797444,2.1936469628063247,4.322525402574385,3.5835399652408295,-7.7522458010938475,3.9866136395039247,-8.108424887700155
GLT,5.507814187198035,-8.308042667065202,-10.515749912998004,9.826325522377669,0.0,7.9871786317914655,10.157272092077362,-5.158712338879386,9.831702655709988,0.0,9.009612133903953,3.522298293158104,9.384827854938534,8.345428870438745,7.974161515298624,8.973050472685433,8.528743265578306
GLN,5.510005541254879,3.9517180981861912,-7.866954876996591,5.609635526773955,0.0,2.439941735071894,6.7976954879776015,4.0659101821821295,6.051376180137757,3.7047739655011975,4.8798270058136755,7.813137579408572,5.240327692312187,4.444143402071284,3.967225713292458,5.045403606506791,4.368136465593828
HIS,4.805713753995087,3.3540759188354476,8.933157917484635,5.190581124291228,-8.933944904288419,2.1145383296179165,5.847773540347723,3.6462378509660027,5.633642878597243,3.160363980668321,4.461617229438517,2.940114606400587,4.921696055805382,4.429101400948405,3.694494894415385,4.583689454903187,3.9900548038532033
