,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
CH4,0.0,0.0,0.0,0.0,0.0,0.0,11.603453021610125,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,-3.1835557567670616,0.0,0.0,10.535510903213725,-10.535510883914295,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,4.681898205111573,10.161027773229181,0.0,-10.180967670830952,5.349545162153917,9.011122340278925,0.0,-8.543914524927807,6.565124710019122,4.418200642997043,0.0,3.747282336619847,5.837209333320371
ARG,4.52250804057063,-9.148222063759563,4.324772187763988,7.5605068822515005,5.148439082104508,6.627292926651722,9.134374520502597,0.0,6.424128829899888,4.796638673197544,4.601679636015492,-3.9008089948575417,5.787266387777018
ASN,4.368177221227745,-10.207233841574405,3.5613640918545553,9.54739797043152,5.054214744405515,6.4729565867485395,10.09977655777402,-4.875315654059159,6.269792516071683,4.223410831387317,5.809532630142522,3.436729674545023,-5.173263662511975
L_ASPARTATE,5.627505660473115,-7.935398467589428,0.0,0.0,6.313615140040037,9.273661809387471,-9.257490884411611,4.9112226297337065,0.0,-4.771468424975973,0.0,0.0,7.1771622778606226
CYS,3.528238131185077,7.095630644649017,1.388878110974396,6.570791379775923,4.2188202594064705,-8.199643102647032,8.146697574354526,2.5364180898809217,5.432300156469494,-3.764156354228218,3.612021617393756,2.6022405215788815,6.230576566284635
GLT,9.267176849064416,-9.70019386530871,4.725631889331806,10.047855872814978,6.42602021924714,-9.831017489014922,0.0,-8.765752725580139,-8.80680529766054,-4.936435615891264,6.263638144169318,4.728646516704509,-6.666283771748204
GLN,-5.626576119502909,-9.841921157046558,-4.721273403604277,-8.586280672377047,-6.346883724080757,9.831645710091099,0.0,8.765693270408685,-7.56332805210653,5.151073750687655,-6.2556946789444305,2.9581421232236726,6.786969183939336
HIS,4.12988320884006,7.390238579918602,1.9725282671825273,7.167862903688547,4.8159099341745435,6.234649081093011,-7.628356583989026,3.649628329181482,6.031485074149599,3.985122199325513,4.209051610633259,4.836592641313747,5.394623433362226
GLY,4.360394385874649,8.592046940508249,-1.0691144894093316,0.0,0.0,8.962437977714485,-9.11815868608712,0.0,6.273263086486194,4.227081303058827,4.937569084691329,4.143873033927927,6.420765972754333
ILE,-9.346228484758193,7.824559325410798,2.4039144997161586,7.60218364170618,5.250226496233766,6.668969677825547,9.176051281021353,0.0,6.465805575482232,4.419414544668312,4.643355402204733,3.6326851078260427,5.828943083468086
LEU,4.7314930661335675,-9.357203382472735,2.570679575085766,7.769496884144967,5.417538961719953,6.836282893977861,9.343364526837906,0.0,6.633118773885132,4.586722504369619,4.8106654916391784,3.6319625314657227,5.9962561234976945
LYS,4.678833903405417,-9.094452614618435,3.951147018261188,7.627967620145721,5.469579864545782,6.694753651525967,9.201835260069863,3.624957070677823,-8.599037378834606,4.491899703660389,4.715841585176487,3.472211377160141,5.854727025415793
