,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,-1.513093217465098,-1.513093217465098,-1.513093217465098,-1.513093217465098,24.20949147944156,-1.513093217465098,-1.513093217465098,-1.513093217465098,-1.513093217465098,-1.513093217465098,-1.513093217465098,-1.513093217465098,-1.513093217465098,-1.513093217465098,-1.513093217465098,-1.513093217465098,-1.513093217465098
L_ALPHA_ALANINE,-4.698487905969312,-4.698487905969312,-4.698487905969312,-4.698487905969312,-4.698487905969312,13.531616843678064,17.579720865420683,-4.698487905969312,16.494782746739343,-4.698487905969312,-4.698487905969312,13.474222321762944,-4.698487905969312,-4.698487905969312,-4.698487905969312,-4.698487905969312,-4.698487905969312
ARG,-1.1371940342621478,-1.1371940342621478,18.19510454819435,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478,-1.1371940342621478
ASN,-7.310695210184921,-7.310695210184921,-7.310695210184921,13.792908802389473,-7.310695210184921,-7.310695210184921,14.553140760102266,-7.310695210184921,14.380546824258586,-7.310695210184921,12.518557707826115,-7.310695210184921,13.636492938321402,-7.310695210184921,-7.310695210184921,-7.310695210184921,11.536000279136285
L_ASPARTATE,-3.416577578782171,-3.416577578782171,17.4061918396212,18.53354424983011,-3.416577578782171,-3.416577578782171,-3.416577578782171,-3.416577578782171,-3.416577578782171,11.892350013499053,-3.416577578782171,-3.416577578782171,-3.416577578782171,-3.416577578782171,-3.416577578782171,-3.416577578782171,-3.416577578782171
CYS,-3.135624859571445,-3.135624859571445,-3.135624859571445,-3.135624859571445,-3.135624859571445,-3.135624859571445,-3.135624859571445,-3.135624859571445,13.649453860238467,-3.135624859571445,-3.135624859571445,-3.135624859571445,-3.135624859571445,-3.135624859571445,14.714580759252932,-3.135624859571445,15.534713414508852
GLT,-3.2483387246478586,15.881636472494968,20.96507026667478,-3.2483387246478586,-3.2483387246478586,-3.2483387246478586,-3.2483387246478586,8.630035405900266,-3.2483387246478586,-3.2483387246478586,-3.2483387246478586,-3.2483387246478586,-3.2483387246478586,-3.2483387246478586,-3.2483387246478586,-3.2483387246478586,-3.2483387246478586
GLN,-1.0655490015899467,-1.0655490015899467,17.04878402543921,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467,-1.0655490015899467
HIS,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657,19.361099631289065,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657,-1.2100687269555657
GLY,-4.416610713438903,-4.416610713438903,-4.416610713438903,-4.416610713438903,-4.416610713438903,-4.416610713438903,17.15182267583917,-4.416610713438903,-4.416610713438903,11.828208447800229,-4.416610713438903,-4.416610713438903,-4.416610713438903,13.88280392060207,-4.416610713438903,14.553104230464257,-4.416610713438903
ILE,-1.051782724412103,-1.051782724412103,-1.051782724412103,-1.051782724412103,-1.051782724412103,16.82852359059366,-1.051782724412103,-1.051782724412103,-1.051782724412103,-1.051782724412103,-1.051782724412103,-1.051782724412103,-1.051782724412103,-1.051782724412103,-1.051782724412103,-1.051782724412103,-1.051782724412103
LEU,-0.9235114692786421,-0.9235114692786421,14.776183508458308,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421,-0.9235114692786421
LYS,-4.662405037837736,14.649748181915577,-4.662405037837736,-4.662405037837736,-4.662405037837736,-4.662405037837736,16.48672275513574,-4.662405037837736,-4.662405037837736,-4.662405037837736,-4.662405037837736,-4.662405037837736,-4.662405037837736,-4.662405037837736,13.96088694480736,15.513907610031858,-4.662405037837736
PHE,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,-1.135858005959843,18.173728095357486
PRO,-2.407041300002863,-2.407041300002863,-2.407041300002863,-2.407041300002863,-2.407041300002863,-2.407041300002863,-2.407041300002863,-2.407041300002863,18.37684911189068,-2.407041300002863,-2.407041300002863,-2.407041300002863,17.728770388152263,-2.407041300002863,-2.407041300002863,-2.407041300002863,-2.407041300002863
SER,-1.2962689674006427,-1.2962689674006427,20.740303478410276,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427,-1.2962689674006427
THR,-0.87419480807411,-0.87419480807411,13.987116929185788,-0.87419480807411,-0.87419480807411,-0.87419480807411,-0.87419480807411,-0.87419480807411,-0.87419480807411,-0.87419480807411,-0.87419480807411,-0.87419480807411,-0.87419480807411,-0.87419480807411,-0.87419480807411,-0.87419480807411,-0.87419480807411
TRP,10.624254447780265,-1.575036186013783,13.001288342426482,-1.575036186013783,-1.575036186013783,-1.575036186013783,-1.575036186013783,-1.575036186013783,-1.575036186013783,-1.575036186013783,-1.575036186013783,-1.575036186013783,-1.575036186013783,-1.575036186013783,-1.575036186013783,-1.575036186013783,-1.575036186013783
TYR,-0.8885450850604588,-0.8885450850604588,14.216721360967348,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588,-0.8885450850604588
VAL,-8.164106930608721,-8.164106930608721,-8.164106930608721,12.065182797429403,-8.164106930608721,-8.164106930608721,-8.164106930608721,-8.164106930608721,13.247341355719762,10.952869628390296,12.581105513891421,-8.164106930608721,13.006256668276839,-8.164106930608721,-8.164106930608721,8.82543997535185,10.96287336702763
RIBOSE_5P,7.7378123999025945,-1.9212878288141866,21.081505032310194,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866,-1.9212878288141866
FRUCTOSE_16_DIPHOSPHATE,-3.3057035131601964,-3.3057035131601964,-3.3057035131601964,-3.3057035131601964,-3.3057035131601964,-3.3057035131601964,-3.3057035131601964,5.288772629353781,8.744227107777567,0.9539141393925625,-3.3057035131601964,-3.3057035131601964,-3.3057035131601964,7.134519609559115,-3.3057035131601964,-3.3057035131601964,17.547008671839368
FRUCTOSE_6P,-3.0866669230907,-3.0866669230907,20.233601936231057,8.54113902728477,-3.0866669230907,5.791756556672441,-3.0866669230907,-3.0866669230907,-3.0866669230907,5.560172479990856,-3.0866669230907,-3.0866669230907,-3.0866669230907,-3.0866669230907,-3.0866669230907,-3.0866669230907,-3.0866669230907
GAP,6.543676869513465,-4.223100662604157,-4.223100662604157,5.975671076086341,-4.223100662604157,-4.223100662604157,-4.223100662604157,-4.223100662604157,18.151080271130667,-4.223100662604157,-4.223100662604157,13.949332388162567,6.057447346356815,-4.223100662604157,-4.223100662604157,-4.223100662604157,-4.223100662604157
CPD_2961,-1.6174380438624745,-1.6174380438624745,16.71474986766639,-1.6174380438624745,-1.6174380438624745,-1.6174380438624745,-1.6174380438624745,-1.6174380438624745,-1.6174380438624745,-1.6174380438624745,-1.6174380438624745,7.546820790270736,-1.6174380438624745,-1.6174380438624745,-1.6174380438624745,-1.6174380438624745,-1.6174380438624745
2_KETO_3_DEOXY_6_P_GLUCONATE,-0.3588892052675776,-0.3588892052675776,5.742227284281238,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776,-0.3588892052675776
G3P,-6.08678547855607,-6.08678547855607,-6.08678547855607,-6.08678547855607,17.640941932912103,12.338793495720498,-6.08678547855607,-6.08678547855607,12.684308114699622,-6.08678547855607,15.3715341017184,-6.08678547855607,-6.08678547855607,-6.08678547855607,-6.08678547855607,15.005848097622206,-6.08678547855607
PHOSPHO_ENOL_PYRUVATE,-1.3771495490027235,-1.3771495490027235,22.034392784043618,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235,-1.3771495490027235
PYRUVATE,-4.865535376208388,14.23905190249457,17.946076332697046,-4.865535376208388,-4.865535376208388,-4.865535376208388,-4.865535376208388,16.16961475379384,-4.865535376208388,-4.865535376208388,14.897216901723583,-4.865535376208388,-4.865535376208388,-4.865535376208388,-4.865535376208388,-4.865535376208388,-4.865535376208388
ACETYL_COA,-1.6170657327971725,-1.6170657327971725,-1.6170657327971725,-1.6170657327971725,14.966210923895156,-1.6170657327971725,-1.6170657327971725,-1.6170657327971725,-1.6170657327971725,-1.6170657327971725,-1.6170657327971725,-1.6170657327971725,-1.6170657327971725,9.289775068062415,-1.6170657327971725,-1.6170657327971725,-1.6170657327971725
SUC,1.619564006846641,-9.361444390237894,-9.361444390237894,13.711609053748319,-9.361444390237894,9.064115154959278,14.174835635440482,-9.361444390237894,13.326338574433901,-9.361444390237894,11.854092566101004,-9.361444390237894,-9.361444390237894,8.93750332752664,-9.361444390237894,-9.361444390237894,11.564941193084781
MAL,-3.313538839103092,-3.313538839103092,-3.313538839103092,-3.313538839103092,-3.313538839103092,-3.313538839103092,-3.313538839103092,-3.313538839103092,-3.313538839103092,14.561776046593833,-3.313538839103092,-3.313538839103092,14.010095067157359,-3.313538839103092,-3.313538839103092,17.817672633692105,-3.313538839103092
FUM,-5.679051565939787,0.9096531876866134,-5.679051565939787,13.632567571733354,-5.679051565939787,-5.679051565939787,14.394599804504615,1.718670012191998,-5.679051565939787,0.6046185943513294,-5.679051565939787,-0.24089676708228325,16.215361876963282,-5.679051565939787,-5.679051565939787,3.8768898131092175,-5.679051565939787
CIT,-2.5167685400287247,-2.5167685400287247,21.724993201591033,-2.5167685400287247,-2.5167685400287247,-2.5167685400287247,-2.5167685400287247,-2.5167685400287247,-2.5167685400287247,-2.5167685400287247,-2.5167685400287247,-2.5167685400287247,-2.5167685400287247,-2.5167685400287247,16.026534898839806,-2.5167685400287247,-2.5167685400287247
GLYCERATE,-2.8289828340689027,-2.8289828340689027,-2.8289828340689027,-2.8289828340689027,-2.8289828340689027,-2.8289828340689027,19.14544274601833,-2.8289828340689027,-2.8289828340689027,13.821523311674852,-2.8289828340689027,-2.8289828340689027,-2.8289828340689027,-2.8289828340689027,6.638793619271519,-2.8289828340689027,-2.8289828340689027
PPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
