,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,-2.42994756435575,-2.42994756435575,4.900460463891466,-2.42994756435575,-2.42994756435575,-2.42994756435575,21.82896274402183,-2.42994756435575,-2.42994756435575,-2.42994756435575,-2.42994756435575,-2.42994756435575,-2.42994756435575
L_ALPHA_ALANINE,-3.316587277847983,-3.316587277847983,-3.316587277847983,20.12595711326168,-3.316587277847983,-3.316587277847983,-3.316587277847983,16.35650294306609,-3.316587277847983,-3.316587277847983,-3.316587277847983,-3.316587277847983,-3.316587277847983
ARG,-2.3112695687375435,18.75329018267445,-2.3112695687375435,-2.3112695687375435,-2.3112695687375435,-2.3112695687375435,-2.3112695687375435,-2.3112695687375435,-2.3112695687375435,-2.3112695687375435,-2.3112695687375435,6.67067507343852,-2.3112695687375435
ASN,-3.587748724955272,19.9152757593583,-3.587748724955272,-3.587748724955272,-3.587748724955272,-3.587748724955272,-3.587748724955272,7.638080423721863,-3.587748724955272,-3.587748724955272,-3.587748724955272,-3.587748724955272,8.32413106647258
L_ASPARTATE,-3.8903694457273126,14.381560772711897,-3.8903694457273126,-3.8903694457273126,-3.8903694457273126,-3.8903694457273126,17.42579106324713,-3.8903694457273126,-3.8903694457273126,7.096342621314141,-3.8903694457273126,-3.8903694457273126,-3.8903694457273126
CYS,-2.1190512526900918,-2.1190512526900918,-2.1190512526900918,-2.1190512526900918,-2.1190512526900918,16.76132472333641,-2.1190512526900918,-2.1190512526900918,-2.1190512526900918,6.548239056254619,-2.1190512526900918,-2.1190512526900918,-2.1190512526900918
GLT,-8.626987304833861,13.70853448857827,-8.626987304833861,-8.626987304833861,-8.626987304833861,14.009767014335656,-8.626987304833861,11.556904249958896,11.651431290460291,2.7395757568422443,-8.626987304833861,-8.626987304833861,6.7226983336616755
GLN,4.286976261220051,13.993166906494483,2.2024397229448365,11.101947844334646,5.945545813891252,-8.668694036143634,-8.668694036143634,-8.668694036143634,8.746512390060555,-8.668694036143634,5.735575277915986,-8.668694036143634,-8.668694036143634
HIS,-1.3511492426412346,-1.3511492426412346,-1.3511492426412346,-1.3511492426412346,-1.3511492426412346,-1.3511492426412346,16.21379091169488,-1.3511492426412346,-1.3511492426412346,-1.3511492426412346,-1.3511492426412346,-1.3511492426412346,-1.3511492426412346
GLY,-1.8043894886273968,-1.8043894886273968,0.6573375973904696,-1.8043894886273968,-1.8043894886273968,-1.8043894886273968,19.19094677751098,-1.8043894886273968,-1.8043894886273968,-1.8043894886273968,-1.8043894886273968,-1.8043894886273968,-1.8043894886273968
ILE,19.865064355126652,-1.6554220295938897,-1.6554220295938897,-1.6554220295938897,-1.6554220295938897,-1.6554220295938897,-1.6554220295938897,-1.6554220295938897,-1.6554220295938897,-1.6554220295938897,-1.6554220295938897,-1.6554220295938897,-1.6554220295938897
LEU,-1.6573659246611676,19.88839109593401,-1.6573659246611676,-1.6573659246611676,-1.6573659246611676,-1.6573659246611676,-1.6573659246611676,-1.6573659246611676,-1.6573659246611676,-1.6573659246611676,-1.6573659246611676,-1.6573659246611676,-1.6573659246611676
LYS,-3.1339051001511002,17.806845919210033,-3.1339051001511002,-3.1339051001511002,-3.1339051001511002,-3.1339051001511002,-3.1339051001511002,-3.1339051001511002,16.666110182452055,-3.1339051001511002,-3.1339051001511002,-3.1339051001511002,-3.1339051001511002
PHE,-2.4007131478194097,-2.4007131478194097,-2.4007131478194097,-2.4007131478194097,-2.4007131478194097,18.90511394580702,-2.4007131478194097,-2.4007131478194097,-2.4007131478194097,-2.4007131478194097,-2.4007131478194097,7.502730680206474,-2.4007131478194097
PRO,-2.384976476411911,18.409481046016605,-2.384976476411911,-2.384976476411911,-2.384976476411911,-2.384976476411911,-2.384976476411911,-2.384976476411911,-2.384976476411911,-2.384976476411911,-2.384976476411911,7.825260194514438,-2.384976476411911
SER,-3.1187146525079292,16.124499290048572,-3.1187146525079292,-3.1187146525079292,-3.1187146525079292,-3.1187146525079292,-3.1187146525079292,-3.1187146525079292,-3.1187146525079292,-3.1187146525079292,9.61668532487834,5.445961910152361,-3.1187146525079292
THR,-1.3328048863978985,15.993658636774786,-1.3328048863978985,-1.3328048863978985,-1.3328048863978985,-1.3328048863978985,-1.3328048863978985,-1.3328048863978985,-1.3328048863978985,-1.3328048863978985,-1.3328048863978985,-1.3328048863978985,-1.3328048863978985
TRP,7.01292160929729,18.267547290692143,-2.2982244454535845,-2.2982244454535845,-2.2982244454535845,-2.2982244454535845,-2.2982244454535845,-2.2982244454535845,-2.2982244454535845,-2.2982244454535845,-2.2982244454535845,-2.2982244454535845,-2.2982244454535845
TYR,-1.6124318287081536,-1.6124318287081536,-1.6124318287081536,-1.6124318287081536,-1.6124318287081536,19.349181944497843,-1.6124318287081536,-1.6124318287081536,-1.6124318287081536,-1.6124318287081536,-1.6124318287081536,-1.6124318287081536,-1.6124318287081536
VAL,-1.6974939133161264,-1.6974939133161264,-1.6974939133161264,20.369926959793503,-1.6974939133161264,-1.6974939133161264,-1.6974939133161264,-1.6974939133161264,-1.6974939133161264,-1.6974939133161264,-1.6974939133161264,-1.6974939133161264,-1.6974939133161264
RIBOSE_5P,6.764221798036914,-2.655082280246752,-2.655082280246752,-2.655082280246752,-2.655082280246752,22.441683284677296,-2.655082280246752,-2.655082280246752,-2.655082280246752,-2.655082280246752,-2.655082280246752,-2.655082280246752,-2.655082280246752
FRUCTOSE_16_DIPHOSPHATE,-5.649536779113248,18.59988235442538,-5.649536779113248,18.045411322894854,6.926178805505543,-5.649536779113248,-5.649536779113248,-5.649536779113248,7.274358529193449,-5.649536779113248,-5.649536779113248,-5.649536779113248,-5.649536779113248
FRUCTOSE_6P,8.531131499486694,-4.6007515600878595,-4.6007515600878595,-4.6007515600878595,-4.6007515600878595,-4.6007515600878595,-4.6007515600878595,-4.6007515600878595,13.000923196381986,-4.6007515600878595,9.344422877571997,-4.6007515600878595,10.530286467350077
GAP,-2.6979222359669954,-2.6979222359669954,-2.6979222359669954,19.604515499396935,-2.6979222359669954,-2.6979222359669954,-2.6979222359669954,-2.6979222359669954,-2.6979222359669954,-2.6979222359669954,-2.6979222359669954,-2.6979222359669954,10.072629096240004
CPD_2961,-2.684964600074764,-2.684964600074764,7.190100585398257,-2.684964600074764,11.217661087390061,-2.684964600074764,-2.684964600074764,-2.684964600074764,-2.684964600074764,-2.684964600074764,-2.684964600074764,8.4418843279593,-2.684964600074764
2_KETO_3_DEOXY_6_P_GLUCONATE,-0.3161872213079877,3.7942466556958596,-0.3161872213079877,-0.3161872213079877,-0.3161872213079877,-0.3161872213079877,-0.3161872213079877,-0.3161872213079877,-0.3161872213079877,-0.3161872213079877,-0.3161872213079877,-0.3161872213079877,-0.3161872213079877
G3P,11.467536043329076,13.57117860457774,-10.052510875033727,-10.052510875033727,-10.052510875033727,-10.052510875033727,12.564152705682767,-10.052510875033727,-10.052510875033727,11.300960458404644,11.07427057420852,10.389477739033302,-10.052510875033727
PHOSPHO_ENOL_PYRUVATE,-3.90918748412588,-3.90918748412588,-3.90918748412588,-3.90918748412588,-3.90918748412588,-3.90918748412588,21.090448329493814,16.45683255403281,-3.90918748412588,-3.90918748412588,-3.90918748412588,1.5445939577322072,-3.90918748412588
PYRUVATE,-6.530904910594998,-6.530904910594998,12.500012710742002,15.620213536917863,-6.530904910594998,14.2129150923017,-6.530904910594998,-6.530904910594998,-6.530904910594998,-6.530904910594998,-6.530904910594998,-6.530904910594998,16.44500285539343
ACETYL_COA,-1.25732122847338,-1.25732122847338,-1.25732122847338,-1.25732122847338,-1.25732122847338,-1.25732122847338,-1.25732122847338,-1.25732122847338,-1.25732122847338,-1.25732122847338,-1.25732122847338,-1.25732122847338,15.087854741680603
SUC,13.111283763136363,-8.00234998325238,-8.00234998325238,15.750749052191521,-8.00234998325238,14.682994610622487,-8.00234998325238,-8.00234998325238,12.703189924493001,-8.00234998325238,-8.00234998325238,-8.00234998325238,7.770582515575654
MAL,2.092578602645112,-3.210534593031955,-3.210534593031955,-3.210534593031955,11.100740630160491,-3.210534593031955,-3.210534593031955,-3.210534593031955,18.912026697513934,-3.210534593031955,-3.210534593031955,-3.210534593031955,-3.210534593031955
FUM,-6.171976812255895,16.894314666377646,2.8991353458963456,-6.171976812255895,-6.171976812255895,15.17954383766897,-6.171976812255895,-6.171976812255895,-6.171976812255895,3.848176493580725,-6.171976812255895,-6.171976812255895,10.554644154523519
CIT,-4.886094434434746,17.483945127287654,-4.886094434434746,16.531595179785107,-4.886094434434746,14.845404037274754,-4.886094434434746,-4.886094434434746,-4.886094434434746,-4.886094434434746,-4.886094434434746,-4.886094434434746,-4.886094434434746
GLYCERATE,-2.946556757063128,-2.946556757063128,-2.946556757063128,14.787263999320098,9.103488601094387,-2.946556757063128,-2.946556757063128,5.5748149702168135,-2.946556757063128,-2.946556757063128,-2.946556757063128,-2.946556757063128,-2.946556757063128
PPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THIAMINE_PYROPHOSPHATE,-1.310100825626515,15.721209907518189,-1.310100825626515,-1.310100825626515,-1.310100825626515,-1.310100825626515,-1.310100825626515,-1.310100825626515,-1.310100825626515,-1.310100825626515,-1.310100825626515,-1.310100825626515,-1.310100825626515
RIBOFLAVIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADENOSYLCOBALAMIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
