,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,25.146294545709356,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372
METOH,-1.88375019206282,-1.88375019206282,23.838834501174492,-1.88375019206282,-1.88375019206282,-1.88375019206282,-1.88375019206282,-1.88375019206282,-1.88375019206282,-1.88375019206282,4.417418379767842,-1.88375019206282,-1.88375019206282,-1.88375019206282,-1.88375019206282,-1.88375019206282,-1.88375019206282
L_ALPHA_ALANINE,5.729496621059962,-6.652970053714995,15.941228110971167,6.317874817853266,-6.652970053714995,-6.652970053714995,-6.652970053714995,4.950638317062955,-6.652970053714995,-6.652970053714995,4.639355463880992,-6.652970053714995,5.699175833758533,3.5179532882269218,2.8745384378351453,-6.652970053714995,3.5534995390710282
ARG,1.3186070302400923,8.661255596191339,-10.65104472488185,2.20480237110365,1.564990733144029,-4.882625923168108,3.7180468237413553,-1.3513099841138754,3.7526363013104804,-2.4703529652678267,1.1764818702095052,-3.3315361376090635,2.087188445375566,-0.8047618217561414,-1.240179900975395,0.8073709769827087,-0.559568690526465
ASN,-0.2100088335409378,0.6942821931760772,14.973151442084566,-7.5772996786663,14.170522217388127,-2.162921075994575,-7.5772996786663,1.4881702651211484,-7.5772996786663,0.7598922322026933,-7.5772996786663,-0.6067540884445268,-7.5772996786663,1.9136331596712193,9.781439506195468,4.662391054138521,-7.5772996786663
L_ASPARTATE,3.800440905189257,10.750159309429032,-8.156606994131307,-8.156606994131307,-8.156606994131307,9.780427408374113,-8.156606994131307,1.398418117550893,13.535413264697368,-8.156606994131307,11.672929306456586,-0.8608157037105144,12.79085830763685,2.385025037426866,-8.156606994131307,-8.156606994131307,-8.156606994131307
CYS,2.952999975570389,-1.3644023373468688,11.409702016830392,2.858215984466911,6.84541792111658,-4.198459603943315,4.371442493400734,-0.6971137119143815,-7.713880884674351,-1.80496058231307,1.1893598429872938,-2.662822088824843,2.2391016713815155,0.5375248194375857,-7.713880884674351,1.4656362531741252,-7.713880884674351
GLT,-0.7335188636841696,-13.415729706107482,-13.415729706107482,9.21022096062627,-13.415729706107482,4.975428746536125,9.972253598594296,-13.415729706107482,9.222602267680307,-13.415729706107482,7.329668887078036,-5.305338163203258,8.193635012989274,5.800330405606912,4.945455728145943,7.245482550981172,6.222427399186485
GLN,2.6792387144047867,-0.9088507226049796,-10.008017907203287,2.908645233876223,-10.008017907203287,-4.389844440252714,5.644254390126825,-0.6459137322580091,3.9257906772811637,-1.4774606013277918,1.228199012773052,7.982396212654476,2.058282519518645,0.2250004415338971,-0.8731431192334007,1.6094532252776474,0.04998800263676273
HIS,1.3531452929963148,-1.9893743466684164,10.85693669601263,2.23933516262003,-9.712419558149227,-4.843515121806483,3.752576623060456,-1.316646637004263,3.259522553360849,-2.4354125678270275,0.5608337650012984,-2.942555493757178,1.6202044121958377,0.4859633030336177,-1.2055306881257497,0.841915451624855,-0.52497884656756
