,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
CH4,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,24.662711958291872,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321
METOH,-1.866070027139699,-1.866070027139699,-1.866070027139699,-1.866070027139699,-1.866070027139699,22.39284032567646,-1.866070027139699,-1.866070027139699,-1.866070027139699,-1.866070027139699,-1.866070027139699,-1.866070027139699,-1.866070027139699
L_ALPHA_ALANINE,1.9648607152996505,14.581022781430155,-8.81560829870584,-8.81560829870584,3.5021746459681875,11.933267673166034,-8.81560829870584,-8.81560829870584,6.301149992231048,1.35767463971586,-8.81560829870584,-0.18717185116508261,4.62506289688336
ARG,-0.023911928061959742,-10.437371525225604,-0.47921555508499836,6.971338917325593,1.4173475574161838,4.822534374587535,10.595303079508314,-10.437371525225604,4.354731753975162,0.6072971801577989,0.15838740739793522,-10.437371525225604,2.8883017884552578
ASN,-0.36434848035918144,-10.422448233514341,-2.222104364885764,11.561248010082885,1.2153112937445076,4.4820851107304645,12.833146710986831,-10.422448233514341,4.014282550157947,-0.6976854115723157,2.9544949979143205,-2.509085716256692,-10.422448233514341
L_ASPARTATE,7.059089331062898,-5.89872131348211,-5.89872131348211,-5.89872131348211,8.638914790875596,15.454674126281676,-5.89872131348211,5.40978670211774,-5.89872131348211,-5.89872131348211,-5.89872131348211,-5.89872131348211,10.627305557518952
CYS,-0.9733766400345782,7.240848182326049,-5.899435131119134,6.032361114811312,0.6167474738961047,-9.097445165434507,9.661019226404978,-3.257126682074267,3.4108881955213723,-9.097445165434507,-0.7804580336514011,-3.105564932061924,5.248987556850523
GLT,13.995170565130916,-7.343292701664341,3.537876841688364,15.792750447632104,7.453165662452454,-7.343292701664341,-7.343292701664341,-7.343292701664341,-7.343292701664341,-7.343292701664341,7.07926711700882,3.544818277737683,-7.343292701664341
GLN,-5.932437627887957,-5.932437627887957,-5.932437627887957,-5.932437627887957,-5.932437627887957,16.705763223766667,-5.932437627887957,14.251317026313306,-5.932437627887957,5.9283480033583675,-5.932437627887957,0.8789363280046292,9.695136441660722
HIS,-1.085596879773692,6.421648795534827,-6.05309020873137,5.909609878403032,0.4940380313770101,3.760805641918561,-10.595004392255234,-2.1914246065131833,3.293003228097722,-1.4189214223286593,-0.9033048979685105,0.5416617245185025,1.8265751077209895
GLY,1.5529511030485939,11.296691194078093,-8.4872280094413,-8.4872280094413,-8.4872280094413,12.149548074927775,-8.4872280094413,-8.4872280094413,5.957494057931628,1.245986385855801,2.8819449605972114,1.0543922657411553,6.297132005026242
ILE,-11.320944534341223,6.695769127597229,-5.785726842462553,6.1837301932546165,0.768148730729008,4.034925631449188,9.807694357887462,-11.320944534341223,3.567122997961955,-1.1448664840268972,-0.62922360375123,-2.956377957519507,2.1006929175631432
LEU,-0.14491611056085496,-11.039581512244698,-5.120373043787946,6.85034619325119,1.434762941726106,4.701541570918921,10.47431036566163,-11.039581512244698,4.23373889656215,-0.47826264798289486,0.03738513618454675,-2.676678728978805,2.7673084514953583
