,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,0.0,0.0,0.0,0.0,6.250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,4.304622101152088,0.0,-6.249995055074725,0.0,0.0,0.0,0.0,0.0,1.9453729539226376,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,7.4081428632507866e-06,1.2800149229967774e-07,0.00697152544105596,-2.1774783695428528e-05,0.0,8.352745599662125e-09,-0.0005324917284195937,1.7505109160928746e-06,4.041953884531024e-05,1.3583545925750132e-07,3.3543209504226214e-06,-0.01580223573422041,7.845856126713271e-06,0.009320308400089497,5.733364000107595e-07,3.6042645666112744e-06,-5.597551755723689e-07
ARG,5.354432197246731e-06,1.1896922526287497e-06,0.07180660265363298,1.29892712675999e-05,9.32318674222673e-06,1.913157974734825e-08,5.899013450756717e-05,3.7080555382595086e-07,3.6028678403374534e-05,1.3776647445862294e-07,-0.08243253005075005,3.994903892891382e-07,6.993544094363074e-06,6.40509838282214e-07,0.0034615005194155997,3.2113274453383782e-06,0.007028778906955515
ASN,3.7529868256417645e-06,1.326031299692522e-07,0.037872245325003794,9.104338638755427e-06,9.715722634433694e-06,7.58331987878543e-09,6.721142192203479e-05,2.5990213473973436e-07,-0.03797203614044814,8.486600318032145e-08,1.6993087968589968e-06,3.58558863436858e-08,4.901860343695364e-06,4.4894115682390043e-07,2.9045389588465e-07,1.5712765746069498e-06,5.736941814989728e-07
L_ASPARTATE,4.178022368924085e-06,1.7863424616705237e-07,-0.15251355772308703,3.916630189888949e-05,0.0,0.0,0.08405865480834539,4.2168475338737753e-07,-0.11385744296419491,1.9317490185947326e-07,0.19610382320656247,0.0,-0.013833108319457572,-2.0192476039714787e-06,0.0,0.0,-4.875787337691266e-07
CYS,5.508539583781076e-07,1.4175550125001805e-08,0.007387328824478711,9.131295016914751e-06,9.591519945466285e-07,-4.719763381791841e-09,6.039980379422962e-06,-4.3478146431687115e-09,3.7065629711094056e-06,1.2456418302405056e-08,-0.007412952266922468,5.212748011272051e-09,7.194827211469159e-07,-9.031215218253493e-07,-4.858904681852716e-09,3.836107339637554e-07,5.017707956367751e-06
GLT,1.882731501812241e-05,0.0,-0.5939241036128613,8.252252814266112e-05,3.274308707287209e-05,1.4018701929205199e-08,-0.138853284395565,-0.011826964168159444,0.18993047799416585,4.960781586769483e-07,0.5558498191551522,5.979775571599941e-08,-0.0013130912892769203,-8.207628399683158e-07,1.5033966357713557e-06,1.8008578990671535e-06,0.0
GLN,7.793574623158912e-06,-2.7977393355698393e-07,-0.04727425073090383,-9.30258207887031e-06,4.832968098365e-06,1.6982097263176555e-08,3.70108040358726e-05,0.011824181638330046,4.20422096506518e-05,2.1384286486088038e-07,0.019764942199519433,0.013168431204463706,0.002410814410552924,4.284300985785086e-06,4.717598170197747e-07,3.3134943029863716e-06,1.54836975741777e-05
HIS,2.1680506670029514e-06,7.66030678318076e-08,-5.584950064425587e-05,5.259455568432249e-06,3.7750298239786125e-06,4.3807832228364045e-09,2.3885557936747844e-05,1.501420129503429e-07,1.4588288237889443e-05,4.902596341235687e-08,9.816681330460388e-07,2.0713469541720774e-08,2.8317396466977323e-06,2.593473464513679e-07,1.6779135977879137e-07,1.3002911146042354e-06,3.314155126675324e-07
