,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
CH4,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,0.0,0.0,0.0,4.506388689310087,-4.506388689310086,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,-0.01870619115222912,-0.7596636122283259,6.527454858672991e-09,0.7910802079316742,5.673126547027585e-06,0.00011351610243529883,0.0,-3.158183423701073e-07,0.0017979829610013046,-0.014628472904274907,1.2054540596471902e-06,0.0,0.0
ARG,8.448409346991766e-07,0.0015387303018199801,5.8183635591616974e-09,0.001245417193852192,4.100409610057818e-06,0.0001075762550146164,-0.008812983966221731,8.495453794943024e-08,6.736101372682868e-05,6.053425446951831e-07,0.005832938601042413,-2.2415103419745788e-07,1.5543385808924976e-05
ASN,5.921593141695318e-07,-0.02076815998304364,4.078161974962772e-09,0.0006463242258127564,-0.03384586944519595,7.537657303637274e-05,0.05383215135173015,5.954567168982741e-08,4.72141560049365e-05,6.328921468314457e-07,7.105789425175134e-07,6.931874938407194e-08,1.089454866881277e-05
L_ASPARTATE,0.0,12.651406609064011,0.0,0.012691313510023524,0.045068479224524206,0.6925242717533049,-13.4907982267915,1.7975251193212905e-06,0.000989181106844667,0.01951263909379467,0.007779484846398175,0.0,0.0608244506674803
CYS,8.614739183804662e-08,0.0001575500871425214,5.957274038919924e-10,9.396296302505698e-05,4.178276033224102e-07,-0.0038167874398414648,0.0035561291017613484,8.698278446654785e-09,6.864168913217737e-06,6.197947910092288e-08,1.0429698834846505e-07,1.012590447979688e-08,1.5914476263797832e-06
GLT,7.817497856703678e-05,-14.507361324196204,1.2953555839231048e-08,-1.3152208509648737,-0.01366827982493812,-0.09244592072930129,15.967902648533618,5.472720920170981e-08,-0.0016249047878651043,9.551419525209465e-06,0.0,1.069841413178966e-07,-0.03766926909343497
GLN,0.03117259578282072,0.15259526719673275,4.667817314408711e-08,0.00340658991041035,-0.00021368069202323003,-0.0014200605776973866,-0.18444355777402596,0.0,-0.0008747394023701049,-8.150264859323492e-06,-1.3353307301095842e-05,1.3255280436821175e-07,-0.00020109010266421002
HIS,3.4208257468042863e-07,-0.014449431075265327,2.3559000339555355e-09,0.0003733729250791855,1.6602873026653295e-06,4.354404559359454e-05,0.01399621070841108,3.439874404626859e-08,2.7274991140151384e-05,2.45107839532734e-07,4.104920219164126e-07,4.0044521289319596e-08,6.293636137152337e-06
GLY,7.621718420690457e-07,-3.7992850405172227,-1.0625033256093518e-08,0.0,2.898421544809602e-06,-0.2775879358211613,4.061536223106016,6.143826165573969e-08,4.7604086743792644e-05,5.594993912817153e-07,0.0,8.538170563593973e-07,0.015284024422560282
ILE,-0.03749693114021045,0.0016937108391469912,0.0,-0.002218295391932798,4.5134018568966325e-06,0.00011837214915961861,0.038047947062805815,9.351113810489465e-08,-0.00016729451514376476,6.663124968257128e-07,0.0,1.0885888030078108e-07,1.710891180246589e-05
LEU,1.366988795302568e-06,0.0024897314928631164,0.0,0.0014920274893551677,6.634638264889313e-06,0.00017400542101331828,-0.004300688746926038,0.0,0.00010899300356177099,9.794701486770487e-07,1.6403583112792097e-06,1.6002104745292317e-07,2.5149863565063943e-05
LYS,-0.0058263176092945455,0.0017973110563721064,6.796128692926278e-09,0.0010770789985651648,-0.016746508924229457,-0.008888081423399929,0.04037524844718001,-2.3272246709589282e-07,-0.00010169901828087137,7.895952786004597e-07,-0.011644006869622636,1.2041968853411593e-06,-4.479252311537641e-05
PHE,1.0339109925679858e-06,0.001883088411448256,1.0962850458661165e-09,0.0011284830042198545,5.018055347163943e-06,0.00013208537822232555,-0.003267221200742956,0.0,8.283530562100214e-05,7.408143776227905e-07,1.2406718296520091e-06,1.2132245462401236e-07,3.257322994484008e-05
PRO,6.448475288086069e-07,-0.026968925719974383,4.441022219373681e-09,0.00043441640913564346,3.129747737768352e-06,8.205366339763264e-05,0.026383752216653934,6.484383226207388e-08,5.141510248346926e-05,4.620439517036378e-07,7.738037115036703e-07,3.4469393473752125e-07,1.1863906584702816e-05
