,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,0.0,0.0,0.0,0.0,11.603453021610125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,11.441508035413216,0.0,-11.60345267800139,0.0,0.0,0.0,0.0,0.0,11.096575877952555,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,5.6772832662900505,3.9148408780022645,8.650900821804953,-6.145527164446917,0.0,2.7302113124390335,-7.533885882919588,5.050741691677873,6.414164525866727,3.9406359532692488,5.333179635518332,-9.006291540909746,5.702214206387566,8.777003287971421,4.565994317085741,5.364391543289851,-4.555583205981043
ARG,5.536287691038928,4.883013323266977,9.66373738403602,5.921158311701175,5.777138112950609,3.0896772506720778,6.5783525053659915,4.376737475839346,6.364221523720818,3.9467656445841905,-9.723671633927683,4.409096271574611,5.652271288914997,4.614109369591231,8.346837407334604,5.314259701568352,8.65445288785261
ASN,5.3819518464741165,3.9301777868218286,9.3858940582666,5.7668221502920565,5.79504880848919,2.6883234387235113,6.635016188318288,4.222408875777176,-9.387036889990906,3.736386449759224,5.03784929040063,3.362322073276281,5.497935318009987,4.459777492145586,4.270673497825835,5.003829944969922,4.56626523978648
L_ASPARTATE,5.428545384080039,4.059575589971608,-9.99088145640266,6.400485744156752,0.0,0.0,9.732155440050697,4.432576943435552,-9.863934430427255,4.093558718653864,10.100059064980645,0.0,-8.948492782427387,-5.11276593029619,0.0,0.0,-4.495631632095046
CYS,4.548621757999407,2.959589832400872,8.676060435930072,5.768106119364604,4.789467490638549,-2.4829240194083013,5.588609651993902,-2.4473969969493865,5.376546211950559,2.9035088719017743,-8.677564208822869,2.525935412013835,4.664602774057576,-4.763326685762162,-2.4955012653528197,4.391481387511985,5.50807973296025
GLT,6.082361752806594,0.0,-10.581303955169881,6.724145610690425,6.32269283386107,2.9547630450152846,-9.950129161197944,-8.880446285879367,10.086167665523169,4.503136745586149,10.552530472977134,3.584370990840287,-7.92586792975634,-4.721798930980178,4.98465107753475,5.063056205445837,0.0
GLN,5.699310570287485,-4.254404429654021,-9.482197658667324,-5.776177241980084,5.4917883322828125,3.0379624545267605,6.37590170699103,8.88034409739645,6.431258698719878,4.137699398423748,9.103468553239818,8.927107043990462,8.189736785853356,5.439454556879133,4.481308288408348,5.3278612738750715,5.997448121258326
HIS,5.143645551541075,3.691907458980931,-6.554592419778653,5.528515080918192,5.384495183115165,2.4506660727663974,6.18570867776714,3.984120287554516,5.971577803523588,3.4981370892870585,4.799544587781789,3.124152288205175,5.259628714272495,4.22148089360531,4.032382908656503,4.921618801093004,4.327966246286573
