,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
CH4,0.0,0.0,0.0,0.0,0.0,0.0,11.603453021610125,0.0,0.0,0.0,0.0,0.0,0.0
METOH,0.0,0.0,0.0,0.0,0.0,11.461401652449299,-11.461401652449299,0.0,0.0,0.0,0.0,0.0,0.0
L_ALPHA_ALANINE,-9.079558372566805,-10.688194328536627,2.6233519039190103,10.705793523290996,5.5613966677913655,6.862630535097494,0.0,-4.307031771226716,8.062358579752285,-8.972771996343964,4.888729279378472,0.0,0.0
ARG,4.734355958949549,7.994735514980012,2.5735348524204262,7.902887866860894,5.420401896578321,6.839289488527197,-8.752695985027774,3.7368391996249954,6.635981718989824,4.589585376235815,8.573460410387316,-4.158143926806815,5.999119066388298
ASN,4.580022991676861,-9.12497102521775,2.419692935777551,7.618023449377622,-9.33707867935846,6.684809482552363,9.538614740727118,3.582536783478475,6.481645378220748,4.608913398583576,4.659194856675835,3.648521292031452,5.844782868465534
L_ASPARTATE,0.0,11.909711818203732,0.0,8.911079577297235,9.461445908047592,10.648008003532956,-11.937610651137883,5.062251735365855,7.80284882393642,9.097889016515648,8.698523844312566,0.0,9.591651199691167
CYS,3.7428936486253024,7.004991694920792,1.5938290808855164,6.780529779601791,4.428586320526157,-8.3892709804284,8.35855052538448,2.747783253880332,5.644161951763209,3.5999300473299787,3.8259096218748914,2.813674318881752,5.009369605350191
GLT,6.700640861636317,-11.96916143210278,2.920483874652943,-10.926571689644923,-8.943286866105662,-9.773460756568419,12.010820880454833,3.5458998856873993,-8.018400926778803,5.7876416333629646,0.0,3.8369556303778536,-9.383560198001465
GLN,9.301345972534115,9.991114068319916,3.4768317404030666,8.33989286204757,-7.137338317435724,-7.9598798801708295,-10.073436495135528,0.0,-7.749451701626414,-5.718745556436529,-5.93316235439761,3.930012951259391,-7.110963733739663
HIS,4.341723729422682,-8.967423752466694,2.18259155422027,7.379715844523939,5.027760324885577,6.446501935649953,8.95358347677085,3.3443121844055614,6.243337870448769,4.196957801849876,4.4208942028747416,3.4102849926914915,5.606475709843743
GLY,4.689634778983075,-11.387274881890939,-2.834539457243957,0.0,5.269736887259689,-10.250973591720024,11.416263335141172,3.596122005725042,6.485217384246596,4.555384712055396,0.0,4.738945752685597,8.991810727689792
ILE,-9.381568729682131,8.03641227512569,0.0,-8.15359238435935,5.4620785061806645,6.880822594123201,9.387904233135464,3.7785086758926125,-7.031054747274563,4.631261114344887,0.0,3.8444989993579775,6.040795787116042
LEU,4.943342907259091,8.203725519757958,0.0,7.9813498335204365,5.629391272932762,7.048135821762543,-8.441111018402578,0.0,6.844971687091064,4.798571114641699,5.022515851230321,4.011792381250608,6.208108906621291
LYS,-8.57296716100153,8.062196253960689,2.6408287498635463,7.8398205684230575,-9.03149728989456,-8.756381029533443,9.413688212190417,-4.174440380699516,-6.814889831395448,4.704986113543937,-8.873675457833738,4.888276120918616,-6.458778681756777
PHE,4.82206269926177,8.082443718581441,1.8536231137784878,7.860068032929176,5.508109799320539,6.92842779959367,-8.321751544854168,0.0,6.7257885648369395,4.67729153730618,4.901235377583063,3.891569942401677,6.320434037042874
