,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413,25.146293801061496,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413,-1.5716433625663413
L_ALPHA_ALANINE,-3.6897284228833804,-3.6897284228833804,-3.6897284228833804,10.46087081456206,-3.6897284228833804,-3.6897284228833804,13.65768490344555,-3.6897284228833804,-3.6897284228833804,-3.6897284228833804,-3.6897284228833804,17.048024222373776,-3.6897284228833804,-3.6897284228833804,-3.6897284228833804,-3.6897284228833804,6.7998895571025955
ARG,-1.317034197261819,-1.317034197261819,-1.317034197261819,-1.317034197261819,-1.317034197261819,-1.317034197261819,-1.317034197261819,-1.317034197261819,-1.317034197261819,-1.317034197261819,21.07254715618912,-1.317034197261819,-1.317034197261819,-1.317034197261819,-1.317034197261819,-1.317034197261819,-1.317034197261819
ASN,-1.271438306486953,-1.271438306486953,-1.271438306486953,-1.271438306486953,-1.271438306486953,-1.271438306486953,-1.271438306486953,-1.271438306486953,20.343012903791298,-1.271438306486953,-1.271438306486953,-1.271438306486953,-1.271438306486953,-1.271438306486953,-1.271438306486953,-1.271438306486953,-1.271438306486953
L_ASPARTATE,-5.202718950909436,-5.202718950909436,17.80213575647397,-5.202718950909436,-5.202718950909436,-5.202718950909436,-5.202718950909436,-5.202718950909436,17.509829426863075,-5.202718950909436,-5.202718950909436,-5.202718950909436,15.40194713467268,6.5698596641584075,-5.202718950909436,-5.202718950909436,5.148855428745112
CYS,-2.8263166293835624,-2.8263166293835624,-2.8263166293835624,-2.8263166293835624,-2.8263166293835624,2.8908272047428536,-2.8263166293835624,2.809023212430489,-2.8263166293835624,-2.8263166293835624,17.15451336135065,-2.8263166293835624,-2.8263166293835624,8.141648390313126,2.919787383765618,-2.8263166293835624,-2.8263166293835624
GLT,-5.696804955484687,-5.696804955484687,18.667547796128417,-5.696804955484687,-5.696804955484687,-5.696804955484687,17.214214124455047,14.751178281515484,-5.696804955484687,-5.696804955484687,-5.696804955484687,-5.696804955484687,12.553180388611839,5.175538875105492,-5.696804955484687,-5.696804955484687,-5.696804955484687
GLN,-2.6429314593432025,7.153196759945983,19.190635518327227,10.6572081525316,-2.6429314593432025,-2.6429314593432025,-2.6429314593432025,-2.6429314593432025,-2.6429314593432025,-2.6429314593432025,-2.6429314593432025,-2.6429314593432025,-2.6429314593432025,-2.6429314593432025,-2.6429314593432025,-2.6429314593432025,-2.6429314593432025
HIS,-0.8877945174372996,-0.8877945174372996,14.2047122789968,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996,-0.8877945174372996
