,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,-2.0300655838266977,-2.0300655838266977,-2.0300655838266977,-2.0300655838266977,-2.0300655838266977,-2.0300655838266977,24.36078700592038,-2.0300655838266977,-2.0300655838266977,-2.0300655838266977,-2.0300655838266977,-2.0300655838266977,-2.0300655838266977
L_ALPHA_ALANINE,15.05300876851484,18.757029940785177,-5.853446991126763,-5.853446991126763,-5.853446991126763,-5.853446991126763,-5.853446991126763,4.063860160351615,-5.853446991126763,14.807124050489275,-5.853446991126763,-5.853446991126763,-5.853446991126763
ARG,-2.2867928860786826,-2.2867928860786826,-2.2867928860786826,-2.2867928860786826,-2.2867928860786826,-2.2867928860786826,17.867034412555107,-2.2867928860786826,-2.2867928860786826,-2.2867928860786826,-2.2867928860786826,7.287687334310414,-2.2867928860786826
ASN,-3.270033879682483,17.740988376986504,-3.270033879682483,-3.270033879682483,18.229384299520838,-3.270033879682483,-3.270033879682483,-3.270033879682483,-3.270033879682483,-3.270033879682483,-3.270033879682483,-3.270033879682483,-3.270033879682483
L_ASPARTATE,-2.1144126408674637,-2.1144126408674637,-2.1144126408674637,-2.1144126408674637,-2.1144126408674637,-2.1144126408674637,25.372951690409568,-2.1144126408674637,-2.1144126408674637,-2.1144126408674637,-2.1144126408674637,-2.1144126408674637,-2.1144126408674637
CYS,-1.485923869278615,-1.485923869278615,-1.485923869278615,-1.485923869278615,-1.485923869278615,17.83108643134336,-1.485923869278615,-1.485923869278615,-1.485923869278615,-1.485923869278615,-1.485923869278615,-1.485923869278615,-1.485923869278615
GLT,-10.45275185533756,17.107260833861567,-10.45275185533756,14.706609234769603,10.139927164926775,12.051473189699188,-10.45275185533756,-10.45275185533756,8.010298588312953,-10.45275185533756,-10.45275185533756,-10.45275185533756,11.15369397579287
GLN,-9.154188830308245,-9.154188830308245,-9.154188830308245,-9.154188830308245,7.2801399830744575,9.17411192379634,14.04075587861301,-9.154188830308245,8.689583136734079,4.0137094385684495,4.507422361241149,-9.154188830308245,7.219410259821984
HIS,-1.5883274042300428,19.059928850760492,-1.5883274042300428,-1.5883274042300428,-1.5883274042300428,-1.5883274042300428,-1.5883274042300428,-1.5883274042300428,-1.5883274042300428,-1.5883274042300428,-1.5883274042300428,-1.5883274042300428,-1.5883274042300428
GLY,-4.334667436430085,21.885501956437526,2.1921008633232866,-4.334667436430085,-4.334667436430085,19.269071544540076,-4.334667436430085,-4.334667436430085,-4.334667436430085,-4.334667436430085,-4.334667436430085,-4.334667436430085,-4.334667436430085
ILE,17.250644734054376,-4.351215571810787,-4.351215571810787,14.423124706764831,-4.351215571810787,-4.351215571810787,-4.351215571810787,-4.351215571810787,11.83838627728864,-4.351215571810787,-4.351215571810787,-4.351215571810787,-4.351215571810787
LEU,-1.4951058768678074,-1.4951058768678074,-1.4951058768678074,-1.4951058768678074,-1.4951058768678074,-1.4951058768678074,17.94127052241376,-1.4951058768678074,-1.4951058768678074,-1.4951058768678074,-1.4951058768678074,-1.4951058768678074,-1.4951058768678074
LYS,10.408737302176421,-9.331249085473187,-9.331249085473187,-9.331249085473187,11.464541941654149,10.831063341706372,-9.331249085473187,0.2807551067179084,6.360614650694678,-9.331249085473187,11.101143743801892,-9.331249085473187,5.540638426087702
PHE,-1.473964696521648,-1.473964696521648,-1.473964696521648,-1.473964696521648,-1.473964696521648,-1.473964696521648,17.687576358259733,-1.473964696521648,-1.473964696521648,-1.473964696521648,-1.473964696521648,-1.473964696521648,-1.473964696521648
PRO,-1.6363297320470558,19.63595678456469,-1.6363297320470558,-1.6363297320470558,-1.6363297320470558,-1.6363297320470558,-1.6363297320470558,-1.6363297320470558,-1.6363297320470558,-1.6363297320470558,-1.6363297320470558,-1.6363297320470558,-1.6363297320470558
SER,-4.5371563838684565,-4.5371563838684565,-4.5371563838684565,-4.5371563838684565,-4.5371563838684565,-4.5371563838684565,22.092002271203015,-4.5371563838684565,-4.5371563838684565,-4.5371563838684565,-4.5371563838684565,6.708069573542733,16.57149199393882
THR,-1.4448123056574005,-1.4448123056574005,-1.4448123056574005,-1.4448123056574005,-1.4448123056574005,-1.4448123056574005,17.33774766788885,-1.4448123056574005,-1.4448123056574005,-1.4448123056574005,-1.4448123056574005,-1.4448123056574005,-1.4448123056574005
TRP,-1.418552586959354,-1.418552586959354,-1.418552586959354,-1.418552586959354,-1.418552586959354,-1.418552586959354,17.022631043512185,-1.418552586959354,-1.418552586959354,-1.418552586959354,-1.418552586959354,-1.418552586959354,-1.418552586959354
TYR,-3.027785966383897,-3.027785966383897,-3.027785966383897,-3.027785966383897,7.817396800651467,-3.027785966383897,15.776884452567524,-3.027785966383897,-3.027785966383897,-3.027785966383897,6.683578410619976,-3.027785966383897,-3.027785966383897
VAL,-3.8599653685653372,-3.8599653685653372,2.6292726211442954,-3.8599653685653372,-3.8599653685653372,18.22061310340143,-3.8599653685653372,-3.8599653685653372,-3.8599653685653372,-3.8599653685653372,-3.8599653685653372,-3.8599653685653372,17.749767961107676
