,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
CH4,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,25.146294545709356,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372
METOH,-3.0526974143273478,-3.0526974143273478,23.292348429386717,-3.0526974143273478,-3.0526974143273478,-3.0526974143273478,-3.0526974143273478,-3.0526974143273478,-3.0526974143273478,-3.0526974143273478,22.49811278552352,-3.0526974143273478,-3.0526974143273478,-3.0526974143273478,-3.0526974143273478,-3.0526974143273478,-3.0526974143273478
L_ALPHA_ALANINE,4.116514776704022,0.05834120617174143,10.963522232298029,-8.955913040959995,-8.955913040959995,-2.669369172214166,-8.955913040959995,2.6738494868610037,5.813246580311952,0.1177365619541586,3.3241868860439343,-8.955913040959995,4.173920387726888,11.253883891082728,1.5576774082571614,3.396054959602539,-8.955913040959995
ARG,0.1339257440516679,-1.3702940768151386,9.63772987922962,1.0201230979199227,0.6885043351868276,-5.49960298430064,2.5333686514547713,-2.5360372960449293,2.040313845170413,-3.526084025100401,-12.613847763860994,-2.4615284153576695,0.4009878475529174,-1.9894683119960703,6.605455623912736,-0.3773125947307232,7.313766443727696
ASN,1.5918311084301102,-1.7510021997206984,10.811248758513091,2.478027732737388,2.5430220151271445,-4.6104775093217185,4.477118382522895,-1.078115250582698,-10.800570984472973,-2.1972232435924344,0.7995056923541526,-3.058538300702173,1.8588929210223046,-0.5315538129881734,-0.966981851334463,0.7211732546919887,-0.2863567126837392
L_ASPARTATE,6.506606305406153,3.3544368647329534,-5.993081372618182,8.744581689798057,-5.993081372618182,-5.993081372618182,16.41603466634346,4.213304220885634,-5.993081372618182,3.432685910250015,17.263164068765633,-5.993081372618182,-5.993081372618182,-5.993081372618182,-5.993081372618182,-5.993081372618182,-5.993081372618182
CYS,2.6582613769968386,-1.0006198471779708,12.162040149047039,5.466227888615705,3.212829170682957,-7.815327276640966,5.0529219986028355,-7.815327276640966,4.5646278827899955,-1.1297510308239804,-7.815327276640966,-1.9991460510721364,2.925317535642682,-7.815327276640966,-7.815327276640966,2.2964323024049396,4.867495007495931
GLT,5.7621885027648645,-8.242966999444732,-8.242966999444732,7.239950446852385,6.315571267384046,-1.439373658662845,-8.242966999444732,-8.242966999444732,14.98129231262747,2.1258885426556535,16.05513236099782,0.01035221182440793,-8.242966999444732,-8.242966999444732,3.2346162654634902,3.4151507442058495,-8.242966999444732
GLN,1.2688096919726615,-11.854337867514694,-11.854337867514694,-11.854337867514694,0.7909720802783404,-4.859170806645775,2.82671835739814,8.593410071808034,2.954182541345981,-2.326932913413744,9.107173117715382,8.701085735539886,7.003227971136211,0.6704691091737303,-1.5357442055149697,0.41351607925031075,1.9552967724998744
HIS,2.0203730488928144,-1.3223774419677854,-9.823308521730805,2.9065678899841965,2.574949820208421,-4.180441354672634,4.419812069299723,-0.6495325389126227,3.926757510316737,-1.7685502066888406,1.2280512992557968,-2.629682034666329,2.2874341504364817,-0.10298954575603236,-0.5384037470143683,1.5091375630651753,0.14220203995005765
GLY,0.7159518495938944,-1.820432057056598,-11.95200111080515,3.08730337486797,1.5367250533573849,-7.698967825457526,10.736682807842355,7.5796439993241345,8.133921499858301,-3.2385477001777137,-11.95200111080515,-3.097190600210082,9.373088829834055,0.26291152684300556,-2.006771550112944,1.769948152359751,-1.4302651392557042
ILE,3.278596017965439,-0.06427844131882487,12.782400419288127,4.164793528279841,3.8331747224030828,-2.9244558458370236,5.678039167373766,-9.56514151134456,5.184984345692401,-9.56514151134456,-9.56514151134456,-1.371929603658483,3.5456581838488805,-9.56514151134456,-0.014173793670220647,2.7673575015568357,1.4003998434544016
LEU,3.6000673057989805,0.257169780040976,-9.628922364497239,-9.628922364497239,4.154646369900628,-2.6034013985796225,5.99951122342122,0.9300893334401081,5.5064563528640935,-0.1890887044709979,2.8077390469181918,-1.0505458855845244,3.8671296697065993,1.4769394692283884,1.0412263052689603,3.0888282255387063,-9.628922364497239
LYS,1.4006134883283625,-1.5258768107577563,10.904418041965368,2.286811088176716,1.955192257608891,-4.6943463460021775,3.3927909999241823,-1.161819549343992,3.307001945742943,-1.971583952049457,-11.502493694489564,-3.142415197115646,1.6676756899130627,-0.277078915393437,-1.1582192561207307,0.996913739938643,-0.4775835303254077
PHE,1.479978863239479,-1.8629028514810813,10.983783530304759,2.3661765297636546,2.034557680808426,-4.723204097849058,3.879422254287369,-1.1899913256830743,3.3863674172322638,-2.309152117367944,-11.469749716743118,-3.170574302376364,1.7470410914108658,-0.6434191075133828,-1.078855233458917,0.9687401694729711,-0.3982187840468381
PRO,1.4073210162140146,-1.9355215486449442,10.911124249325864,2.2935178398266896,1.9618992233239378,-4.795154744931526,3.806763103369077,-1.2626298997982488,3.313708349271077,-2.3817479891986544,-11.070318926561695,-3.2430835304429966,1.6743829082783002,-0.7160664006425836,-0.38940824489058024,0.8960832794740909,-0.470868683971835
SER,7.4888527004727194,-4.33233442021357,19.075737086598817,-4.33233442021357,-4.33233442021357,2.9277620611551036,-4.33233442021357,-4.33233442021357,-4.33233442021357,4.366873506403126,-4.33233442021357,-4.33233442021357,-4.33233442021357,-4.33233442021357,5.4353107061560415,-4.33233442021357,8.3611425615635
THR,2.005424595657159,-1.3374161585298072,11.509227762447589,3.3514433492655478,2.5565123989369702,-4.197018469083162,4.404866622506205,-0.2068326948868684,3.9118118722450355,-1.7836415434513917,-10.454960840101693,-2.6449730778011755,2.272486472176247,-10.454960840101693,-0.5533916154881702,1.4941869031803758,0.12723526302885801
TRP,1.6078610554255874,-1.885429867809199,10.96118613291472,2.343580157382462,2.0119617115556085,-4.744572872904808,3.8568250824537325,-1.2125528126568312,2.8705716939985724,-2.3316395505816914,-10.77629428646313,-3.19291148620745,1.7244455979500284,-0.6659957151760825,-1.1014204975581379,0.9551855701624472,-0.42079991248587234
TYR,2.8134456351338066,-2.155934552730182,8.887229258727492,3.793826894703791,3.46220820405099,-2.541609359408028,5.315559938671139,-0.06227051283842755,4.814017524734205,-0.8775596188227919,2.115303423502822,-9.697884987346876,-9.697884987346876,0.7842390187789796,0.34880734734785257,2.3963917601889886,-9.697884987346876
VAL,2.6049076525107626,-0.7379777324484689,12.82237158311012,5.086759191710878,3.159486527308049,-3.5766724391393776,5.004351165793873,-0.22434631061962484,4.511296320961845,-1.1842291382473622,-10.403044420988822,-2.0456594467355984,2.871969912190986,0.8009002667769956,-10.403044420988822,2.115975709793391,-10.403044420988822
RIBOSE_5P,-4.081808256258398,-4.081808256258398,-4.081808256258398,-4.081808256258398,-4.081808256258398,-4.081808256258398,19.632223385577877,-4.081808256258398,10.324806257244365,-4.081808256258398,-4.081808256258398,6.205860208737075,-4.081808256258398,-4.081808256258398,16.90061747979978,-4.081808256258398,-4.081808256258398
FRUCTOSE_16_DIPHOSPHATE,-4.322120332367376,5.051857066007161,18.28167707587003,3.895137085720277,-4.322120332367376,-2.9148888493766805,5.408173040041111,-4.322120332367376,-4.322120332367376,-0.7520090706532443,2.2177832719892017,-4.322120332367376,-4.322120332367376,0.8907136697031781,-4.322120332367376,2.498519369638002,-4.322120332367376
FRUCTOSE_6P,-10.206192630722812,-2.9298382762710897,15.901733905550895,-10.206192630722812,-10.206192630722812,-10.206192630722812,5.062732738800353,11.116708770535979,4.932637629001624,-0.7103671265153846,-10.206192630722812,-10.206192630722812,13.137922766454421,11.50808416707715,-10.206192630722812,2.0928380896360377,11.330895750789672
GAP,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212,24.029196000979585,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212,-1.5018247500612212
CPD_2961,7.136629212141366,13.82609377362208,-7.565717225680212,-1.2440512196128832,-1.5552105321028638,1.2273300541955905,0.26779301591216864,-7.565717225680212,-0.20521955784776047,13.602888372257429,-2.9147807076852015,-7.565717225680212,-1.8419108345122925,-4.219607962484529,-7.565717225680212,-7.565717225680212,13.748632514517942
