,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
RIBOFLAVIN,3.603309295167093e-08,1.2067343037669625e-09,0.00040693450024411606,8.741237197859475e-08,1.3599030378762775e-07,7.280880076838616e-11,-0.00040755741912656826,2.495366547899648e-09,2.424579619295965e-07,1.716856137553992e-09,3.352628695434453e-08,7.253717181165604e-10,4.70636316103457e-08,4.310363767637271e-09,2.788699431897647e-09,2.1610892821769282e-08,5.508139710629101e-09
FRUCTOSE_6P,-1.3593297422231355e-06,0.005623022974154898,-0.005382861532202195,-3.171705751480493e-06,0.0,1.5780902559654533e-08,-0.00011897502051439738,9.165105289451016e-07,-0.00012288901760539842,0.0,0.0,0.0,3.7757498612632176e-06,1.0847645210636369e-06,0.0,0.0,4.4082584550224207e-07
METOH,0.0,0.0,5.219196998970159,0.0,-6.249999998844894,0.0,0.0,0.0,0.0,0.0,1.0308029998747343,0.0,0.0,0.0,0.0,0.0,0.0
TRP,2.8427765593303093e-06,1.0044295039750368e-07,0.038123580486061216,6.89626733929005e-06,-0.0381918612173377,5.7441405991688756e-09,3.131905782579219e-05,1.9686818277910724e-07,1.9128355473700606e-05,6.428348825440238e-08,1.2871761717278294e-06,2.7159773787484996e-08,3.713014281574281e-06,3.4005965286578853e-07,2.2001023855069213e-07,1.7049588172273868e-06,4.3455638059975993e-07
CYS,-5.174310751423514e-06,1.7126011594593178e-08,-6.847627771797828e-05,1.089400955144508e-06,8.445726323221211e-07,9.766011319077165e-10,1.1892149033295396e-05,-7.100246663039948e-08,6.749233948960607e-05,8.551843271923615e-09,2.2037092917549929e-07,-4.878323514425023e-10,-7.874978649422327e-06,5.826146720013624e-08,3.752308416947406e-08,-1.3843778642391035e-07,7.422315731424682e-08
ILE,5.2322570731784354e-06,1.8486973094785016e-07,-0.00012012848186725896,1.269288767916044e-05,9.110454289002437e-06,1.0572347017808873e-08,5.7644123065686675e-05,3.623446726577863e-07,3.520659156170859e-05,1.1831662780662413e-07,2.3691051647535197e-06,4.998877524829867e-08,6.83396842211061e-06,0.0,-3.608058095073726e-06,-6.0789394469373475e-06,0.0
ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3P,6.332396125263134e-08,0.005816789695487287,5.311942065437214,1.5361705595457218e-07,-5.317759487246841,0.0,0.0,4.385315876221007e-09,0.0,1.4319398779497168e-09,2.8672353356890295e-08,6.049945984337552e-10,-1.8528704787185045e-06,0.0,0.0,2.223269081382846e-06,9.679913574940084e-09
L_ASPARTATE,0.0,-0.0009689213076365909,3.2381426482034805,9.438857558847629e-05,-3.061338531271944,1.385193281369886e-08,0.0033716986061243315,2.8944908344563917e-07,0.00020542548477436973,2.1354884566201567e-07,-0.18308117746910724,0.0,9.607328063313279e-06,1.0497732197466763e-06,5.1865506557342665e-06,4.186262875135519e-06,0.003553922414062841
THR,3.5661601173983434e-06,1.2600203931109527e-07,-9.209706200579007e-05,8.65111732526968e-06,6.2110930423062825e-06,7.205816104769886e-09,3.9288622444228905e-05,2.4696399704974675e-07,2.3995828366404987e-05,8.064130515910099e-08,1.8117407790180106e-06,3.398221888861654e-08,4.657841785989673e-06,4.599236627949261e-07,2.7599486690702304e-07,2.1388090160822556e-06,5.451352228755225e-07
