,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
RIBOFLAVIN,5.7859695859414285e-09,1.0538133702608761e-05,2.660076479919428e-07,6.315213193014336e-06,2.8082026236269218e-08,7.365020673407577e-07,0.0002367312908380287,5.818188401798202e-10,4.613279976074928e-07,4.145743191207769e-09,6.943043960361801e-09,6.773112675500539e-10,2.6017880560005627e-05
FRUCTOSE_6P,-1.3334529132273184e-05,7.915391450984285,0.0,0.0,-5.953459787037712e-05,-7.956177730989157,0.0,-1.3552988587906632e-06,-0.0009046039839996358,-1.0066485510919964e-05,0.0420295376218204,-3.819729491121457e-06,-0.00025054299209068345
METOH,0.0,0.0,0.0,0.0,0.0,3.977365225724121,-3.977365225724121,0.0,0.0,0.0,0.0,0.0,0.0
TRP,4.5647534986722943e-07,0.0002906048221866428,6.654880681163714e-08,0.0005034312235161043,2.2154891346695503e-06,5.810522054664556e-05,-0.0009011979069563344,4.590172047840379e-08,3.69457223687852e-05,3.2707216060458017e-07,5.477609886941757e-07,5.3435451609554545e-08,8.39823472542408e-06
CYS,6.050171825319419e-08,-0.0033163670691736397,5.382196477703641e-10,8.489052309891135e-05,3.793356020474982e-07,9.947901245424176e-06,0.0032128428876556205,3.17051081402397e-08,6.231272229729209e-06,5.5996372154028687e-08,4.903148645693945e-07,1.6566430287772432e-09,1.434436416114301e-06
ILE,8.40163244710679e-07,-0.00965383858154962,5.786148618038111e-09,0.0009170131174167428,-0.008986699881648177,0.00010694525047912998,0.034375038873050684,8.448416420767377e-08,6.698805128315016e-05,0.0,-0.01684119063175591,-6.439564893662193e-07,1.5457325655824503e-05
ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6517560417023613e-07,0.0,-0.005165325144550293,0.0,0.0,0.0
G3P,1.1862861733441052e-08,0.0,-0.0009556552580182806,1.4932415401077672,-0.013957274565737103,1.2943165449971824e-06,-1.4892281770741471,0.010895649812374996,0.0,7.2856604775923696e-09,2.603512693568384e-06,0.0,0.0
L_ASPARTATE,0.0030715942969004495,3.953355227270803,-1.860508264915028e-08,3.230955904412799,0.006311393304048462,0.0008932529296275324,-7.352600766574706,9.443332274739571e-07,0.1486174871406618,0.00918513746176601,1.1535687512455384e-05,0.0,0.00019830834243833454
THR,5.726317750612997e-07,-0.02348109267853758,3.9436771065325986e-09,0.0,2.779250787986361e-06,7.289089233762942e-05,0.023347431435019193,5.7582043988927704e-08,4.5657182643567364e-05,4.103001661636515e-07,6.871462990422399e-07,6.703283652727664e-08,1.0535280951314922e-05
CH4,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0
PROPIONATE,0.0,1.6642512251799777,4.336680166146902e-09,-1.6642471792705702,-2.6733808695130535e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7829080009486117e-06
PHE,9.34103763920082e-07,0.001701306965079433,6.433110751674949e-09,0.0010195463916515936,4.528141394687587e-06,0.00011861828692453922,-0.0029523155133733873,9.404453271544522e-08,7.447813414262145e-05,6.693008426042616e-07,1.1209052173718431e-06,1.0934710163379549e-07,3.0903459611529146e-05
PUTRESCINE,0.0045804490150363215,0.0,0.0,0.0,0.0,0.0,0.0,4.686737502040651e-08,0.0,-0.0045891723529203916,8.692269408524876e-06,-1.5798899475077532e-08,0.0
2_KETO_3_DEOXY_6_P_GLUCONATE,1.0168167200092335e-11,1.8519541776612913e-08,0.0,1.1098251156871663e-08,4.935088818675577e-11,1.2943165449971822e-09,-3.1168200936497417e-08,1.0224788013899698e-12,0.0,7.28566047759237e-12,0.0,1.1902956129754426e-12,1.8707396773685906e-10
GLT,-0.0038195371212669717,3.94753399601674,7.598080440378924e-08,-3.8707568900026486,0.019462067509172235,0.001499908821299496,0.0,0.0,-0.094155261743036,9.008039953608517e-06,0.0,2.1396872701675387e-06,0.00022449281170187896
HIS,3.451073815792841e-07,0.0005628990030279125,-3.246132429436302e-08,0.0003373298641462933,1.5000136663180167e-06,3.9340578809650016e-05,-0.0009723697993795582,3.107810683774128e-08,2.4642035985730155e-05,2.2144667879502304e-07,3.7086571812038463e-07,3.6178876450306845e-08,5.686088306166133e-06
BUTANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBON_MONOXIDE,6.007882548017397e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIT,0.0045972906442934645,-4.789984234948945,1.731824281702044e-08,4.741324306203009,0.023305660268794208,0.001985758028610636,0.0,3.408262671299899e-10,0.0,0.010330016822414757,0.008441321662629115,-1.9869786353939855e-07,6.235798924561968e-08
RIBOSE_5P,5.120419138122458e-07,0.008011567341578109,0.0015927468714665872,0.007912384147075143,2.1580705463894855e-06,0.0,0.0,-9.871196193246905e-09,0.0,0.0,-0.017519358601383844,0.0,0.0
PYRUVATE,-0.03228098611646764,-0.33913160987936886,0.0028673441166055668,-4.389264822332778,0.0,-0.38970427180871436,5.317895055729143,-0.010895795265515417,0.0,0.0,0.0,-0.011754582543400408,-0.14773033189951001
