,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
RIBOFLAVIN,3.36446222537504,1.8947541082262482,7.4170975321473165,3.749223284290789,3.941130685086252,0.7539454911355161,-7.417761824252093,2.207409600600478,4.192237351701885,2.0462289755842935,3.3331601709891334,1.6773599607404819,3.480402139316662,2.443653368288782,2.255393510679859,3.14255859687624,2.549804241278169
FRUCTOSE_6P,-4.940902799700842,8.557542863391019,-8.538586213764908,-5.308868026635337,0.0,3.0061332580889673,-6.883028849472744,4.769717843035506,-6.897086131726129,0.0,0.0,0.0,5.38457801083453,4.842914712254092,0.0,0.0,4.451855397354486
METOH,0.0,0.0,11.525176693907893,0.0,-11.60345302152986,0.0,0.0,0.0,0.0,0.0,10.820748678049455,0.0,0.0,0.0,0.0,0.0,0.0
TRP,5.261318109389737,3.809559803084211,9.388766686343525,5.646188074015819,-9.38954382795609,2.5679740409407916,6.303381908899525,4.101782894022358,6.0892509918197675,3.6157776499277468,4.917216250723751,3.2417481304917466,5.377301445674489,4.339148001944455,4.150046639671153,5.039290864769813,4.445634700621859
CYS,-5.521426818919844,3.041624020270211,-6.643113247669001,4.844766964957523,4.734218017480796,1.8041617629366726,5.882833916231025,-3.658941696204921,6.636827586854449,2.7404229725492204,4.150758000261095,-1.509492524902523,-5.7038232482099165,3.5730705054057976,3.3820517599716595,-3.948876508323675,3.6782035513910305
ILE,5.526263370792521,4.074475400465488,-6.887219049251631,5.911133974116533,5.767113780147388,2.832383736680516,6.568328158299213,4.366713552027158,6.354197178360422,3.8806759533015818,5.182160198907525,3.506580792403893,5.642246961755047,0.0,-5.36484840069678,-5.591401934322681,0.0
ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3P,3.609247883317221,8.572256367706437,11.532826334030169,3.994056472056326,-11.533301695343097,0.0,0.0,2.4511136005156633,0.0,1.9681960290825682,3.265272191334258,1.600363473450809,-5.075421716741244,0.0,0.0,5.1545680750455505,2.794142701491122
L_ASPARTATE,0.0,-7.793861517866505,11.317868980853358,6.782492508158409,-11.293484362003682,2.94957142233069,8.335421752666537,4.2691685512732,7.120227357711235,4.137101906115321,-10.07021670118964,0.0,5.790176329216413,4.828674937126352,5.522452932325572,5.429401116303695,8.358280948626792
THR,5.359775739723209,3.908004257691691,-6.771818853672568,5.744645988042184,5.6007421283370835,2.666193868653295,6.401839978075445,4.200234037972157,6.187709033075328,3.714214423369807,5.065672797364774,3.3390237404369465,5.475759189129131,4.4702734654032925,4.248498516621188,5.137748173004207,4.544089656284686
CH4,0.0,0.0,0.0,0.0,11.603453021610125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROPIONATE,2.1763159919491173,0.0,-4.412079027904495,0.0,0.0,0.24141812269861695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40955240146091
PHE,5.572294684639283,4.353132734595683,9.699744478141657,5.9571606368567895,-9.700525108704532,2.8783509279632815,6.616975460337983,4.412743118602474,6.402327262263388,0.0,5.230000568833114,3.5531276419572304,5.6888051020148165,4.6510132384722365,4.462582425196039,5.351840388623995,4.757131321491892
PUTRESCINE,-5.364258260351669,0.0,0.0,0.0,0.0,3.147561264445688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09456253161798,0.0,5.337476765484201,0.0
2_KETO_3_DEOXY_6_P_GLUCONATE,0.0,0.05829466470068567,-1.9738480634682798,1.0359528745515778,0.9073752431103053,0.0,1.660796055427216,0.10773958727190269,1.4526675346651476,0.03819821030217696,0.0,0.0,0.0,0.1721225729986955,0.0,0.5363615726438979,0.2099182374479227
GLT,0.0,8.493073244994783,-10.183298502948656,-7.022331205919684,0.0,-1.6911399122146182,-8.095092919992998,3.925203457328041,-6.937861573296172,4.076897938872491,10.167137312481492,3.314878673938888,-6.689446577264141,4.703585435231397,-4.876540859074062,0.0,8.595981933541495
HIS,5.091944835670872,3.6402175094497062,9.219392277789506,5.476814133215215,-9.220169419401918,2.399159428409259,6.134007603276213,3.9324248721309774,5.919876751849147,3.4464534155640933,4.747844348577197,3.072492428860813,5.207927905960182,4.1697830803538,3.980686894270102,4.869918348440066,4.276267716110859
BUTANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBON_MONOXIDE,1.7049441098617315,-0.09995855462191372,0.0,0.0,0.0,0.059203479665709935,0.0,0.0,0.0,0.0,0.0,0.0,1.5225063742326839,0.0,0.0,0.0,0.0
CIT,6.704517653460635,1.6891727471880937,-6.883210085414251,0.0,0.0,3.7244605907702226,0.0,1.9770554955631177,3.960002354037325,0.0,5.257318994935882,0.0,6.3006221891422145,2.2125028500690664,5.583031912677668,2.910524973116833,2.6184001306416747
RIBOSE_5P,0.0,0.0,-5.600121279994417,5.606963878680254,0.0,0.0,-3.985370479359922,0.0,0.0,0.0,0.0,3.1966254338365756,3.2146060744107734,0.0,0.0,0.0,2.1307885796675254
PYRUVATE,-9.715579041313962,0.0,-11.599081522005932,-9.905700176708278,11.704891621008514,-8.369452283233304,-10.228893771269062,-9.135535448355132,-10.13123804083288,-8.892392013808156,-10.697168587692433,-8.705274238914665,-9.774105224187423,-9.254212341355508,-9.159510288365613,-9.604497332890626,0.0
FUM,0.0,7.793981397072986,-8.886317049040708,6.529752853494122,0.0,0.0,-6.073606265379072,5.451072423866709,-6.68608118190944,3.742984362473713,0.0,3.2088407943001664,-4.943437073015563,-3.7059374564949463,0.0,-4.8067199626328705,8.851242100842072
