,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
RIBOFLAVIN,2.571116635646506,5.830337350519775,4.232492555033321,5.607962091677335,3.256242248340003,4.674756158516217,7.181828699048124,1.5838337168533556,4.47159747867128,2.426803925273111,2.6500960579683426,1.648234934497422,6.222845179891189
FRUCTOSE_6P,-5.932551196056066,11.706045401771032,0.0,0.0,-6.582342542389043,-11.70827748041828,0.0,-4.939613067742438,-7.764031507848799,-5.810451548984656,9.431127616667924,-5.389607382860502,-7.2064552909100135
METOH,0.0,0.0,0.0,0.0,0.0,11.407168476629037,-11.407168476629037,0.0,0.0,0.0,0.0,0.0,0.0
TRP,4.467005152322001,7.270875844081347,3.630814907052983,7.509513165306335,5.153045681839469,6.571788274628736,-7.762393186169143,3.46954930417101,6.375137349721851,4.322237264453493,4.546176451510162,3.5355290548776805,5.731761818417398
CYS,3.5894524991614913,-8.328235600346225,1.5509217285918595,6.73643229367617,4.386614440148743,5.805305149520052,8.314462494855992,3.3089155355063387,5.602150814756243,3.55585367436361,4.498061859188018,2.0308658958013677,4.964259021915267
ILE,4.73194473334123,-8.792273037823245,2.571130037500332,7.769948559722325,-8.761173243323347,6.8367345694970805,9.343816202422733,3.7344283726543503,6.633570449365094,0.0,-9.033945796493116,-4.61644003222843,5.996707798627378
ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.370093283257404,0.0,-8.520670670063154,0.0,0.0,0.0
G3P,2.882332291777286,0.0,-7.787874264976882,10.981703067219884,-8.952373626717376,4.919618732961342,-10.980534249000964,8.844826141396746,0.0,2.670969357426639,5.223135301775089,0.0,0.0
L_ASPARTATE,8.294936859020279,11.404538843732908,-3.07756801881849,11.316904035141135,8.607698250074257,7.758547461082443,-11.674013989443292,4.782705438175399,9.979642918189057,8.77065866520116,5.869617073662194,0.0,7.104914022870476
THR,4.565460259588062,-9.178291307231587,2.40518615655718,0.0,5.251503175517021,6.67024636400066,9.1758121132274,3.5679775346005593,6.467082261494388,4.420691182584248,4.644632059673558,3.633961497271171,5.830219768026218
CH4,0.0,0.0,0.0,0.0,0.0,0.0,11.603453021610125,0.0,0.0,0.0,0.0,0.0,0.0
PROPIONATE,0.0,11.028791889609556,2.4462873499391815,-11.02879083380846,-4.234659141225174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.385400571860761
PHE,4.777975367547689,8.03835568823352,2.6170442157281677,7.8159800028378985,5.463494477628719,6.881724708986946,-8.277735775152493,3.7809784758437885,6.679601883067671,4.633204482146082,4.857147929377611,3.846442135091004,6.297580324125191
PUTRESCINE,8.468481059115494,0.0,0.0,0.0,0.0,0.0,0.0,3.478587934936548,0.0,-8.469307374289226,5.746706960837393,-3.00662776783446,0.0
2_KETO_3_DEOXY_6_P_GLUCONATE,0.21823434060697267,3.075568329930025,0.0,2.853436602022474,0.6199906495743814,1.9248083305591397,-3.3015017050022246,0.027614132575008554,0.0,0.1666610559980235,0.0,0.03198323539897707,1.1143173186806834
GLT,-8.389583741235583,11.40389888309113,3.6883659062968794,-11.395368899779449,9.096761979297655,7.9836378680903,0.0,0.0,-9.781417599343909,5.762204058912275,0.0,5.137926468417287,7.158775473774234
HIS,4.345546852480281,7.5580034957467594,-3.3191475623915396,7.335627815727902,4.983672729455833,6.40241392151598,-7.795404472944948,3.3002451541190165,6.199249866215058,4.152872719555541,4.3768079327243905,3.3662150028171274,5.562387793947321
BUTANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBON_MONOXIDE,2.587418855403323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIT,8.47007496678979,-11.487907088310182,3.046467231015604,11.48347266630913,9.17503441592301,8.10549933479061,0.0,1.359512197394821,0.0,8.82167403368779,8.733983454754657,-4.105800242636242,3.602573565880226
RIBOSE_5P,4.516891726287374,8.7112904926306,8.009719769209129,8.705880369263195,5.141641776067572,0.0,0.0,-2.802627486113666,0.0,0.0,-9.051091206883882,0.0,0.0
PYRUVATE,-9.316519797513358,-10.337941275798128,8.265052823384485,-11.449964788667693,0.0,-10.398308170692886,11.53331276690311,-8.844831939038523,0.0,0.0,0.0,-8.877780214880108,-9.9770426778499
FUM,-5.756692485987298,-9.012583043756933,0.0,10.072406059605708,-6.435634123599656,0.0,0.0,0.0,-9.9407016240976,-9.314391117894786,-5.698557901458516,3.6774089650735267,6.711567714025066
SUC,-8.46841708406108,-11.545015362254805,0.0,-8.708285027166564,-9.20662143408359,11.534586015667237,0.0,4.801749625879089,9.938279234082499,9.31431118132645,-5.751166968196014,3.9391721111932565,5.598559138117614
VAL,4.803261158316304,8.064866072421946,2.6422710843006065,7.8415386796411735,-8.883255334357194,6.908052204113314,9.740541245446195,3.805733894027135,-9.69400983673525,4.6584901108761905,4.882433788400862,4.166070938292177,7.057117401117588
GLYCERATE,0.0,-11.135258281165274,0.24287911987100763,-11.129483866252942,-4.221088208608257,4.141493611561408,11.433410537208742,4.689096491555956,0.0,4.311236631005194,2.119151711511286,1.1379006492143695,4.146564142391183
CPD_10353,8.591674141100128,-5.417408186922654,0.0,-11.831964980899167,0.0,11.83171620894786,0.0,0.0,-5.880905710218317,0.0,0.0,-3.761417790692766,-6.226658110869401
PPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASN,4.902369830750561,-10.66285854492379,2.375781415321013,8.642193790304269,-8.60426137535547,7.128271070950277,10.662351810347205,3.538460886868142,6.437557362796578,4.391167433157022,4.615107843025765,3.6047617357942165,5.800694904072713
BUTANEDIOL,-8.591674141100128,0.0,0.0,11.831964958622148,0.0,-11.831716221957235,0.0,0.0,0.0,0.0,0.0,0.0,6.226658110869401
ACETYL_COA,2.5645911621931887,5.823794188344629,3.6294266595974936,5.601418935944877,3.2497027307341932,4.6682131258928585,7.175285527454535,1.5774623927778695,4.465054529190442,2.4202854271130256,2.643567641656448,1.6418399306614155,3.8282411595690693
GLN,-5.831988172513034,-10.58110852892994,0.0,-8.707423686380821,-6.5156291802019135,-7.913138282198972,10.583492757730474,-4.437358717287254,-7.709252041341629,-5.667416081998306,8.652769245569612,-4.9304761073333365,-7.076869323696972
SER,4.61404366779261,11.129754174143946,2.2945678456546617,11.506408934870615,5.289432172493251,6.668100747934006,-11.658732479305236,-4.967181299206217,6.216848254258429,0.0,4.493973714345901,3.528429086663283,5.828074154679807
ETOH,2.8878870062846227,-7.810573268890769,-7.912855281616656,0.0,0.0,0.0,0.0,4.215835033787254,-5.926529272661244,8.168770800713297,0.0,0.0,-5.291647683565502
ACET,0.0,9.14884508713973,-7.912862710115668,8.105657079386479,4.06541933219109,7.4229471752230225,0.0,-4.151538480227715,3.104970700990891,-8.344609614626883,-9.100328697200862,0.0,0.0
LYS,-8.46963174733726,8.018108223631083,2.6446745496613566,7.989302893051924,5.637463240858633,-6.429308348415648,9.369600181476594,3.7602077375275096,-9.134245118239425,-8.946394173477861,5.13816916825727,3.826197622120411,-5.917821293278144
L_ALPHA_ALANINE,-8.164348876528743,-11.450843364462246,2.58009101809046,7.8692677231261525,5.517309461389687,6.845000830297476,11.45093395823322,3.7676273024578766,6.641836709454201,4.595440218415527,4.8443214884268375,3.8154188820625254,6.096026874082642
ARG,4.690268783668157,7.950647484717982,3.710320227446381,-9.406164238225701,5.376314042104744,6.795057815319528,9.302139441894635,3.6927596745476885,6.591893698987352,8.645433135674079,4.769441075437874,3.7587477721827396,5.95503108215434
PHOSPHO_ENOL_PYRUVATE,9.374042543456932,11.329857245042762,3.546046100859961,0.0,9.081417727642364,10.39841441148334,-11.417701643484643,0.0,9.931285931317783,3.4344332472827945,8.732795514546634,8.877776847803142,9.976856456266406
LEU,4.899255405225789,8.15963748931652,2.7380703660997288,7.93726180327311,5.585303351134137,7.00404779518433,-8.375110615366733,3.90171602442243,6.800883662990347,4.7544838217797185,4.978428261089082,3.95805272728714,-7.034401147065577
THIAMINE_PYROPHOSPHATE,3.6721133826403767,5.107287901069145,0.17145917721953374,4.884914481417677,2.534220402522907,3.9517433107311666,6.45877662157542,0.9067764405506882,3.7486081012496673,1.7106617644207383,1.9311893262503563,0.9651208014903467,3.1120033274194654
ADENOSYLCOBALAMIN,0.0,2.4840213178204102,-4.8652819203237145,2.262597355765987,0.0,1.3469914322052734,3.83414973807817,0.0,0.0,0.0,0.0,0.0,0.0
GLY,4.499966879669036,-10.952380622045181,-2.7012248128317715,-11.330186941960537,5.195254501609722,6.6445949034678415,11.482150471293844,4.837932632311387,6.556377727149726,4.584555397613526,4.618778444547239,0.0,5.804568340911629
CARBON_DIOXIDE,-7.992842812097441,-10.738215923296218,-7.787937111483009,-10.168704395882635,-8.998705894066834,-7.650899496514508,-11.267695646294536,-4.531115338148336,-9.679746414423647,-8.908718128425066,-8.799912087157672,-4.816301713239008,-6.918410263287045
GAP,-4.369288198243714,0.0,0.0,0.0,0.0,11.407174901336115,-11.40510191453579,0.0,0.0,0.0,-9.084568898663548,0.0,-6.019598740702492
TYR,4.591487730607656,7.888865115954527,2.4679844078008433,7.666162481172449,5.314531951728228,6.7332754564552415,-8.126125834752562,-2.511874918185308,6.530111346471427,4.483718060588348,4.7076598348950105,3.6969769736073843,5.893248786283153
HYDROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORMATE,3.0793465209852924,8.828783685092864,0.0,-4.246914503680226,3.8760028093371277,4.99872169292245,0.0,4.203169370253178,-8.80462027979459,-7.5658737204990825,0.0,-3.056389813527878,5.322501478884513
PROPANE_1_2_DIOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRO,4.5729536235155335,7.833329577719627,-3.5726733524978282,-9.206179086856869,5.258996699873976,6.677739928403765,9.184821533454432,0.0,6.474575824950606,4.428184466570266,4.652125457274554,3.6414533374774587,5.992019906264858
FRUCTOSE_16_DIPHOSPHATE,4.683442481483668,-11.581517483290185,0.0,8.086422656867958,8.952261222973947,4.442507930023807,11.58035586118838,3.5101565155077017,6.036931841774874,-4.147267912010669,4.762614749857085,-4.499925105808853,0.0
NITROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDP_MANNOSE,6.3676226205295094,9.625969518988438,4.349339737824247,9.297280359493591,7.0490525115883464,8.467809857916608,-9.829166778528041,5.377177488696834,8.264673263411558,6.2228468990381485,6.457221363671288,5.526744184497411,7.62777086728153
