,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
RIBOFLAVIN,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642,16.075320282261824,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642,-1.0047075176413642
FRUCTOSE_6P,6.965573945592006,-4.4112751869317,15.24954614412785,7.812845191871544,-4.4112751869317,-4.4112751869317,11.4374844365122,-4.4112751869317,11.469852525076854,-4.4112751869317,-4.4112751869317,-4.4112751869317,-4.4112751869317,-4.4112751869317,-4.4112751869317,-4.4112751869317,-4.4112751869317
METOH,-1.571643409095966,-1.571643409095966,-1.571643409095966,-1.571643409095966,25.14629454553541,-1.571643409095966,-1.571643409095966,-1.571643409095966,-1.571643409095966,-1.571643409095966,-1.571643409095966,-1.571643409095966,-1.571643409095966,-1.571643409095966,-1.571643409095966,-1.571643409095966,-1.571643409095966
TRP,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022,20.348445786603236,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022,-1.2717778616627022
CYS,9.058448568911775,-3.6551065163905925,11.641227018763313,-3.6551065163905925,-3.6551065163905925,-3.6551065163905925,-3.6551065163905925,4.769918089425207,-3.6551065163905925,-3.6551065163905925,-3.6551065163905925,-0.17937153056410082,9.47843186801044,-3.6551065163905925,-3.6551065163905925,5.43751766574988,-3.6551065163905925
ILE,-2.4168298006775455,-2.4168298006775455,13.441578114313886,-2.4168298006775455,-2.4168298006775455,-2.4168298006775455,-2.4168298006775455,-2.4168298006775455,-2.4168298006775455,-2.4168298006775455,-2.4168298006775455,-2.4168298006775455,-2.4168298006775455,-2.4168298006775455,9.936190152939808,10.457848942231934,-2.4168298006775455
ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3P,-2.2495881730780383,-2.2495881730780383,-2.2495881730780383,-2.2495881730780383,24.30682038362193,-2.2495881730780383,-2.2495881730780383,-2.2495881730780383,-2.2495881730780383,-2.2495881730780383,-2.2495881730780383,-2.2495881730780383,9.437002212548599,-2.2495881730780383,-2.2495881730780383,-2.2495881730780383,-2.2495881730780383
L_ASPARTATE,-3.9492805263052553,13.996748821594107,-3.9492805263052553,-3.9492805263052553,22.05492821360579,-3.9492805263052553,-3.9492805263052553,-3.9492805263052553,-3.9492805263052553,-3.9492805263052553,19.238250333073687,-3.9492805263052553,-3.9492805263052553,-3.9492805263052553,-3.9492805263052553,-3.9492805263052553,-3.9492805263052553
THR,-0.917217008524851,-0.917217008524851,14.675472136397632,-0.917217008524851,-0.917217008524851,-0.917217008524851,-0.917217008524851,-0.917217008524851,-0.917217008524851,-0.917217008524851,-0.917217008524851,-0.917217008524851,-0.917217008524851,-0.917217008524851,-0.917217008524851,-0.917217008524851,-0.917217008524851
CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROPIONATE,-0.5975992587508543,-0.5975992587508543,9.561588140013697,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543,-0.5975992587508543
PHE,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465,21.022385420722355,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465,-1.3138990887951465
PUTRESCINE,11.625092804946753,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734,-0.7265683003091734
2_KETO_3_DEOXY_6_P_GLUCONATE,-0.2673501839280723,-0.2673501839280723,4.277602942849153,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723,-0.2673501839280723
GLT,-6.162220424224859,-6.162220424224859,17.2856909061733,10.007294728592708,-6.162220424224859,-2.268226872192219,12.477419859752661,-6.162220424224859,9.812796211703123,-6.162220424224859,-6.162220424224859,-6.162220424224859,9.240799544963595,-6.162220424224859,5.066429863255456,-6.162220424224859,-6.162220424224859
HIS,-1.248836744705553,-1.248836744705553,-1.248836744705553,-1.248836744705553,19.98138791528887,-1.248836744705553,-1.248836744705553,-1.248836744705553,-1.248836744705553,-1.248836744705553,-1.248836744705553,-1.248836744705553,-1.248836744705553,-1.248836744705553,-1.248836744705553,-1.248836744705553,-1.248836744705553
