,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
RIBOFLAVIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRUCTOSE_6P,3.859457728743674,-9.80074621871902,-9.80074621871902,-9.80074621871902,5.355657596366518,17.15855897233,-9.80074621871902,1.5731331962233064,8.076596992789709,3.5783129015372133,-9.80074621871902,2.609283398146225,6.792730307458447
METOH,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899,24.24551638851472,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899
TRP,-1.3748900643408923,-1.3748900643408923,-1.3748900643408923,-1.3748900643408923,-1.3748900643408923,-1.3748900643408923,16.49868077209073,-1.3748900643408923,-1.3748900643408923,-1.3748900643408923,-1.3748900643408923,-1.3748900643408923,-1.3748900643408923
CYS,-1.4751131649461229,17.701357979353414,-1.4751131649461229,-1.4751131649461229,-1.4751131649461229,-1.4751131649461229,-1.4751131649461229,-1.4751131649461229,-1.4751131649461229,-1.4751131649461229,-1.4751131649461229,-1.4751131649461229,-1.4751131649461229
ILE,-5.526882973882412,14.718073856542865,-5.526882973882412,-5.526882973882412,14.646463933332221,-5.526882973882412,-5.526882973882412,-5.526882973882412,-5.526882973882412,-5.526882973882412,15.274545948038856,5.1028630270277215,-5.526882973882412
ACETONE,-2.2832369935554553,-2.2832369935554553,-2.2832369935554553,-2.2832369935554553,-2.2832369935554553,-2.2832369935554553,-2.2832369935554553,7.77927465546645,-2.2832369935554553,17.33633227364355,-2.2832369935554553,-2.2832369935554553,-2.2832369935554553
G3P,-4.909958440253877,-4.909958440253877,13.022284748393853,-4.909958440253877,15.703643619538596,-4.909958440253877,20.373656034606313,-4.909958440253877,-4.909958440253877,-4.909958440253877,-4.909958440253877,-4.909958440253877,-4.909958440253877
L_ASPARTATE,-2.612828679254058,-2.612828679254058,4.473533563552618,-2.612828679254058,-2.612828679254058,-2.612828679254058,24.267581908242015,-2.612828679254058,-2.612828679254058,-2.612828679254058,-2.612828679254058,-2.612828679254058,-2.612828679254058
THR,-1.6256766725529488,19.508120070635343,-1.6256766725529488,-1.6256766725529488,-1.6256766725529488,-1.6256766725529488,-1.6256766725529488,-1.6256766725529488,-1.6256766725529488,-1.6256766725529488,-1.6256766725529488,-1.6256766725529488,-1.6256766725529488
CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROPIONATE,-3.657364265903148,-3.657364265903148,-3.657364265903148,21.737365101773587,6.093298746592907,-3.657364265903148,-3.657364265903148,-3.657364265903148,-3.657364265903148,-3.657364265903148,-3.657364265903148,-3.657364265903148,8.74297881066505
PHE,-1.4661685384315142,-1.4661685384315142,-1.4661685384315142,-1.4661685384315142,-1.4661685384315142,-1.4661685384315142,17.594022461178128,-1.4661685384315142,-1.4661685384315142,-1.4661685384315142,-1.4661685384315142,-1.4661685384315142,-1.4661685384315142
PUTRESCINE,-2.032639783570808,-2.032639783570808,-2.032639783570808,-2.032639783570808,-2.032639783570808,-2.032639783570808,-2.032639783570808,-2.032639783570808,-2.032639783570808,17.468661124452108,-2.032639783570808,4.890376494826782,-2.032639783570808
