,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
RIBOFLAVIN,1.1847527092846857,-2.1993752923144694,10.516290353999882,2.070697787908694,2.5125809082155595,-4.8261842079867385,-6.562207856805454,-1.4794594163308528,3.0907753755161433,-1.850591520772582,1.1126770654756086,-2.699943815619342,1.4517142268096777,-0.9354880385390167,-1.3689723802785032,0.6738007222220617,-0.6910666207853495
FRUCTOSE_6P,-4.200557506923223,15.50391312297852,-4.200557506923223,-4.200557506923223,-4.200557506923223,2.721320120706057,-4.200557506923223,6.782123696238049,-4.200557506923223,-4.200557506923223,-4.200557506923223,-4.200557506923223,8.1978915528879,6.950665716154598,-4.200557506923223,-4.200557506923223,6.050218367190302
METOH,-3.0266702735662605,-3.0266702735662605,23.511029775948455,-3.0266702735662605,-3.0266702735662605,-3.0266702735662605,-3.0266702735662605,-3.0266702735662605,-3.0266702735662605,-3.0266702735662605,21.889024327545442,-3.0266702735662605,-3.0266702735662605,-3.0266702735662605,-3.0266702735662605,-3.0266702735662605,-3.0266702735662605
TRP,1.5099569710273286,-1.8328400637020597,11.013758536420609,2.3961528143164905,-10.604675677153097,-4.691696931287149,3.9093975417273032,-1.159971530679238,3.416342884110308,-2.279039960848422,0.7176331607914843,-3.1402747566414835,1.7770184721923155,-0.6134181715808964,-1.048840149416268,0.9987203473269499,-0.3682234866041547
CYS,-6.023148010407301,0.9804501171595081,-6.023148010407301,5.132340182133898,4.877791823627806,-1.8689120297194588,7.522577669666043,-6.023148010407301,9.2587122558554,0.2869090746829688,3.5343254856196724,-6.023148010407301,-6.023148010407301,2.2041508715567923,1.7643139558377214,-6.023148010407301,2.446228656023446
ILE,4.6504368751264025,1.3075715364632954,-8.074254782419484,5.536634189071896,5.2050154373484325,-1.5524502127001547,7.049879720773319,1.9804747478533313,6.556824918418052,0.8613318183931966,3.8581100410920435,-5.412245103020297e-05,4.917498962708633,-8.074254782419484,-8.074254782419484,-8.074254782419484,-8.074254782419484
ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3P,2.2233722227349197,13.6511215752925,20.468085846515407,3.1094267428216575,-6.087228150311628,-6.087228150311628,-6.087228150311628,-0.44333051252930034,-6.087228150311628,-1.5552893136560293,1.4313389220226362,-2.40225507297162,-6.087228150311628,-6.087228150311628,-6.087228150311628,5.7816034601112705,0.3465231818399417
L_ASPARTATE,-10.136905860948808,-10.136905860948808,15.923450538823852,5.480360281680543,-10.136905860948808,-3.345266673168915,9.056112010559463,-0.30678199530814965,6.258023511645465,-0.6108766837304138,-10.136905860948808,-10.136905860948808,3.195467840511892,0.9815290681922928,2.579011937785312,2.364752213337315,9.108747254415377
THR,2.0387037732266085,-1.304123599733038,-10.302635946851188,2.9249002697427984,2.5935493875615263,-4.163497689857985,4.438145354398663,-0.6312396639303115,3.945090632492665,-1.7503411834163938,1.3615067223463893,-2.6142496569678544,2.3057655348627133,-0.00945090380673097,-0.5201065948719226,1.527466407865694,0.16051715693836854
CH4,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,25.146294545709356,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372
PROPIONATE,4.086422869083588,-0.9247298916230022,-0.9247298916230022,-0.9247298916230022,-0.9247298916230022,-0.36884412111855625,-0.9247298916230022,-0.9247298916230022,-0.9247298916230022,-0.9247298916230022,-0.9247298916230022,-0.9247298916230022,-0.9247298916230022,-0.9247298916230022,-0.9247298916230022,-0.9247298916230022,9.228639734756987
PHE,2.0508962412298235,-0.7563278908861211,11.554700607829739,2.937082845606813,-10.77978643339055,-4.152138494256716,4.456362622291104,-0.6190699092844341,3.9621168811665113,-10.77978643339055,1.2627349127549614,-2.5984076915147423,2.3191713914572407,-0.07043268316641615,-0.5043106648769324,1.5432814655385254,0.1739132328917492
