,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
RIBOFLAVIN,-3.3535612279902924,4.151071804854293,0.4718981978490664,3.6390338487929985,-1.7760012053738343,1.490247778402611,7.26299563728609,-5.626864159371053,1.0224576306793098,-3.6858535236256387,-3.1717043874987514,-5.478574875653159,5.054854481648361
FRUCTOSE_6P,-3.7438568846379567,23.210308755391516,-3.7438568846379567,-3.7438568846379567,-3.7438568846379567,-3.7438568846379567,-3.7438568846379567,-3.7438568846379567,-3.7438568846379567,-3.7438568846379567,17.97211697562607,-3.7438568846379567,-3.7438568846379567
METOH,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899,24.24551638851472,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899,-2.020459699042899
TRP,-0.799239203993471,5.656911653534502,-2.724638397656947,6.206394392019192,0.7804274924631924,4.047203037415481,-11.084898678057709,-3.095966170865675,3.5943975492013953,-1.1325795845437305,-0.6169405506898391,-2.944042180449032,2.1129706416226393
CYS,-1.3603695610703053,-9.62538937764978,-6.054260124993604,5.885819201732659,0.4751636409491393,3.7418197199166645,9.519368019263712,-2.006329791616473,3.2740395771123936,-1.4377337141920261,0.7317808066816358,-4.949147840107548,1.8052394439735187
ILE,2.461463607933503,-8.434241795929697,-2.5139960994322106,9.456725931017482,-8.434241795929697,7.307921308551345,13.080690103445125,0.16459730579822285,6.840118634104181,-8.434241795929697,-8.434241795929697,-8.434241795929697,5.373688188230844
ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3P,0.34498656516196036,-6.291828802939786,-6.291828802939786,18.99447697532771,-6.291828802939786,5.036011954791258,-6.291828802939786,14.07413602036441,-6.291828802939786,-0.14169457668532104,5.734884681618491,-6.291828802939786,-6.291828802939786
L_ASPARTATE,4.2410102605569335,11.401133435700933,-14.858787698350016,11.199346831810129,4.961169977261903,3.005928028825222,-14.858787698350016,-3.846201452225783,8.120189318475704,5.336400199881235,-1.343494922952111,-14.858787698350016,1.5008814177159024
THR,0.4814547794659916,-10.03090595691821,-4.492760166954,-10.03090595691821,2.0611269708381776,5.32790388742745,11.097182231113393,-1.8153340736093124,4.860101253564992,0.14811166083050153,0.6637545861283591,-1.6634003847872858,3.393671169818166
CH4,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,24.662711958291872,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321
PROPIONATE,-2.3867320449152665,23.00799975383333,3.246052740234603,-2.3867320449152665,-2.3867320449152665,-2.3867320449152665,-2.3867320449152665,-2.3867320449152665,-2.3867320449152665,-2.3867320449152665,-2.3867320449152665,-2.3867320449152665,-2.3867320449152665
PHE,-0.6333614387148856,6.873941685187453,-5.609089295880969,6.361902746951163,0.9451046451202361,4.210700434279189,-11.635056294722943,-2.929031619313685,3.7452954283636366,-0.9667087213401739,-0.4510598780711579,-2.7782959733982064,2.865658281540333
PUTRESCINE,16.36544249682908,-3.133955750192687,-3.133955750192687,-3.133955750192687,-3.133955750192687,-3.133955750192687,-3.133955750192687,4.875788973461148,-3.133955750192687,-3.133955750192687,10.09832603163661,-3.133955750192687,-3.133955750192687
2_KETO_3_DEOXY_6_P_GLUCONATE,-1.2744928166502598,5.3047618328702075,-1.7769959561112625,4.79328462750927,-0.34941472860559575,2.6550390127049677,-1.7769959561112625,-1.713412066088086,-1.7769959561112625,-1.393244692987567,-1.7769959561112625,-1.703351835055857,0.7888144907479759
GLT,-8.897112749881487,17.3613348203356,-0.4043363965348199,-8.897112749881487,12.048955778164306,9.485892793046004,-8.897112749881487,-8.897112749881487,-8.897112749881487,4.370852418959702,-8.897112749881487,2.9334001451957032,7.586576940122452
HIS,-0.19322837162340978,7.2037264070516756,-10.199219775051699,6.691687481195841,1.2761107601542498,4.542883079808545,-10.199219775051699,-2.600124479951413,4.075080554640426,-0.6368769579014693,-0.1212470742624312,-2.4482232897520717,2.60865144074344
BUTANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBON_MONOXIDE,5.49946346380007,-0.4582886219833391,-0.4582886219833391,-0.4582886219833391,-0.4582886219833391,-0.4582886219833391,-0.4582886219833391,-0.4582886219833391,-0.4582886219833391,-0.4582886219833391,-0.4582886219833391,-0.4582886219833391,-0.4582886219833391
CIT,8.380113684503188,-11.122954670569017,-4.108204638137641,15.318718306678972,10.003342803242637,7.540647268992995,-11.122954670569017,-7.9925621511041225,-11.122954670569017,9.18970045465314,8.98778543480569,-11.122954670569017,-2.8277224813588067
RIBOSE_5P,4.1861295101502485,13.844089583604775,12.228663294173447,13.831632314187729,5.62466966162142,-6.214398045467201,-6.214398045467201,-6.214398045467201,-6.214398045467201,-6.214398045467201,-6.214398045467201,-6.214398045467201,-6.214398045467201
PYRUVATE,-3.506724728757117,-3.506724728757117,15.524262695176349,-3.506724728757117,-3.506724728757117,-3.506724728757117,23.0497093211519,-3.506724728757117,-3.506724728757117,-3.506724728757117,-3.506724728757117,-3.506724728757117,-3.506724728757117
FUM,-3.624159605860477,-3.624159605860477,-3.624159605860477,19.568412437570522,-3.624159605860477,-3.624159605860477,-3.624159605860477,-3.624159605860477,-3.624159605860477,-3.624159605860477,-3.624159605860477,4.843387457960489,11.829796163073766
SUC,-7.992920646927633,-7.992920646927633,-7.992920646927633,-7.992920646927633,-7.992920646927633,18.566445166605334,-7.992920646927633,3.063516461911295,14.890812967483013,13.454073430702412,-7.992920646927633,1.0773583350438436,4.8982381667475785
VAL,-0.37691219411164134,7.133210660344135,-5.352775724648287,6.6189803348698995,-11.436829735008077,4.469548291807902,10.991595334449986,-2.6738036027190155,-11.436829735008077,-0.7102598498443822,-0.19461047630580808,-1.844096896140794,4.812783592314162
GLYCERATE,-5.707175525607319,-5.707175525607319,-5.1479256847928205,-5.707175525607319,-5.707175525607319,3.828965927104054,20.619225139450574,5.089868155460104,-5.707175525607319,4.219813673315112,-0.8276483848886116,-3.0870624534180635,3.8406412558062577
CPD_10353,16.16563048051197,-3.617430320647607,-3.617430320647607,-3.617430320647607,-3.617430320647607,23.62610304661176,-3.617430320647607,-3.617430320647607,-3.617430320647607,-3.617430320647607,-3.617430320647607,-3.617430320647607,-3.617430320647607
PPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASN,0.28907888087241496,-10.999044811757573,-5.528605940627111,8.900341780562748,-10.999044811757573,5.414405895033239,13.55192752300598,-2.851437521512496,3.8239788071118905,-0.8880081393292834,-0.3723662898465392,-2.6987741751224643,2.3575488033667824
BUTANEDIOL,-3.198578175369967,-3.198578175369967,-3.198578175369967,24.045527959181303,-3.198578175369967,-3.198578175369967,-3.198578175369967,-3.198578175369967,-3.198578175369967,-3.198578175369967,-3.198578175369967,-3.198578175369967,11.138831969888384
