Sample,Metabolite,Yield,N Open
CIR_19,Biomass,0.673,11
CIR_19,O2,1.187,11
CIR_19,CO2,0.464,11
CIR_19,Biomass,0.673,17
CIR_19,O2,1.202,17
CIR_19,CO2,0.474,17
CIR_19,Biomass,0.673,18
CIR_19,O2,1.196,18
CIR_19,CO2,0.469,18
CIR_19,Biomass,0.673,9
CIR_19,O2,1.218,9
CIR_19,CO2,0.486,9
CIR_19,Biomass,0.673,13
CIR_19,O2,1.213,13
CIR_19,CO2,0.482,13
CIR_19,Biomass,0.673,15
CIR_19,O2,1.214,15
CIR_19,CO2,0.483,15
CIR_19,Biomass,0.649,10
CIR_19,O2,1.241,10
CIR_19,CO2,0.501,10
CIR_19,Biomass,0.64,10
CIR_19,O2,1.24,10
CIR_19,CO2,0.5,10
CIR_19,Biomass,0.64,10
CIR_19,O2,1.24,10
CIR_19,CO2,0.5,10
CIR_19,Biomass,0.622,9
CIR_19,O2,1.272,9
CIR_19,CO2,0.522,9
CIR_19,Biomass,0.507,10
CIR_19,O2,1.41,10
CIR_19,CO2,0.612,10
CIR_19,Biomass,0.553,13
CIR_19,O2,1.354,13
CIR_19,CO2,0.575,13
CIR_19,Biomass,0.553,13
CIR_19,O2,1.354,13
CIR_19,CO2,0.575,13
CIR_19,Biomass,0.554,16
CIR_19,O2,1.353,16
CIR_19,CO2,0.574,16
CIR_19,Biomass,0.537,15
CIR_19,O2,1.367,15
CIR_19,CO2,0.583,15
CIR_19,Biomass,0.537,15
CIR_19,O2,1.367,15
CIR_19,CO2,0.583,15
CIR_19,Biomass,0.673,16
CIR_19,O2,1.213,16
CIR_19,CO2,0.483,16
CIR_19,Biomass,0.673,15
CIR_19,O2,1.213,15
CIR_19,CO2,0.483,15
CIR_19,Biomass,0.673,13
CIR_19,O2,1.203,13
CIR_19,CO2,0.475,13
CIR_19,Biomass,0.673,12
CIR_19,O2,1.204,12
CIR_19,CO2,0.476,12
CIR_19,Biomass,0.674,18
CIR_19,O2,1.202,18
CIR_19,CO2,0.475,18
CIR_19,Biomass,0.52,9
CIR_19,O2,1.382,9
CIR_19,CO2,0.593,9
CIR_19,Biomass,0.52,9
CIR_19,O2,1.382,9
CIR_19,CO2,0.593,9
CIR_19,Biomass,0.52,9
