Giver,Reciver,Interaction Coefficient,Sample,N Open
Acer,Acer,0.0,My_20,10
Acer,Seum,-1.7198619313741521e-06,My_20,10
Acer,Meus,-0.9052801896254549,My_20,10
Acer,Raer,-2.893475052302116e-05,My_20,10
Acer,Boea,-0.3143229252896736,My_20,10
Acer,Hyum,-0.0007355470121412678,My_20,10
Acer,Meis,-3.2942474593506455e-07,My_20,10
Acer,Brla,-0.6316409039140469,My_20,10
Acer,Teas,-0.09921610389575856,My_20,10
Acer,Afia,-0.0022761487902201076,My_20,10
Acer,Chae,-0.0015749816914905916,My_20,10
Acer,Beae,-0.45056797053293324,My_20,10
Acer,Deae,-0.08858142475982189,My_20,10
Seum,Acer,0.4624457495602478,My_20,10
Seum,Seum,0.0,My_20,10
Seum,Meus,0.5287742231054519,My_20,10
Seum,Raer,-0.7279558774983418,My_20,10
Seum,Boea,-0.970211323871444,My_20,10
Seum,Hyum,0.40991038901984794,My_20,10
Seum,Meis,0.09531888450195028,My_20,10
Seum,Brla,0.38919626682266867,My_20,10
Seum,Teas,-0.8879254566749403,My_20,10
Seum,Afia,0.33668414118770873,My_20,10
Seum,Chae,0.998078785248144,My_20,10
Seum,Beae,0.2863376483192589,My_20,10
Seum,Deae,1.0,My_20,10
Meus,Acer,-0.07747057558848348,My_20,10
Meus,Seum,1.8529670402314171e-09,My_20,10
Meus,Meus,0.0,My_20,10
Meus,Raer,-5.1787933719472506e-09,My_20,10
Meus,Boea,-0.036529300315886165,My_20,10
Meus,Hyum,-6.0822134276827865e-05,My_20,10
Meus,Meis,7.435627641191167e-10,My_20,10
Meus,Brla,-0.1240443766436022,My_20,10
Meus,Teas,-0.00902736781370378,My_20,10
Meus,Afia,-2.1635481295515033e-06,My_20,10
Meus,Chae,-5.024397519685035e-08,My_20,10
Meus,Beae,-0.06356961263443683,My_20,10
Meus,Deae,-0.0079661067993371,My_20,10
Raer,Acer,-0.9768252677926705,My_20,10
Raer,Seum,0.027165710623251033,My_20,10
Raer,Meus,-0.9879806583413522,My_20,10
Raer,Raer,0.0,My_20,10
Raer,Boea,0.01178884563579251,My_20,10
Raer,Hyum,-0.020233565253625057,My_20,10
Raer,Meis,0.0008182188975524487,My_20,10
Raer,Brla,-0.9764351210313907,My_20,10
Raer,Teas,0.0021915004197491225,My_20,10
Raer,Afia,-0.9349947644838664,My_20,10
Raer,Chae,-0.9312105788009581,My_20,10
Raer,Beae,-0.8711304056755772,My_20,10
Raer,Deae,-0.7055546764243013,My_20,10
Boea,Acer,-0.6900332418129251,My_20,10
Boea,Seum,-7.528671248664229e-06,My_20,10
Boea,Meus,-0.954365306020064,My_20,10
Boea,Raer,-1.9563707122891883e-05,My_20,10
Boea,Boea,0.0,My_20,10
Boea,Hyum,-0.0016109659005310556,My_20,10
Boea,Meis,-2.2110262352216546e-06,My_20,10
Boea,Brla,-0.7898132405951191,My_20,10
Boea,Teas,-0.19496819934114518,My_20,10
Boea,Afia,-0.004247043565614216,My_20,10
Boea,Chae,-0.0066308728210693136,My_20,10
Boea,Beae,-0.6428285031831096,My_20,10
Boea,Deae,-0.17559632538492342,My_20,10
Hyum,Acer,0.5319384941948311,My_20,10
Hyum,Seum,0.5392132179127549,My_20,10
Hyum,Meus,0.4706407147286866,My_20,10
Hyum,Raer,0.4456163176663389,My_20,10
Hyum,Boea,0.987578243449411,My_20,10
Hyum,Hyum,0.0,My_20,10
Hyum,Meis,0.9030785623767789,My_20,10
Hyum,Brla,-0.9984279191605695,My_20,10
Hyum,Teas,-0.9178506393564063,My_20,10
Hyum,Afia,0.6633158588122914,My_20,10
Hyum,Chae,-0.9838882599546913,My_20,10
Hyum,Beae,0.7130870334828571,My_20,10
Hyum,Deae,-0.9729812122673893,My_20,10
Meis,Acer,-0.996242514427743,My_20,10
Meis,Seum,0.4267877145973117,My_20,10
Meis,Meus,-0.9998846966205702,My_20,10
Meis,Raer,0.5543836823336613,My_20,10
Meis,Boea,-0.99394635138649,My_20,10
Meis,Hyum,0.5898901404810731,My_20,10
Meis,Meis,0.0,My_20,10
Meis,Brla,0.6108037331773315,My_20,10
Meis,Teas,0.9785618792960235,My_20,10
Meis,Afia,-0.9963543306350724,My_20,10
Meis,Chae,-0.9982135302917102,My_20,10
Meis,Beae,-0.9973485938587809,My_20,10
Meis,Deae,-0.9451464244232013,My_20,10
Brla,Acer,-9.492772264755952e-05,My_20,10
Brla,Seum,5.2335772126797395e-05,My_20,10
Brla,Meus,-0.0008141832265824918,My_20,10
Brla,Raer,-0.001916496774792608,My_20,10
Brla,Boea,-3.5886496052526815e-05,My_20,10
Brla,Hyum,-7.05735604256546e-08,My_20,10
Brla,Meis,-2.7113688903220038e-08,My_20,10
Brla,Brla,0.0,My_20,10
Brla,Teas,-1.2000794479898203e-05,My_20,10
Brla,Afia,-3.583309173183839e-05,My_20,10
Brla,Chae,-3.332936076980291e-05,My_20,10
Brla,Beae,-0.07918667009516527,My_20,10
Brla,Deae,-0.010072367769706145,My_20,10
Teas,Acer,-0.9012766210054963,My_20,10
Teas,Seum,-0.00011939801096239662,My_20,10
Teas,Meus,-0.9884302225771125,My_20,10
Teas,Raer,-0.0003280959709739661,My_20,10
Teas,Boea,-0.806540323430394,My_20,10
Teas,Hyum,-0.006623717857301556,My_20,10
Teas,Meis,-4.933208957129159e-06,My_20,10
Teas,Brla,-0.9393832153561352,My_20,10
Teas,Teas,0.0,My_20,10
Teas,Afia,-0.07954529171598258,My_20,10
Teas,Chae,-0.0863542843433126,My_20,10
Teas,Beae,-0.8808246757652447,My_20,10
Teas,Deae,-0.46838355914527197,My_20,10
Afia,Acer,-0.46170813526280147,My_20,10
Afia,Seum,0.0008433751251833622,My_20,10
Afia,Meus,-0.7294481775971381,My_20,10
Afia,Raer,-0.010203617031175252,My_20,10
Afia,Boea,0.0006329109147964298,My_20,10
Afia,Hyum,0.00019947049907912,My_20,10
Afia,Meis,2.5523931273362275e-07,My_20,10
Afia,Brla,-0.32609980479550466,My_20,10
Afia,Teas,0.0045377886503635435,My_20,10
Afia,Afia,0.0,My_20,10
Afia,Chae,-0.16077971952896086,My_20,10
Afia,Beae,0.0005753181978841464,My_20,10
Afia,Deae,-0.0758627627685853,My_20,10
Chae,Acer,-0.4807973144091417,My_20,10
Chae,Seum,0.00027200132357103467,My_20,10
Chae,Meus,0.0005850621658615874,My_20,10
Chae,Raer,-0.009907978481710124,My_20,10
Chae,Boea,-0.2009387156491903,My_20,10
Chae,Hyum,-0.00040345918060313076,My_20,10
Chae,Meis,0.00012148466027307873,My_20,10
Chae,Brla,-0.3199643762760332,My_20,10
Chae,Teas,0.004886586177253618,My_20,10
Chae,Afia,-0.39467612933733565,My_20,10
Chae,Chae,0.0,My_20,10
Chae,Beae,-0.42818068837781514,My_20,10
Chae,Deae,-0.05056701805585448,My_20,10
Beae,Acer,-0.25607489140818823,My_20,10
Beae,Seum,0.0004524434838723057,My_20,10
Beae,Meus,-0.0011589310856697046,My_20,10
Beae,Raer,-0.010254003453481866,My_20,10
Beae,Boea,-0.13459700114792056,My_20,10
Beae,Hyum,-0.00024943685578718175,My_20,10
Beae,Meis,-9.938634890813545e-08,My_20,10
Beae,Brla,-0.6075883256400283,My_20,10
Beae,Teas,0.0018247823426158095,My_20,10
Beae,Afia,-0.3266182764424689,My_20,10
Beae,Chae,-0.18713533774879063,My_20,10
Beae,Beae,0.0,My_20,10
Beae,Deae,-0.08071592545881102,My_20,10
Deae,Acer,0.005615756244921187,My_20,10
Deae,Seum,0.005213199308961702,My_20,10
Deae,Meus,-0.9472451121103828,My_20,10
Deae,Raer,-0.002276708774620178,My_20,10
Deae,Boea,-0.2572690188562089,My_20,10
Deae,Hyum,-0.0013210138981207481,My_20,10
Deae,Meis,0.0006625935805699357,My_20,10
Deae,Brla,-0.8883607713735479,My_20,10
Deae,Teas,0.007997463113994442,My_20,10
Deae,Afia,-0.48185130558185124,My_20,10
Deae,Chae,0.0019212147518559272,My_20,10
Deae,Beae,-0.8404138170530235,My_20,10
Deae,Deae,0.0,My_20,10
Acer,Acer,0.0,My_20,10
Acer,Seum,-1.7198619313741521e-06,My_20,10
Acer,Meus,-0.9052801896254549,My_20,10
Acer,Raer,-2.893475052302116e-05,My_20,10
Acer,Boea,-0.3143229252896736,My_20,10
Acer,Hyum,-0.0007355470121412678,My_20,10
Acer,Meis,-3.2942474593506455e-07,My_20,10
Acer,Brla,-0.6316409039140469,My_20,10
Acer,Teas,-0.09921610389575856,My_20,10
Acer,Afia,-0.0022761487902201076,My_20,10
Acer,Chae,-0.0015749816914905916,My_20,10
Acer,Beae,-0.45056797053293324,My_20,10
Acer,Deae,-0.08858142475982189,My_20,10
Seum,Acer,0.4624457495602478,My_20,10
Seum,Seum,0.0,My_20,10
Seum,Meus,0.5287742231054519,My_20,10
Seum,Raer,-0.7279558774983418,My_20,10
Seum,Boea,-0.970211323871444,My_20,10
Seum,Hyum,0.40991038901984794,My_20,10
Seum,Meis,0.09531888450195028,My_20,10
Seum,Brla,0.38919626682266867,My_20,10
Seum,Teas,-0.8879254566749403,My_20,10
Seum,Afia,0.33668414118770873,My_20,10
Seum,Chae,0.998078785248144,My_20,10
Seum,Beae,0.2863376483192589,My_20,10
Seum,Deae,1.0,My_20,10
Meus,Acer,-0.07747057558848348,My_20,10
Meus,Seum,1.8529670402314171e-09,My_20,10
Meus,Meus,0.0,My_20,10
Meus,Raer,-5.1787933719472506e-09,My_20,10
Meus,Boea,-0.036529300315886165,My_20,10
Meus,Hyum,-6.0822134276827865e-05,My_20,10
Meus,Meis,7.435627641191167e-10,My_20,10
Meus,Brla,-0.1240443766436022,My_20,10
Meus,Teas,-0.00902736781370378,My_20,10
