,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
Acer,0.0,-0.1398765370595673,0.20425968469495412,-0.573976657266385,-0.9712082704046111,-2.5235717197161976e-06,-0.2558989183569005,-0.18551313631300012,-0.6933800489346763,-0.11511613731887539,-0.9862007073013861,-0.0779481980058196,0.7957403153050459,-0.230405631917372,-0.08227065621478026,-0.40163374716047845,-0.25289386117927615
Phum,-0.812903527042256,0.0,0.9992894657707013,-0.9018507257821807,-0.9946875920011361,-0.21011912172434852,-0.932813079063031,-0.6082943165021236,-0.9728864210591807,-0.47006884395820037,-0.003258773651585362,-0.36566491107370597,-0.5331763707024861,-0.6712515678773628,0.0007105342292986445,-0.8207922285151279,-0.6977473732085901
Meus,0.00047735529332997386,-6.426040912748096e-08,0.0,7.413993729300548e-07,0.720450827522327,7.34072356711171e-05,0.0028607836727154567,-1.7740099773036962e-07,0.005625628770297944,-2.2029321382285598e-08,0.09528667828867168,-1.9721111689498213e-08,0.17510685618568936,-1.6320043434801663e-07,0.00011611653284918845,1.6050990752234761e-06,-3.8412780772302994e-07
Seum,-0.15182544335348136,-0.10866864664192367,-0.9934863207451323,0.0,0.36369490363651213,-1.538189885265212e-06,0.0010063360370030127,-0.14583104424801943,0.0035707064253718665,-0.0888540692352549,0.20134221227169155,-0.059600124212080656,0.430062449876388,-0.1833609926119218,0.00032339175303343966,-0.33500202666125634,-0.20240134227936543
Meis,-0.00013607259418290619,-7.000315042745853e-08,0.8274149209975734,-1.2935309355651024e-05,0.0,2.889543642680739e-10,0.002279898150099013,-1.0676480547968767e-07,-1.4273522019684249e-06,-5.21670687884584e-08,0.16994043744723755,-2.3184165886230774e-08,-0.004497754825020852,-3.865703959442278e-07,0.0003647431161355442,-3.486863429257487e-06,-1.9812333966926013e-07
Psas,-0.852747542305161,-0.0025603774192365786,0.999465097715851,-0.13959368034370973,-0.9997558060693067,0.0,-0.9853465500143778,-0.004281392316158733,-0.9924016542357273,-0.0015641956801157452,-0.9992280452624188,-0.0006849369008830683,-0.9997449406591086,-0.007231544450112852,0.000534902284149033,-0.05648333299143333,-0.009295767454280625
Teas,-0.10379535438925712,-2.0048237362898266e-05,-0.6676271670981004,-0.0007698820173403021,0.9997875239800185,-0.012038980329682135,0.0,-3.499975679311455e-05,-0.0030573500292440624,-8.400034709212644e-06,-0.9029914066719757,-4.807259515939038e-06,-0.9658887176854827,-4.5132230050204554e-05,0.00021247601998156655,-0.00019119043031859496,-9.08297921548501e-05
OL12,-0.5418900467471832,-0.4343268701399615,0.9809148434306472,-0.8639424579579453,0.019041154954498762,-0.15553626251433308,-0.8714470178179275,0.0,-0.9143663496043504,-0.3804862111860145,-0.9981312200192868,-0.28525154976294737,-0.00856681412414804,-0.5857461755442128,4.400161485399125e-05,-0.7603878040820422,-0.615113758818307
Tala,-0.13401466174080925,-0.03004730775733394,-0.9583468951262598,-0.20433597983854548,-0.8567851504955071,-9.568665178695618e-07,-0.04124032453572317,-0.04157684905296807,0.0,-0.02417649925900485,0.4418357823622087,-0.015847493459786494,0.5578878015169326,-0.05396331944585668,0.00027641612085860804,-0.1134912121520833,-0.060567751277658365
Bola,-0.6978397401444245,-0.5876594010925688,1.0,-0.9218065744549537,-0.9991389190266049,-0.25477081024019677,-0.9360664785969249,-0.666202314624615,-0.9519406628753655,0.0,-0.9972688539152618,-0.425568485050317,-0.5940514612636144,-0.7241123540350265,-0.4829778067068071,-0.8548323930481717,-0.747908431979963
Hyum,-0.0014457689885757062,-0.0010495650550754981,-0.08522162757130325,-0.008629316149273083,0.9950035726309019,-0.00025197138469293704,-0.012978648925849106,-0.001469511838107834,0.004200498772730065,-0.0008397766476957872,0.0,-0.0005458835586278174,-0.003206183771875733,-0.0019311689647986733,0.0007959285963679479,-0.004319708866232946,-0.0021824241113752325
Afia,-0.9051070143420522,-0.7034786737951303,-0.9948734917672893,-0.9516197098432544,-0.9973019022973159,-6.752233635057357e-05,0.002328691891416471,-0.7686333607637059,-0.9871328600920581,-0.6548862804749006,-0.9983574603072597,0.0,0.9976713081085836,-0.8137448424090593,-0.49534495853033905,-0.9074330002148938,-0.8315871770453117
Vaax,0.0007128821924079054,-6.200462621327615e-07,0.6087755708479343,-5.570677816938949e-05,-0.4088098014482224,-0.0004165697781995729,-0.01800065633587351,-1.255542456851761e-06,-6.627380709424149e-05,-3.361392891579093e-07,0.3903391478999095,-1.7145143825007355e-07,0.0,-1.8182804646020402e-06,0.0001723990597482979,-1.1465199632895175e-05,-2.4523230337061276e-06
Neae,0.09402182961884833,-0.3644043158050372,0.1474491678897907,-0.825812436185264,0.4863271788185246,-0.12090139197835822,-0.8134464805710565,-0.4453939274350541,0.16365244462665646,-0.3144110337184638,-0.0014215509509524936,-0.2296024133880781,0.0727353387075287,0.0,0.035814040338646096,-0.7030865169743373,-0.5440974276529855
