,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
Acer,0.0,1.0,-0.026530883204567028,-0.7413673192538314,-0.004521099897108984,-0.9924794516526142,-0.9970468077269145,-0.24107403755674064,-0.716834761175896,-0.46075282937101397,-0.5251531010661968,-0.2550525444531427,-0.8122820882135522
Seum,8.817696294019964e-08,0.0,-4.6784675853988597e-05,-0.04207868576165548,-3.5704423833426962e-06,0.03790511047449902,0.9575392603546253,-5.0573516309296064e-08,0.0045348661633082665,-6.758147811909569e-07,1.3618943194942031e-06,2.822138912141818e-07,1.9030722393841502e-05
Meus,-0.00859119430343581,-0.9982498581180046,0.0,-0.9872826363172107,-0.9560259626656669,-0.99608339911811,0.9999993923227761,-0.00020024815589073677,-0.8304863012565309,-0.004322905342526887,-0.003351503799050922,6.076772238695889e-07,-0.017816144905976456
Raer,-0.012252775171405012,-0.7365403946937185,-3.0625607475233005e-05,0.0,0.01393243020437627,0.3624518797688677,0.623615690026756,-0.003889194586808494,-0.008752938392351355,-0.01039579101542456,-0.013394462090317994,-0.004191033527642598,-0.050409396803239755
Boea,-0.18558437004000847,-0.9908518854986577,-0.027843183180326102,-0.873083834300859,0.0,-0.9395652092206371,0.9977476231282181,-0.06689551223518198,0.0022523768717820107,-0.1617165132876065,-0.19956037946387145,-0.07178911801487935,-0.49425177519733215
Hyum,-0.0019794071143706014,-0.19742996682556596,3.28060951628789e-05,0.04305476437978699,-5.390991209519446e-06,0.0,0.9471977856628999,-0.0006244942094557844,0.009714643862150193,-0.0016781203975361932,-0.002164867993920079,-0.0006729355927758605,-0.008383565786199034
Meis,0.0007425490366580704,0.6504223766734191,-1.697146543942097e-05,0.0496089498179448,0.0032669854817863296,0.290876499568766,0.0,0.00023434541138490212,-0.003984692574647906,0.0006291064563944006,0.0008116941932727113,0.0002528313571564714,0.0031546620032171574
Brla,-0.00943774935831485,0.09106702130593856,-0.0007650850309740241,0.015888527259969604,0.02920666097352114,0.85643193100593,-0.2631453621048293,0.0,0.007405859454639521,-0.008010804972252653,-0.01033046392993942,-0.003225007411622552,-0.03923207620831802
Teas,-0.0002647520351801979,0.7870034621063173,-0.020275697083018164,0.03125309666125006,-0.00040991512718984287,0.18174344123243255,-0.9935454879239525,-4.8117178188640025e-06,0.0,-0.0002764062449402275,-0.0003591816708849133,-5.677787113009775e-06,-0.003790207611864726
Afia,-0.5441406308473218,0.9944256299370746,0.00010923438014674544,-0.9612688820578258,-0.008494844786867939,-0.9879648052860743,-0.9883367493812171,-0.2731915586522193,0.005465135682778577,0.0,-0.5667157566712681,-0.288347235462911,-0.8366133643636097
Chae,-0.4792860402072511,0.7642431450297807,-0.008399285889190857,0.013390195382501314,-0.8017839826138079,0.22236665958771792,-0.9990213207760279,-0.2245062886123478,-0.817093072075023,-0.4379136266403523,0.0,-0.23798124515702995,-0.7983557050505631
Beae,-0.7522492589401183,-0.9940114848293018,-0.13666144199320202,-0.9846071669595968,-0.9303471656439978,0.9333590425991719,0.039058324998345086,-0.4886172774859026,0.027582632402484198,-0.7201166395574612,-0.7689738821155411,0.0,-0.9288565589516316
Deae,-0.1883868929329498,0.8876364552556124,5.4776686427505194e-05,-0.6225319199275138,-0.5050462594099402,0.11230876805796003,-0.993384010048583,-0.06803780546033399,-0.5269047640566186,-0.16424732644019469,-0.20283998785567134,-0.07305694271989836,0.0
