,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
Acer,0.0,-0.00792742648951712,0.0108152649731647,-0.5301715084303492,0.9891847350268353,-0.01294479517568041,-0.6066583882995101,-1.953873085653181e-05,-0.45166087166968877,-0.022988856845288928,-0.3002717870958699,-0.021039222025078033,-0.3032664656006905,-0.05700304637798245,-0.028687676596089465,-0.1480758230163533,-0.11525877009072484
Phum,-0.0018802156791919713,0.0,0.937566319044488,-0.6687812031195108,0.04931036074789276,-0.0755234911995504,-0.8801875020663207,-0.0002849597213576491,-0.9004411149811188,0.007414021836674766,-0.13951432147521972,-0.048658659516352024,-0.2734436124841103,0.003026435943628609,0.002682862427315938,-0.5430089628872997,-0.6265980860255179
Meus,0.02954116164081813,0.000780463228164583,0.0,0.04507010530772532,0.6775827721774539,0.0007419879940678043,0.10617592974414665,-4.989390276101074e-07,0.07151206298659503,0.0016524801726896636,0.022450782608325316,0.000961951247572901,0.020034085090638604,-0.0006951048630711572,-0.0007806489037018708,0.011747250624264296,0.011748967177537983
Seum,-0.19868941849552008,0.0018266102363378473,0.9481747620055104,0.0,0.04907192818161518,-0.004612882556773583,-0.5798811711346912,-9.959795580068505e-06,-0.3633863752099449,-0.02851392329847196,-0.20981426243550583,-0.01828257978691858,-0.23243624656824488,-0.006318126246652285,0.0009266995765365252,-0.16248553984088537,-0.08445552512179356
Meis,-0.000444168016948403,-2.5949673795441224e-05,-0.8487802767849171,0.09608231024827481,0.0,0.002704472301646773,0.323589569239779,-3.8493422004998904e-05,0.2644171927362075,0.00984056845817984,0.06641599323858739,-5.2239580509847905e-06,0.15640918542562554,0.004102253750842096,0.006700527813782801,0.03597634376225123,0.03376158302482308
Psas,-0.009091230404818816,-0.5989116608648842,0.068307578067972,-0.9641422315464699,0.9316924219320278,0.0,-0.9873351570145646,-0.7818290467513801,-0.9726571257368483,-0.5877230298604348,-0.939751359018714,-0.5512212072173817,-0.9440834269920839,-0.5925340134057345,-0.43073931328031984,-0.9142634261251243,-0.6272305992808557
Teas,-0.11248818848819986,-0.017418843007061827,0.3102286406947428,-0.31134277975046043,0.6897713593052571,-0.006789915664777302,0.0,-2.0790855513968594e-06,-0.3521069317425556,-0.0076897672502128315,-0.099728293078767,-0.011293355097093028,-0.10557741981096248,-0.01961625171223567,-0.010749604590514168,-0.07428015784681848,-0.06883902361244908
OL12,0.08787926278567613,-0.12545322290248273,-0.961862769869189,0.14531686641236458,0.0365591449067748,0.0014797847880423183,0.45946637138695723,0.0,0.23630827318226186,-0.18672064697476343,-0.11775800232631639,-0.054769036162632276,-0.6277420203347669,-0.0004033759381684625,0.002746671344787718,-0.4238041311917562,0.03024362519313534
Tala,-0.00012644318389642273,-0.01994638540502369,0.159039818388782,-0.2908121725634097,0.8409601816112179,-0.008557237710560514,-0.4738587917878046,-0.046569643379645455,0.0,-0.019059666461023545,-0.1324341804451509,-0.011947637138384745,-0.15211137681449052,-0.019436403451707485,-0.012839860547866653,-0.1149208871377111,-0.1426333556185857
Bola,-0.0030485856092961417,0.006544732681386222,-0.9697719963708673,0.01935736934154034,0.8900694250929864,-0.0555746061601743,0.028592363354720072,-0.6654265174680236,-0.19554915058815125,0.0,0.03561330326250104,-0.3299423072356145,-0.20108473065409704,0.00713256509090687,0.001065990476689386,0.011624250699269652,-0.030101206158542292
Hyum,-0.2763908582670384,4.519131044628719e-05,-0.9444604975835369,-0.5582547431701174,0.9999548086895537,-0.015121156543768072,-0.6785278962481543,-0.13084097227226643,-0.5312044066912087,-0.05061309427886845,0.0,-0.022416450105841677,-0.37292358769969314,-0.05756917815019785,-0.022934871718350333,-0.300111627697933,-0.07664026412484831
