,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
Acer,0.0,0.04698001643249289,-1.8237705438020246e-05,0.223324683583387,-0.5934629977879207,-0.8472800849600776,0.611094357687574,-0.01711649240558861,-0.7430269955642773,-0.2198119764064359,-0.35955618787218246,-0.1845138167967146,0.118600942296546
Seum,0.02161562396944908,0.0,-0.001104290563665029,-0.010870108414815565,0.04740570245072766,0.5364128927101891,0.3763626742403243,0.006135247995150705,0.012067858634159068,-0.011161763598812586,-1.3416627911905595e-05,-0.0030120721086447345,-5.5614007590915174e-05
Meus,0.006158085720817113,0.14580570244390295,0.0,0.11025776641218682,-0.013107404001573491,-0.9809797482468374,0.7280026852355864,0.00977576018750685,-0.9517065970445778,-0.002601300554719847,-0.6514718997497483,-0.0002715773201062919,-0.03294705479973106
Raer,0.007126958526989006,-0.2577039320091154,-0.0018450474386253715,0.0,-9.998079897281742e-05,0.6171207332684605,0.3329739841070053,0.008241384319231815,-0.105075090097285,0.020097119820354063,0.009590892358151203,0.004848927599808188,-0.087106304543652
Boea,0.03653062011813171,-0.756173674546307,-7.121860856563788e-06,-0.23485051836589665,0.0,0.24837906210095564,0.6417773015183517,0.012978837212191114,-0.38208451254149167,0.03869455390319151,0.009195297472206673,0.012444327674971759,-0.0014830811967774978
Hyum,0.007409383935533504,0.09050750875684448,-0.00046325421117129103,0.11086112323423511,0.008127191348171723,0.0,0.7806739948860832,3.561259425100364e-07,0.0017904425761550828,-0.0031487100421753703,-0.0018803060593699963,0.000629999137034308,-5.182618508493445e-05
Meis,0.0724946686375901,0.583264244683786,-2.5723304702384327e-06,-0.04406816308274131,-0.00032531632970667475,0.33614814354261124,0.0,-1.0909804683496336e-05,0.008092943136012597,-6.644947152244846e-05,-0.00013606043927784375,-3.0416606011451875e-06,-0.0005035566320290079
Brla,-0.32127995449676383,0.35094047230453207,0.0026167911206191217,0.4786113337765952,-0.6748854257621479,-0.9545005953571498,-0.7786873775922583,0.0,0.024457017486063465,0.008869442010572418,-0.6144275918925719,-0.2432790616643299,0.13450494330161772
Teas,0.019882604381918557,-0.7304737580424917,-0.008708164023696605,-0.7452560029688344,-0.0003463267924899542,0.5893442874341225,0.3560094601609928,0.007051707374427083,0.0,0.012605643409430042,0.010034556709260551,0.005071740529848476,-0.3125892071899527
Afia,0.018364354090103327,0.22041518186141504,-1.1331896585805392e-06,0.7612204640484816,-0.0006649469640303004,-0.895436959623542,-0.8440990746645348,-0.15712781563347622,-0.3094428355775216,0.0,-0.2304875322444754,-0.1310795155000242,-0.006511585883030286
Chae,0.011038955177036042,0.24997306693716434,0.00276246104315048,0.5892053022193349,-0.5979812756319562,-0.8588448433489234,-0.8617962873219218,-0.21069344916053823,0.004508440599278024,-0.0004824952624198978,0.0,-0.14739097237438276,0.1425117740240361
Beae,-0.6276168533375812,0.6026856722513219,0.0037529288596656212,-0.3285234488363003,-0.7113757226239588,0.19995828293227047,-0.8979470192919622,-0.20982420109555647,-0.7388839818726378,-0.19260694037128342,-0.4607096436443778,0.0,0.19360311595674218
Deae,0.15118391557909244,0.5891460556926833,2.1397078827384774e-07,-0.420015698286204,0.05498439634598366,-0.09159253496963181,-0.37753957446921166,-0.022357664868142665,-0.2956096642029463,0.12798770649583535,0.050974849421756854,0.025722862493860056,0.0
