,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
Acer,0.0,-0.20007575953956877,-0.9969952173660975,-0.608247455130573,0.9116949240548481,-0.08257483650875898,0.004127242630532733,0.0008656541849921517,-0.5418743431255786,-0.11116976023801468,0.08278976520636287,9.642017979072006e-05,-0.149358483429912,0.00034089617447991775,-0.014221399264096669,-0.4363429959820779,8.509756899346611e-05
Phum,-0.6156385660585658,0.0,-0.998187665552948,-0.7130595628305575,0.8570341387573702,-0.12596344147921557,-0.898856728115155,-0.18949469450765724,0.0030961277379894085,-0.324555408025313,0.1393063607850525,0.0005440078216240622,-0.8436748058137208,-0.5033798949335623,1.936489796379391e-05,-0.553531986441459,-0.4138202527191278
Meus,-1.50065264842425e-06,0.0008121902084035344,0.0,-5.548826957745331e-06,0.8351996823216532,-9.768425178238373e-05,0.015531957836765267,0.00037898701363693176,0.00426393081093486,0.0003789799358064025,0.14186381787154748,0.000422308998652936,-0.0019185639876016748,-0.00037457754321138523,0.0006625721717139248,-1.0256950759473735e-06,0.0004855728308855347
Seum,-0.3917608804794433,-0.13865174557869894,-0.5739589348788873,0.0,-0.45944819994393316,-0.05475219096845246,-0.17361999974854206,0.059561587130652675,-0.4422757888627896,-0.10125371995886528,0.8555762272814215,-7.984418560910634e-06,0.017994659181365544,0.026084376726270505,0.012088404085753372,-0.332538424007293,0.02869474559453634
Meis,-0.0032196482615506755,-0.0012092714574928483,1.0,-0.004983189556122703,0.0,-0.0001452266605062944,-0.0011443673890220826,-2.712894164189615e-07,-0.008599228243848598,-0.00096753683572914,-0.00548008016676239,-0.0001049286931329691,-0.0021883712513326137,-6.441680768112259e-07,-0.00027596256583041837,-0.0024924182185627713,-0.0009324861979530282
Psas,-0.9207067945314625,-0.8131296759940384,-0.9783162620818024,-0.9473931716517483,-0.938695884091916,0.0,0.14436865003037946,0.024786451808977386,-0.9665006380018552,-0.7613767939875109,0.7545110193161587,0.0027608633984381203,0.0559564217816162,0.009766192377287236,0.007850401287142941,-0.8997901433959913,-0.07823490748333008
Teas,-0.07489833313475391,-0.048157374163967474,-0.9656997772710916,-0.1115907668369208,0.8341940545230984,-0.007230858230031901,0.0,-0.023077779530116575,0.003012597397184649,-0.02177647211162612,0.16279334807971696,-0.012982371981020157,-0.16816456827158485,-0.018295475854002395,-0.019218107457441454,-0.05896369426168256,-0.020640374108669705
OL12,0.025116811916634604,-7.428895245973514e-05,-0.9743436374027181,0.038877936428800226,0.03311313791052732,0.0011324098892945918,-0.6838002911983877,0.0,0.02799371023414,-0.05589603935694068,0.8543371112509855,-0.03705457570270811,-0.8044287512621737,-0.5052819811799502,-0.00011630681071232684,0.01942888236961735,-0.39394938570553856
Tala,-0.000407629955284623,-0.05735692618689111,0.8564541777294499,-0.0011303121383268184,-0.9868518196701361,-6.653078346410024e-07,-0.49442512385445936,-0.07851425922478655,0.0,-0.04640899748644961,0.1435458222705501,-0.007848925273462084,-0.27141710589907814,-0.027269056294068325,-0.05407288836980006,-0.0003090612876644444,-0.09978736196637027
Bola,-0.003996209762378536,-0.500885654456143,-0.9636948857251926,-0.010332236754000612,-0.006904273321072218,-1.0013254905551294e-05,0.02127336274015307,-0.5393924517689919,-0.6076992952638721,0.0,0.9745622664795064,-0.08002020108158431,-0.8510809856441919,-0.6977848659538528,0.0041643707803405965,-0.0025329874396663194,-0.6218275838528984
Hyum,-1.4109969213489717e-05,-0.0020327217482720176,0.18029783370859626,-2.4216167707728164e-05,0.8088475570232617,0.00047187391958213997,0.009464990978331094,0.0009177443702287706,-0.020001027641330094,-0.002437885715559229,0.0,-0.0017616181888161064,-0.0022462417551514235,-0.0037345515601091336,-0.00023340753876240614,-3.936087477301671e-06,-0.0025864156365010766
Afia,-0.004193440421332778,-0.00018258661904994113,-0.9988056895483512,-0.013416829226769855,0.9988601274190062,-4.408283882894039e-06,-0.9234682555561652,-0.1408671354600348,-0.9108844487480358,-8.06986968887154e-05,-0.8066526676313732,0.0,-0.6548169934977041,0.0009305954835675134,-0.5236079978323075,-0.002836280024052228,0.00020927709742634207
Vaax,-0.18333735233411014,-0.0776501245417421,-0.9876529590963571,-0.2581274003772287,0.8311625647361603,-0.019798099374548996,-0.32854736265487167,-0.0948546933941827,-0.10008113444584354,-0.05814243060631555,0.16874953667436177,8.789858947779523e-05,0.0,-0.1244051665173004,-0.030987618615542886,-0.14802510092887167,-0.13964053867914283
Neae,-0.5370933998575528,-0.3032363881139463,-0.9975220517195725,-0.6427490253090213,0.8576682612785818,-0.09454432156441953,-0.634114792552461,-0.35139479458244843,-0.25440912382589426,-0.2582383557282112,0.14214211331310259,9.071508582853326e-05,-0.8069180309166842,0.0,9.891032248711248e-05,-0.4731743342335934,-0.30776622647688734
Rher,-0.6843467415362569,-0.00013056502277893753,-0.9984823477183575,-0.7706366630414544,0.9756498376049658,-0.1631903463146371,-0.9074949510103132,0.0003704727650975312,-0.8534632512045397,7.927216040951198e-05,0.02295187289911343,0.00010315267326174437,-0.23725648386845774,0.0005475227002886754,0.0,-0.6264703636935749,0.00029786919686334033
Spas,-0.5639865941699467,-7.830183304983698e-05,0.8187583781076966,-0.6675924005307813,-0.9975106103727923,-0.10425963570677231,0.003930578378147232,-0.25359792656282054,-0.7860341833453375,7.80503304444592e-05,0.17643617931544056,0.0005079943001014162,-0.7863390754299179,-0.45016170729218663,0.0002888195681697767,0.0,-0.04446692521586624
Paas,-0.0009056785782190403,-0.26499943228587103,-0.9967611086832616,-0.0016666574804902962,0.9402152080251874,-2.894638399223057e-06,0.0016991218526235352,-0.30974475576686783,-0.44757008559389483,-0.2649681337125793,0.05808567012218911,-0.2557490499802465,-0.7826926891209305,-0.3324019333044228,-0.17036827343829308,-0.0006170955800416628,0.0
