,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
Acer,0.0,0.942886586872244,-0.03215800508937325,0.048913667465189735,0.004724556174187487,-0.9875070234636179,-0.9806438229970414,-2.4806972180443657e-05,-0.02813053734374984,-0.04098137261597902,-0.21741176166874054,0.0007792697392477343,0.002695919749130952
Seum,-0.0021805731924873116,0.0,-9.54009852526976e-05,0.025573312843810918,0.00038078232865041605,0.565996390692042,0.3969923670142586,0.0003614811885125509,0.010305686444741384,-0.00016200522545811168,-0.0001312044691953847,0.00038997948798427375,-0.00011298638799164395
Meus,-0.9068778555652381,0.9652799794938345,0.0,-0.9080855498847038,-0.9143245196601599,-0.9943771957960968,-0.9996502922297428,0.000731601837831034,0.020355310120864015,0.004254279565769657,-0.9002260669776982,0.0007892456357570952,0.008589583345943801
Raer,0.0012069991779611322,-0.8592125528938116,0.00010269097084182246,0.0,-0.034826043212402756,-0.758597342868987,0.99646356841545,-0.004051582348174834,-0.10572683765655182,0.001220283052921746,0.0010064583828252925,-0.00437294266182952,-0.008701219844800262
Boea,0.00462295729779151,-0.960791209670629,-1.3903025841980421e-06,-0.9285782055917634,0.0,-0.98551316348782,0.9939356756636125,-0.05541467370346782,-0.6308072546217601,0.001441367038596042,-0.11968118227294017,-0.059523183581103735,-0.3224290226583466
Hyum,0.002079969476782654,-0.22836972567239855,5.7101140416854286e-05,-0.0735465328700064,-0.0029286799972623855,0.0,0.9978629293828005,-0.00045436942867743826,-0.013045629419173406,-0.000814427810884093,-0.00012278648453109984,-4.6501082851916104e-07,-0.0028795630664369323
Meis,-2.2921264288082716e-06,0.4449157303509424,-0.00017138808602024737,0.06272247122566482,0.000825554753383806,0.4805514612268938,0.0,0.0003248680174080098,0.009211270835887811,-0.0011648377143447489,-0.000958664084722603,0.0003503421966279833,0.0010983013931910547
Brla,0.006806358424496462,0.657050690395336,0.00028518609422546287,-0.07017530094051967,-0.0044969671169386065,-0.6953661793342522,0.3316044010967889,0.0,-0.07471742277851444,-0.0062551115941781275,0.002095906507478612,-0.00302075712367479,0.002157457481674651
Teas,0.002534579960227921,-0.9368177237673441,0.0001294830389314497,-0.884107108166977,-0.13822085353659339,-0.9786930927769419,0.9968547435854654,-0.03324276742659863,0.0,-0.044253339881874666,0.0004811934153751704,-0.03579919029103789,-0.14661066685830573
Afia,0.01199799837479261,0.987859881226307,0.00014212039890039164,-0.8507677299756824,-0.3816324079949128,-0.9690099406263043,-0.9645740446734066,-0.10135672961902369,-0.7640816638631941,0.0,-0.029695740350396318,-0.10852884490814144,-0.19863007686200823
Chae,-0.26561942698553953,-0.9957820153878112,-0.07769044040615013,-0.9594393042091842,-0.48649169230761835,0.2844735422625552,0.6928600226231617,0.0006102305272170703,0.016816451987970278,0.0008176740503277057,0.0,0.0006588252315409815,0.0037632533172269754
Beae,0.0022434487401160326,0.9502419200396813,4.0902580653264405e-05,0.04436654013664538,0.0008246860061416838,-0.9934010509889347,-0.9994711805474833,-0.0004253947445720683,-0.09432285604403048,-0.3006108733426417,0.0012013066542941877,0.0,0.0010811958424680813
Deae,0.004728682020998342,-0.9702508016804805,-9.716292135432445e-07,-0.1538883951379979,-0.37017703657978257,-0.9701451048575259,0.9931209825825638,-0.04494239600632084,-0.5743094961213062,0.0021503353964378575,-0.05592046694333843,-0.048334594136275486,0.0
