,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
Acer,0.0,-0.0789263785769238,-0.8344488308933903,-0.6079610439913291,0.564066434350865,-0.04308297318790765,-0.7664917471452648,-0.20808627414261394,-0.722891097539976,-0.1305130847157738,0.435933565649135,-0.08888685379469234,-0.5338213621946274,-0.25672510873117105,-0.21739646489199635,-0.4363421588969832,-0.09984000141119827
Phum,-0.006832960979048969,0.0,-0.9839821568674391,-0.0077921590808171,0.0969697980127391,-9.104641887365452e-06,0.0010103801078225547,-0.0004794586620356854,-0.009268651970355056,-7.07023623624175e-05,0.9020198218794383,-3.921974862695817e-05,-0.005323565165912505,-0.00043259548347975355,-0.0002789897063675686,-0.0015037366757067077,-0.3005443980220511
Meus,-5.397300850676494e-07,0.0004712995117039693,0.0,-9.853153827638024e-06,0.9685727273687684,-4.734342899405901e-09,-6.0735580841835337e-05,-1.9543899167002458e-07,-4.090079411122956e-05,-8.614749808305788e-08,0.029373186496947954,-5.304216023177661e-08,-7.906301401467354e-06,-4.6856359903736224e-07,-5.174841432684047e-07,-2.814791464587335e-06,0.001582786622579412
Seum,-0.39148978375430654,-0.05914503141254367,-0.9831348738541452,0.0,0.9065149420950527,-0.028166105029194883,-0.6829566141278671,-0.14470345713003577,-0.6271184784526121,-0.0881154827504854,0.09348505790494727,-0.05909107483327637,-0.42443033181278655,-0.181909909557189,-0.15168681888387966,-0.332665532630871,-0.0873106824063505
Meis,0.005379405917899367,0.00032231850203788293,0.7829908967392271,0.008332599202893457,0.0,0.0002425916447364661,0.01767953041437924,0.001415443832018917,0.014006329879209299,0.0008087156970996164,0.15413729916837215,0.0005256245915083449,0.006152162799013609,0.001860247033213337,0.0014960733613493223,0.004167444138846963,0.0004833170781952277
Psas,-0.957980372811541,-0.619057242212815,-0.9990856804814239,-0.9724655945580024,0.6791865672711644,0.0,-0.9869589146055099,-0.8568629377134978,-0.9834671493599983,-0.7737418449807718,0.3208134327288355,-0.6896913616694228,-0.963070702321126,-0.8872562926864592,-0.8635743634482856,-0.9463515984275782,-0.6237286042301915
Teas,-0.2286143694213507,0.0015112391822164719,0.677422525591158,-0.3154201923013651,-0.8450813766869756,-0.013175722555604492,0.0,-0.07228507174429201,-0.43722849988840534,-0.0426170916270861,0.31873815236264974,-0.028116214063069554,-0.2535265353073139,-0.09291344832987135,-0.07609863776019088,-0.18672110161349872,0.0023280828639757525
OL12,-0.7926314343200489,-0.46439913026104435,-0.9942318444023166,-0.855700512989398,0.7151221122555823,-0.14678130483106705,-0.9268205803818065,0.0,-0.9086364478564487,-0.36450023727811043,0.2848778877444177,-0.2715437345630293,-0.813894582360644,-0.5689264638682631,-0.5149243942714556,-0.7473398297532579,-0.6022245951512708
Tala,-0.27618355661574046,0.003937112917058145,0.12249518032929212,-0.3719024616691261,0.3131916251831186,-0.0168829603655351,-0.5577006159184115,-0.09108811771567246,0.0,-0.05415450714156788,0.5603760815705308,-0.035876704341069716,-0.30415945367925623,-0.11640486840453346,-0.09580262191344886,-0.22802851688994627,-0.03465185711605769
Bola,-0.8702386487831798,-0.20488999050803056,-0.9975849637747481,-0.9123368222759681,1.0,-0.23204942926118077,-0.9563941433727494,-0.6381807850633515,-0.9459829739322996,0.0,-0.9934925958303571,-0.39570005955570703,-0.8847535195632317,-0.6986541372960742,-0.6507718585345501,-0.8385852165398692,-0.2885381080895864
Hyum,-0.011395641942571824,-0.000576287576190185,-0.5472935921264165,-0.01751877913888547,0.9994117356503783,-0.0005184492583210595,-0.0357341975902556,-0.003017816802959304,-0.029139645696007556,-0.0017264980901068397,0.0,-0.0011227771626103416,-0.013005762655767028,-0.003963729409185378,-0.0031885334064910777,-0.008837751163856381,0.0005882643496217218
Afia,-0.9120489850284114,-0.6202275372230238,-0.9968736353977611,-0.941402326198767,1.0,-0.31825851061121657,-0.9709158584974487,-0.7315607239642622,-0.964299121387727,-0.608855967468304,-0.9880876516967703,0.0,-0.9222105367270259,-0.7817427971622504,-0.7421956982793031,-0.8891908143288029,-0.7144217573024069
