,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
Acer,0.0,-0.852144485450894,7.962357093425892e-05,-0.9662520840942894,-0.281870316877137,-0.9903908034119615,0.9977406192398557,-0.16624309860549147,-0.7813229290971941,-0.39058143808113166,0.0021797571892100127,-0.17703092434511675,-0.7311352971434527
Seum,-0.0011527173747887915,0.0,-1.1636112176132778e-05,-0.11870308486418935,-0.0011988599489233195,0.4111850255121296,0.5888149744878705,-6.359345208001052e-08,-0.0028758681863329085,-0.00035791201386924375,-0.0011034730341915162,-0.000430149431102707,-0.005408051694130757
Meus,0.0003485644143477317,0.4423735849971398,0.0,0.537314832355899,-0.8992002683137398,-0.706925658271352,-0.999070196456379,0.002579852484699439,0.013251266399970596,-0.4734519185248793,0.0041318993479435365,-0.0019844398416149385,-0.19810965870354338
Raer,0.00019922333636248447,0.22785543442617398,2.4226845965776402e-05,0.0,-9.994667337118136e-05,0.6040537775190575,0.16221780109567277,-0.00041415373186770316,0.0032256763675611987,0.0006958851879971511,0.0017279752212091698,-2.1864449180244724e-07,-4.131883156540921e-05
Boea,-0.29374229284955267,-0.8827830078029478,-0.003903139638219122,-0.9880895080094458,0.0,0.6307632645086872,0.3688033069918074,-5.297036968844525e-05,-0.6582935735364739,-0.19813452710540297,0.0004334284995051309,-0.12620208645383432,-0.6461037814155688
Hyum,-0.0016451815160755906,0.48488685528683445,9.000131158326484e-05,0.22012119881490733,-0.0006532866913366655,0.0,0.29402857840843044,-0.0004492032437933075,-0.009763754583367945,-0.002243187253735004,0.0008733661782445571,-0.00048469150688998586,-0.006100310403113609
Meis,0.001464103131703102,0.6031133401953332,-0.0001072226447617985,0.37002704524666646,0.0004945506579812667,0.01458887914792879,0.0,0.0004073796916236442,0.0036864394882307984,0.0002574577077470222,-0.00026150502501560795,0.0004395372697603451,0.005521267463025468
Brla,-0.07592942164160921,0.9988516452204478,0.0001039741167060256,-0.9974377870866743,0.0010443806628461774,-0.9980711589136599,-0.9991286223596099,0.0,-0.9454861142529494,-0.8023790773764311,-0.45135829391590143,-0.0007417854502626619,-0.08822670592452085
Teas,-0.07313271247133106,0.8056381888695782,0.00011326379448141607,-0.9204515103499731,9.31543646403902e-05,-0.9317562039394421,0.19316250846423053,-1.383207191334232e-05,0.0,-0.09639676005766369,0.0009928845070696821,-0.027260529740664334,-0.261395798485855
Afia,-0.3208399314938211,0.9994275365946054,0.0005724634053946101,-0.9408332243594093,-0.1317686643976182,-0.8472259489749415,-0.9614044644727463,-0.1319216876580263,-0.7743384546733261,0.0,-0.31986603152976684,-0.14088922603321852,-0.6748507863489202
Chae,-0.3394969116675737,0.29739287670063397,8.874890505504017e-05,-0.9909400592740464,-0.2695817979656414,0.7025183743943111,-0.9382186028954832,-0.11705895901285027,-0.6925613538735651,-0.08928248473619235,0.0,-0.12511973175289517,-0.6432604035987668
Beae,-0.6590644725785092,-0.9744725930086114,-7.373177920205755e-05,-0.9445767651102426,0.00392613301073129,-0.972458575500157,0.9474443698574465,-0.0003691687719857945,0.04862949713182222,-0.2925316768212972,-0.6932608230680205,0.0,-0.9300749661590748
Deae,-0.15755613718661923,0.37519703135052057,-5.414778287386581e-06,-0.9897724025213787,-0.09614822296302002,0.3283234754629114,0.29647949318656824,-4.670910288350343e-05,-0.40979657470056546,-0.1481862581479562,-0.10202646874521613,-0.07333728254675655,0.0
