,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
ASN,4.717954814808572e-06,1.666980473319779e-07,-0.18807108619964155,-0.015512518844594958,0.2579637405447882,1.6160266850296647e-08,-0.02718391742351728,-9.787333971563978e-07,3.9477717452619126e-05,1.2379370478525578e-07,2.1362350822045593e-06,1.3733764670691035e-07,-0.007651466649398917,2.59366631649311e-06,3.651354028759644e-07,-0.019594228595405064,7.21202431977069e-07
PROPIONATE,0.0,-8.192031148655792e-07,3.3306984559484984,8.98686647122563e-06,-3.3352018854901857,0.0,0.0,0.0,0.0,-1.3953116389962522e-08,0.0,0.0,0.0,0.0,0.004495275831446779,0.0,0.0
PROPANE_1_2_DIOL,3.287890554408055e-09,8.192031148655792e-07,0.0,0.0,0.0,0.0,0.0,9.138779147388291e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.23404883334726e-07
RIBOFLAVIN,3.2393194439452075e-08,1.8028355986688193e-09,0.0006842744839432282,1.2378007822357033e-07,8.88444594366389e-08,1.0310072648162536e-10,5.621411173372772e-07,3.533557773390886e-09,3.4333201141048993e-07,1.1538147831480444e-09,2.3103333932003384e-08,4.874867458800487e-10,6.664434187463103e-08,6.1036802028531554e-09,3.948931095324182e-09,3.060205258604401e-08,7.79978793408078e-09
METOH,0.0,0.0,2.4067892194169946,0.0,-6.250000000000001,0.0,0.0,0.0,0.0,0.0,3.8432107805830054,0.0,0.0,0.0,0.0,0.0,0.0
PPI,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
ETOH,0.0004565548426837907,0.0,-5.081626501649515,1.6121320414961466e-08,5.082211819557088,-0.0012154668559132855,0.0,-1.471497940650548e-07,-1.4748946548266108e-08,0.0,0.0,0.0,0.0,2.4152187399727073e-06,0.0,0.0001713246643355167,0.0
PHOSPHO_ENOL_PYRUVATE,2.3809872193025823e-05,0.01519829814910329,-0.4131474146632038,0.023299621876514895,0.24068162130408163,3.097761156628364e-08,0.0,0.02128226305132209,2.9809633869982407e-05,0.012157198874376449,4.2726923447600326e-07,0.0,0.011504917495858342,0.027968830803798778,0.0,0.029393917681168523,0.031606667674063206
THR,5.049852421318998e-06,1.784248834487181e-07,0.06772197927234874,1.2250393794432076e-05,-0.06784436847639104,1.0203778491807703e-08,5.5634558923007455e-05,3.48494267673169e-07,3.397923480397387e-05,1.1419192540717958e-07,2.286514459298608e-06,4.8246088484533355e-08,6.595725611518691e-06,6.040752854039801e-07,3.908218647060721e-07,3.0286553416119207e-06,1.8698105935321682e-06
GLY,4.760222142381194e-06,1.6811296305015792e-07,1.607115082735195,0.015548202244548748,-1.622781183451584,9.470731355865568e-09,6.844428548959736e-05,7.073402295456852e-07,2.7433796463285555e-05,1.7404343972820608e-07,3.6722038196218172e-06,9.984821337119893e-08,6.208753133896366e-06,6.184232989707775e-07,3.6823463426506603e-07,4.416917121055678e-06,8.168201604285449e-07
GLYCERATE,1.4944957065491157e-08,5.280455744209379e-10,-0.9221615777524879,0.023307070113936085,0.8988514370298127,3.0197918422736245e-11,1.6464958281785028e-07,2.94334702339698e-07,1.0056099919272345e-07,9.659785240725682e-08,2.2835217965410505e-06,8.172848576697776e-08,1.9519943922274163e-08,1.7877510967595281e-09,1.1566310262116226e-09,8.963256798450772e-09,2.284536373174746e-09
ACETYL_COA,5.0261589354855535e-08,3.569296073882768e-09,0.0006740423340118516,-1.561161790858686e-05,-0.0006248082166162675,1.0155903288263543e-10,5.537352619977643e-07,2.0982264331123764e-06,-4.442063784536955e-05,1.3430082922149898e-07,2.7007069721051275e-06,4.801972186637992e-10,6.564779017756876e-08,7.134804328634464e-07,3.889881602818143e-09,3.561993743144587e-06,9.117443717493335e-07
BUTYRIC_ACID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPD_10353,-1.218337708607568e-05,0.0,-15.707587669057604,0.0,0.0,0.0,0.0,0.0,0.2800817756765079,0.0,15.427518076758185,0.0,0.0,0.0,0.0,0.0,0.0
BUTANEDIOL,0.0,0.0,15.707599847630817,0.0,0.0,0.0,0.0,0.0,-0.2800817756765079,0.0,-15.427518076758185,0.0,0.0,0.0,4.803874195532263e-09,0.0,0.0
ILE,7.409124991625327e-06,2.617843360148018e-07,0.012768727402271873,0.0,1.290083679254384e-05,1.497094646043434e-08,8.16268212461624e-05,5.130972985890116e-07,4.9854208950658866e-05,1.6754197504947318e-07,3.354765646730931e-06,-0.003950994159197136,9.679342392773136e-06,8.862970480117133e-07,-0.008989978250483949,4.4436320332496525e-06,1.1325837513344385e-06
HYDROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADENOSYLCOBALAMIN,8.002824744311073e-08,0.0,3.0724709315644687e-07,0.0,0.0,0.0,2.524078104597645e-10,0.0,1.5416001176244504e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBON_DIOXIDE,-0.02256532372453213,-7.289356148380989e-07,-2.455031599638662,-0.031041598447161062,-0.3456519210951585,-0.0012155293540234127,-0.053285892994344254,-1.383517105004858e-06,-0.07038914672619905,-6.682749868447894e-07,-0.01693303163089285,-0.0026341334153952454,-0.02468943961031164,-4.507952491065858e-06,-0.0030024135258025593,-0.0098035575261425,-1.0514905563404182e-05
L_ASPARTATE,-0.021337292851934166,4.3880334653049393e-07,0.008986652441249028,0.046539548328061946,-0.14301720918455463,0.0,0.02398569131821698,1.6181600430468964e-06,9.161706877353823e-05,1.108980239017254e-06,0.03950444917757838,0.0026340211855211413,0.023008023137625594,-1.0418986624600182e-06,-1.2729442678843419e-06,0.019601405194573634,2.2430841898885984e-06
GLT,0.11000112787303994,5.162665058019935e-07,6.943814405935921,0.03878171861898874,-7.04138723757255,2.772053023115855e-08,0.07066454252209664,1.1527772946745758e-06,-0.1760154356151592,-7.008494731051634e-07,-3.4488012820449005e-06,-3.1004476931323504e-07,0.013981417005703383,0.0,0.00749420000170387,0.03266272064921394,5.303512235140332e-06
VAL,8.731413694148055e-06,-1.737299853736098e-08,0.11707901397684659,2.460179811474377e-05,0.1221013540331489,1.7642775238202383e-08,-0.06353678159725443,1.492890354133e-07,-0.1756878244139687,1.6849403418084939e-07,3.37131974659314e-06,8.341957794736961e-08,1.1404295437254603e-05,8.906749524945834e-07,6.757479420707043e-07,4.468883021515422e-06,-1.0307604105269919e-05
G3P,8.966974239294695e-08,0.0,0.16342643633220344,-0.0011971119377342657,0.0,1.8118751053641752e-10,0.09302278396915269,0.0,-0.21036596870125673,0.0,-0.0583721745078304,-1.818111670888119e-07,1.1711966353364496e-07,0.0,0.013497358320559434,0.0,-1.1348634519784627e-05
LEU,1.0891311196602566e-05,2.448844713817971e-07,0.1460599418690271,2.6421138671858295e-05,-0.146321400648483,2.2007084101370703e-08,0.00011999029752990864,7.542459277425599e-07,7.328499718331282e-05,2.462843845689991e-07,4.9314590712827205e-06,1.0405515248040213e-07,1.422538605270539e-05,1.3028443943700057e-06,8.429083061873997e-07,6.5320775897312796e-06,1.664882439686434e-06
LYS,-0.0006454782770604203,2.7779705403632963e-07,0.10543914039195648,-0.04646993667663903,1.368994994173194e-05,1.588668323764461e-08,-0.0015030279083292303,5.444822259112062e-07,0.0,1.7779011458325097e-07,-0.03385221299931031,8.364462619765585e-08,-0.0229913621614459,9.405097061453979e-07,6.084866671611766e-07,4.715438314034275e-06,1.8236454953524828e-06
CPD_2961,4.573156862040294e-09,3.470227047232125e-06,0.0037075836280647356,1.0876453053572203e-08,-0.011004157112762591,0.007292995643745689,4.939487484535508e-08,3.1049079775951155e-10,3.0168299757817033e-08,1.0341244529459649e-10,2.0300708361047637e-09,4.3691758136967015e-11,5.8559831766822484e-09,5.363253290278583e-10,3.469893078634868e-10,2.6889770395352308e-09,6.853609119524239e-10
2_KETO_3_DEOXY_6_P_GLUCONATE,0.0,3.1682734465256283e-12,-0.00364625446269887,2.1752906107144407e-10,0.0,0.003646252401654096,9.878974969071019e-10,6.209815955190232e-12,6.033659951563409e-10,0.0,4.0601416722095294e-11,0.0,1.17119663533645e-10,1.072650658055717e-11,6.9397861572697375e-12,5.3779540790704636e-11,1.3707218239048476e-11
PUTRESCINE,0.0,1.0329006839237891e-07,0.0,0.0,0.0,-1.747331957747103e-08,0.0,0.0,-1.9497844121754622e-07,0.0,0.0,1.0916169238706823e-07,0.0,0.0,0.0,0.0,0.0
TRP,4.025506881019139e-06,1.422319973224581e-07,0.05398480407193156,9.765442710066344e-06,-0.05408073327377313,8.133976422312616e-09,4.43492761930129e-05,-4.80788057411376e-07,2.708666157008893e-05,9.10284782863732e-08,1.8227027092114822e-06,3.845953207599268e-08,5.257804905820916e-06,4.815406501349144e-07,3.1154496693511237e-07,2.4143028153503333e-06,6.153525132158828e-07
FRUCTOSE_6P,0.04079695886232048,-1.8421156809665008e-06,22.891150824180215,-1.3947314434200996e-05,0.0,-8.099253356289256e-10,0.00013343793283555964,6.439678330092665e-07,-3.7458378889495624e-05,-9.08910906847599e-09,-23.0592655341814,0.031604732871259034,0.09561674555894507,4.114602112249086e-07,-2.814567915121293e-07,3.9111463839762046e-06,1.14073662237469e-05
CH4,0.0,0.0,0.0,0.0,6.250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SER,5.02496533156569e-06,1.834718110376398e-07,-2.247527639422122,-0.023292799649205213,2.270722338178225,1.070739478554413e-08,5.187801283118508e-05,0.0,3.318103690093159e-05,0.0,0.0,-3.354554329563417e-08,5.114379515192817e-06,1.6809650005364499e-06,4.018766548968463e-07,0.0,6.590232051022608e-07
ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACET,-0.020398143281962516,0.0,0.26326509515914415,-0.06732823711144677,-0.0062177755577465165,-0.002430978816892915,-0.09026499319006426,0.0,-0.00012720852993503958,0.0,0.01128844834523253,-0.005267466074266978,-0.04780036744225725,-6.426436762585379e-06,-0.00599861238262278,-0.02871333468041906,0.0
CYS,6.858988045207167e-07,2.4350821664421554e-08,0.00924246555832325,3.7161178344861516e-06,-0.009243949428430653,1.177524473296118e-09,-1.2998170758284645e-05,-2.2550009131529622e-07,1.047547951030568e-05,-1.8594132169735862e-09,-3.723183747255369e-08,6.584462178059588e-09,8.947893494110671e-07,-1.1439225151496201e-06,1.4753745369417517e-07,-4.9316287074876255e-08,-1.2064750819189875e-08
FUM,0.021784071965438037,10.759926468454815,0.0,0.0,-10.787365499503705,1.7300892389495272e-08,0.0,0.0,7.037379396638231e-06,0.0,0.005647090232468536,7.048325152225381e-08,-1.3087614881134255e-06,4.4884470869309215e-09,1.9803131624474e-06,6.764271130564181e-08,0.0
FRUCTOSE_16_DIPHOSPHATE,-0.020394035925536964,-4.472197559559549e-07,3.7229554521780686,7.250968702381467e-08,-3.9129088211907592,1.3186790779338357e-08,-5.790668200349808e-06,-3.6992020265722696e-07,0.21035717513965424,-3.60453202701842e-08,1.353380557403176e-08,0.0,-2.6297502691414817e-06,0.0,2.2244463800247507e-07,-8.182725939308746e-07,0.0
PHE,8.267460578887313e-06,2.910550243018e-07,0.1104712635474112,2.0055961901726067e-05,-0.11066975477041927,1.6644881249183256e-08,9.108316131733786e-05,5.704678476315281e-07,5.5629741387419445e-05,1.86275215553152e-07,3.7298694478836437e-06,7.870127857120671e-08,1.075925645035006e-05,9.853958902761743e-07,6.375269252306627e-07,4.940484404508475e-06,1.2592204571393074e-06
THIAMINE_PYROPHOSPHATE,2.2806004481939506e-08,3.4111744107592595e-10,0.00012947268243905066,2.3420628908692144e-08,1.6810403943198063e-08,9.064129542602456e-10,1.0636363050033129e-07,6.685901845088149e-10,6.496240547849935e-08,2.1831516228859263e-10,4.371419200412259e-09,9.223815606693037e-11,1.684571160492259e-08,1.154887208506655e-09,7.471836429327085e-10,5.790263891799199e-09,1.4758104970708859e-09
GLN,7.131486919874787e-06,3.349005844544248e-08,0.1338506779361342,1.0337240808494472e-05,-0.1340436173484061,3.741344715600148e-09,0.0001286331451747357,1.4931642472605382e-06,2.8289325867899792e-05,1.842418598988179e-07,3.140536500711038e-06,1.0787395135791012e-07,7.376650248071228e-06,5.523716137166176e-07,4.4922486403733844e-07,4.172369896846505e-06,1.0345489158557776e-06
NITROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBON_MONOXIDE,1.0959635181360184e-09,0.0,0.0,0.0,0.0,7.390875824659649e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.5298565259445685e-10,0.0,0.0,0.0,0.0
PYRUVATE,0.06631635610581064,-0.015197861944209298,4.750307817544723,-4.327173576005519e-05,-4.8583879976712545,0.0,0.11965837470224612,-0.02128367205009121,0.0,-0.012157838655346254,0.01692818972036792,0.0,0.0,-0.027967785739302184,0.0,0.013420107675021557,-0.031592417952205895
RIBOSE_5P,0.0,0.0,-24.510943298158537,0.1683343803052464,5.152818767131992,0.0,4.3099319675933194e-05,9.65529295159485e-07,2.639698574534211e-05,8.858624919909642e-08,19.216055671781724,-0.026337225363277476,0.0,4.6927974658385987e-07,0.0,0.0,6.846021433808241e-07
ARG,6.73116382742602e-06,4.201315142021243e-07,0.09026951664473852,2.6914732957964433e-05,-0.09047558011142753,3.9811031230051685e-08,7.41576781524113e-05,4.661470794616359e-07,7.676763324943015e-05,1.5221129125277902e-07,5.165810956120365e-06,6.430927055429913e-08,8.791724182760516e-06,8.05197730727201e-07,5.209431443126361e-07,4.037023972251832e-06,1.028948328868786e-06
PRO,5.137741534348247e-06,1.8153024246524133e-07,0.06890063246738155,3.6422197380176787e-06,-0.052658512464231075,1.0381368046188712e-08,5.660283910816173e-05,-7.568094649982006e-07,8.584958346581593e-06,4.307654457700372e-08,5.612944264517474e-07,4.908577756260125e-08,6.710519555067097e-06,6.145887888903211e-07,3.976238430958647e-07,-0.016324684425399666,7.8537244100162e-07
GAP,0.0,0.0,4.21227262557375,-0.09980134515855196,-4.1175751367705145,-0.005469605292494661,0.0,0.0,0.0,0.0,0.05837157519674671,2.2618437743794534e-07,-0.04779801767272509,-3.22060589067029e-07,0.0,0.0,0.0
GDP_MANNOSE,1.2151704736687265e-05,3.6977158776937876e-07,0.1633152916976286,4.050887083409228e-05,-0.16364421835966375,2.3442171258946754e-08,0.00013484822786072822,-6.107930354847502e-07,0.00011349617392728703,1.82544279272468e-07,3.6792354210895194e-06,1.1626367320576797e-07,1.5894413644435108e-05,9.656592373513558e-07,1.1936846264273815e-06,4.873463743224644e-06,1.2339993278818836e-06
CIT,0.0,1.0560911488418758e-09,-9.131840244945083,7.250968702381468e-08,8.764255155385218,6.039583684547249e-11,0.07847375630987452,2.069938651730077e-09,0.21131071387446737,8.95911201518727e-07,3.936322171580313e-06,0.003951323240308887,0.05418560221313065,1.4233064938726069e-05,9.500567692444393e-06,0.019613344760182352,2.170759978634835e-05
TYR,5.828723803744136e-06,2.062930166843575e-07,0.07829945649897929,1.41637794156165e-05,-0.07843933226390831,-1.1076796464417969e-08,6.432410530580233e-05,4.0433431270134073e-07,3.928644209736905e-05,1.7411094014601467e-07,2.378661066218689e-06,6.86997853664268e-08,7.622733301087283e-06,7.020029272311767e-07,3.1481398693956585e-07,3.5196356592606566e-06,8.925061073832042e-07
L_ALPHA_ALANINE,-0.06598648096044517,2.668148017829411e-07,-4.988867447096313,1.8319117428280707e-05,4.8436510824963035,2.2896864233050295e-08,0.0,2.3804198399017256e-06,0.2111621802236944,1.707614731410823e-07,3.4248932595561832e-06,7.214672240210725e-08,9.864241645586695e-06,0.0,0.0,4.989697165967331e-06,1.154347558433716e-06
FORMATE,5.82574353022266e-08,5.406289004593889e-09,0.034957112989725654,1.386796104121805e-07,0.02661603392734103,-0.0006077322415773647,-0.04512939988121044,1.494062802671618e-06,-6.597095994895105e-05,2.435534426216726e-07,-6.935037764712485e-08,-1.0989631457247007e-08,-7.73542245788241e-07,1.257155509996784e-08,-0.0014999369265995969,-0.014271018320132297,-1.8723647791947516e-07
BUTANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
