,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
ASN,3.078211901359016e-06,-0.145710793733078,4.476739754082849e-09,-0.19703366581041823,7.100035296001193e-05,-0.0022053995926827755,0.08739720949372713,6.536534774096349e-08,0.25746522003107813,4.657600040147796e-07,7.800271347513956e-07,7.609359387296372e-08,1.1959323692362595e-05
PROPIONATE,-2.1609876493194053e-07,1.1480342099817893,3.1197904451717926e-12,0.0,-4.5194018804881644e-05,0.0,-1.147987720260133,-9.074982933760984e-08,0.0,0.0,-5.040611254311435e-07,-4.847962512282155e-07,0.0
PROPANE_1_2_DIOL,0.0,0.0,0.0,0.0,4.519401880488163e-05,0.0,-4.519401880488163e-05,0.0,0.0,0.0,0.0,0.0,0.0
RIBOFLAVIN,7.0301008392249615e-09,1.2804101626559188e-05,4.841583884041226e-11,7.673145340405515e-06,3.412037918249993e-08,8.948688244548946e-07,0.00028763456524814185,7.069247523463312e-10,5.60525300896602e-07,5.037183872956491e-09,8.435975759553433e-09,8.363641277480472e-07,1.2933981431502167e-07
METOH,0.0,0.0,0.0,0.0,0.0,3.6732630289695454,-3.6732630289695454,0.0,0.0,0.0,0.0,0.0,0.0
PPI,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETOH,-0.02304602579621585,1.6676271974449549e-06,1.1670895815339067e-08,0.0,0.0,0.0,0.07219286394520359,0.0,0.0,0.0,-1.8443171435156093e-07,7.525075554761701e-07,-0.049149085522922124
PHOSPHO_ENOL_PYRUVATE,3.144762293485625e-07,1.9425443360793235,0.002867042298833886,0.36599320130863966,0.07592189886131721,0.001815444254976994,-2.5157832258530366,0.010893351915022574,0.10399179391093076,0.0,8.61456641650464e-08,0.011755756602098101,0.0
THR,6.957622335600839e-07,0.0012672094682794424,4.791668418657282e-09,0.030732393090399903,3.3768606984235438e-06,8.856429605847089e-05,-0.03216200438369301,6.996365427748505e-08,5.5474643143490515e-05,4.985251822771036e-07,8.349003052668447e-07,8.14466086152717e-08,1.2800635460868722e-05
GLY,7.20371299514483e-07,-2.4037362061585323,4.514737856313999e-09,0.0007158487236707865,-2.9817209518605498e-05,0.11520102335255698,2.342810326937159,-3.059052452159492e-07,-0.05497594044248069,6.151654595968799e-07,1.5900673040506634e-06,7.673946839727204e-08,1.2063844121293861e-05
GLYCERATE,2.059097145977533e-09,-2.871363807141993,1.4180865659871787e-11,2.2474431067821864e-06,9.993764954600905e-09,0.17267926645846204,2.698681425944213,-5.576221593291817e-07,1.641763146389852e-07,2.9507545265061207e-09,1.207599943982345e-06,2.410399289583925e-10,3.788327487869807e-08
ACETYL_COA,1.4818183483991103e-08,1.2612638275084569e-05,4.7691863105878067e-11,7.558406627365212e-06,9.107431598913648e-08,8.814875967546266e-07,0.0002833334842276508,6.963539065422384e-10,5.521436081030091e-07,4.961861436766565e-09,9.247632699840475e-06,8.10644679292841e-10,1.2740575939696312e-07
BUTYRIC_ACID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPD_10353,0.0,-1.6176233834286175e-06,0.0,0.0,0.0,12.31980664979573,-9.560625018098362,0.0,-2.7981887711961324,0.03900713949876321,-0.010107106281696993,0.0,0.0
BUTANEDIOL,0.0,0.0,0.0,0.0,0.0,-12.31980664979573,9.560625018098362,0.0,2.7981887711961324,-0.03900713949876321,0.0,0.0,0.0
ILE,1.0208198027998245e-06,0.0018592450942558668,7.0303183677954886e-09,-0.04384528969208138,4.95451765843728e-06,0.0001299412110584271,0.0417665502800088,1.0265041751009288e-07,8.13921933996986e-05,7.314343229854426e-07,1.224962672404686e-06,1.1949816609035049e-07,0.0
HYDROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADENOSYLCOBALAMIN,0.0,5.749188516528749e-09,0.0,3.4453302826970924e-09,0.0,4.0180636794416014e-10,1.291512194851066e-07,0.0,2.5168229034156435e-10,0.0,0.0,-3.587911744590501e-06,0.0
CARBON_DIOXIDE,-0.011531417267808845,-0.8899187681474731,-5.739127788500927e-09,-0.3052696224225721,-5.7725177180686125e-05,-0.11574268868194694,-2.2765541176025654,9.041508116592095e-08,0.06137460607499138,-0.009757091613167412,-0.010109767478518198,-1.052526732351328e-06,-0.049257914507248014
L_ASPARTATE,0.0,10.319557167747648,0.0,0.7523879200688196,0.0,-0.051742961212006666,-10.757423491518537,0.0,-0.3942340872575124,3.2305999238680333e-06,0.0,-2.415548535467399e-06,0.1314546371202029
GLT,1.424347252149334e-05,-1.4147208005370486,1.2292245123492377e-08,0.0,-0.0001257076866239928,0.003383517103491228,1.7787073152689514,1.2003968911581858e-06,-0.20392317600620272,1.125501981601721e-05,9.306362964622405e-06,2.028111069474568e-06,-0.1633591937980758
VAL,1.203003055758765e-06,0.00219106009078161,8.285002364000382e-09,0.0013130419467505996,5.838738498766744e-06,-0.0012850153929524352,0.08517247833932948,1.2097019043014202e-07,-0.005455145533010101,8.619716459505996e-07,1.4435788119034264e-06,1.4082471614478442e-07,-0.08194603682282045
G3P,-0.03456433988729241,0.0,0.0,0.40062291695606944,5.996258972760544e-08,2.10036563279631,-2.291998151978857,0.0,0.046507065386864145,8.852263579518365e-09,4.175056874616876e-06,1.446239573750355e-09,-0.22093736859106272
LEU,1.5005909821354488e-06,0.0027330645569059553,1.0334470702194859e-08,0.0016378502905936348,7.2830723881830065e-06,0.0001910117818906288,-0.004723586592025283,1.508946930747283e-07,0.00011964539784281812,1.0751983318563531e-06,4.210936315049969e-06,1.7566065031760265e-07,2.760787696092168e-05
LYS,1.0832608942030205e-06,0.0019729706436162563,1.039802456037443e-08,0.001182346949622672,-0.00011344055400831416,0.0,-0.0031625059465176172,-4.878630924673206e-07,8.637075805296853e-05,1.2120754984594352e-06,1.2998906920055391e-06,0.0,3.11403872172725e-05
CPD_2961,6.177291437932599e-10,1.1250858153676614e-06,4.254259697961536e-12,6.74232932034656e-07,0.00015719594332931156,7.863138315932682e-08,-0.00015913638950749949,0.0,4.9252894391695554e-08,4.4261317897591823e-10,7.412622097728178e-10,7.231197868751774e-11,1.1364982463609422e-08
2_KETO_3_DEOXY_6_P_GLUCONATE,1.23545828758652e-11,2.2501716307353228e-08,0.0,1.3484658640693124e-08,5.996258972760544e-11,1.5726276631865368e-09,-3.864129751730634e-08,1.2423378610919172e-12,9.850578878339112e-10,8.852263579518367e-12,1.482524419545636e-11,0.0,0.0
PUTRESCINE,0.0,0.0,-1.2176481233509777e-09,0.0,0.0,0.0,8.28677148103675e-06,-2.429609137819368e-06,0.0,0.0,0.0,-2.1428828295933065e-06,-3.713061865499193e-06
TRP,5.54629209939923e-07,0.0010223987329609147,3.819694632943117e-09,0.0006061852991361265,2.691875889354503e-06,7.059932715872723e-05,0.02269249550232308,5.5771762859101e-08,-0.024407331272335006,3.9740102961140196e-07,1.6799180217775943e-06,6.49254386192166e-08,1.0204069709364989e-05
FRUCTOSE_6P,0.0,0.5511501182849595,1.2791140825204354e-08,-0.012757602701758913,-0.0001355932942618009,-4.202413586024753,3.3746341836170934,0.0,0.28983190686551047,0.0,-1.907479868582626e-05,0.0,-0.00029036473924505063
CH4,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0
SER,1.0036388798620425e-06,3.448570692454556,3.1403314290801177e-09,0.000755546547359589,6.677326063257965e-05,-0.17258818006078872,-3.441194754623301,-1.1488890064045876e-07,0.16438070063915208,3.404619670180239e-07,-4.810671584705168e-06,6.306042029022607e-08,1.2737041280870791e-05
ACETONE,0.0,0.0,0.0,0.0,1.0213594304490127e-07,0.0,0.0,0.0,0.0,0.0,-1.205129069949769e-06,0.0,0.0
ACET,-4.8070679728441586e-08,1.5705945027017025,1.2152706435808873e-11,0.2875913578374012,1.1672181576895788e-06,-1.5728984865443292,-0.26578906804855434,2.0576612541380354e-07,9.023750023051954e-06,-0.019506747563270945,-1.5681430611575038e-06,-3.3891566720503843e-07,0.0
CYS,3.105948511551415e-07,0.00033140265257446247,6.539506199049874e-10,0.00010292390451819704,4.608624708814207e-07,1.2087347271556985e-05,0.0003881270817384043,4.3159203034509935e-07,-0.0008376658498984994,6.771243949699922e-08,1.1474456621679501e-07,-1.7825583730398816e-08,1.756529070891233e-06
FUM,-8.12500074557518e-07,0.0,2.919571530890572e-08,0.0,1.941708668601794e-05,0.05423141290743079,-0.1462654294597536,0.0,0.09201343050322897,2.4794688586190295e-06,-4.905182317662351e-07,0.0,0.0
FRUCTOSE_16_DIPHOSPHATE,0.034563281112680436,0.005984817676527129,-1.4678727491458563e-09,-0.39639635387400085,-1.9098394634955914e-06,5.242092210621788e-07,0.13460173958936175,4.141126203639723e-10,3.2835262927797033e-07,-2.3513004791890145e-06,9.340460725409063e-07,-2.5966497611376744e-06,0.22125158773097303
PHE,1.1349599331827941e-06,0.0020671314194331573,7.81639388566171e-09,0.0012387749083565935,5.508493286621336e-06,0.00014447022659246273,0.04643656107087694,1.080145994559388e-07,-0.04991722488919467,1.1521957999686144e-06,1.3619284706376961e-06,1.328595215623632e-07,2.088099593021422e-05
THIAMINE_PYROPHOSPHATE,-8.612281683172488e-07,2.4226847890916976e-06,9.160839216277175e-12,1.4518482469812929e-06,6.455972160672185e-09,1.6931957840308378e-07,5.4423801557324764e-05,1.3375837637756308e-10,1.0605789925678444e-07,9.530937120614774e-10,1.596184625044135e-09,1.5571179410712156e-10,2.4472595571638955e-08
GLN,-1.1185978883248538e-05,1.4188008477021052,2.4914538625357804e-09,-0.00968883323515872,0.00013612346245540043,-0.0015444376986161173,-1.843516244600326,5.997909167972129e-07,0.3952789735550707,-9.429165946189753e-06,1.0399241667123843e-06,-1.777779262241645e-06,0.04055432153202369
NITROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBON_MONOXIDE,-7.187986208946252e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.497707310316367e-11,0.0,0.0,0.0,0.0,0.0
PYRUVATE,0.034569566201909145,5.339758239515109,-0.002867080325519174,0.0,-0.0758617619000853,0.0,-5.375410893941167,-0.01089238887347674,0.0,0.029256290022226985,0.0,-0.011755111800539626,0.0732031411015425
RIBOSE_5P,0.0,0.4810257103776212,2.6146561929791097e-10,0.0,0.0,0.0,-0.48103609713470513,1.3140600066106479e-06,0.0,0.0,0.0,-1.9691945755176188e-07,9.269355069252157e-06
ARG,9.27411177256843e-07,0.0016891175866138284,8.21349153563574e-09,0.0010122416329653766,4.501161754257385e-06,0.00011805113026937108,0.037944763080517654,3.7376712476660883e-06,-0.04080108026184089,6.645054932373888e-07,1.1128742516501599e-06,3.3228879052730335e-06,2.2632106153789768e-05
PRO,7.078714835905773e-07,0.001289264353629984,4.875064021560079e-09,-0.03036041182943026,3.4356325726974954e-06,9.010569504941519e-05,0.028962359301887317,7.11813222419534e-08,0.0,5.072016608031106e-07,8.494311551166281e-07,8.286412928581969e-08,1.3023421475786093e-05
GAP,0.0,0.0,0.0,0.0,-2.0077699703104123e-05,0.0,2.0077767935055614e-05,0.0,0.0,0.0,0.0,-6.823195149286517e-11,0.0
GDP_MANNOSE,5.1455502173969455e-05,-1.4566632298201103,1.512625670386324e-10,0.037514003890165515,0.00013766201802159952,0.005556767939857368,1.8051512331245518,5.347453625589336e-07,-0.3926419938515469,3.144272241250786e-05,5.294590645506487e-05,6.0515037019880345e-06,0.0008031261676922295
CIT,4.118194291955066e-09,-15.45121131899348,2.8361731319743574e-11,0.06574786472238185,1.998752990920181e-08,5.242092210621788e-07,15.5739424110423,4.141126203639724e-10,-0.18847861712649547,0.0,4.9417480651521195e-09,-9.691104225985142e-07,7.576654975739613e-08
TYR,1.4513519033413567e-06,0.0014651345649189216,5.540077784722676e-09,0.0008780147789951406,3.930974990096346e-06,0.00010239712898385967,0.032913152043118184,8.089125810364956e-08,-0.035380603580320025,5.76389692722547e-07,9.65303153210079e-07,9.465005280382558e-08,1.4799963175866892e-05
L_ALPHA_ALANINE,5.198283942513271e-07,-7.272656812868623,7.177279287410082e-09,-0.337792836251808,5.0475153877546915e-06,0.00013243777713158156,7.610204075761225,-1.3645577837577098e-06,8.299235016355109e-05,9.19703416452713e-07,1.2482474921482239e-06,1.584193851758671e-07,2.3606898339093415e-05
FORMATE,5.5537571083846105e-06,0.0,5.6593523617410945e-09,0.0,1.0721161136821533e-07,-9.981996355876184e-06,2.2923021309996413e-07,-1.3771966242352172e-07,6.159019718243316e-07,3.1449135661485823e-06,8.746870543185613e-09,3.946651938094656e-08,4.14828805188805e-07
BUTANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUCROSE,-1.639054625807928e-05,0.0003900297493274558,1.4748100286266657e-09,0.00023373408310534737,1.0393515552784941e-06,2.7258879495233303e-05,-0.0006139797755096969,4.959510176082528e-06,1.7074336722454457e-05,-1.3900508673347273e-05,1.6745656911055123e-06,2.5068152611672814e-08,-3.1526188594473415e-05
SUC,-3.9947116088422224e-07,0.0,3.36559211660957e-11,0.2626741009820987,-2.0266814554204762e-06,-0.0012522595877346159,-0.3597012849432563,-1.5549661402746214e-06,4.378035060557959e-07,5.901509051627503e-09,-3.93354774987762e-06,6.856259615205965e-07,0.09828622885076839
HIS,3.755158992342059e-07,0.0006839366669331603,2.5861531256982897e-09,0.00040986440142938194,1.8225549197586037e-06,4.7799808138866354e-05,0.015364125620693609,3.776069364284068e-08,-0.016515637290344616,2.6906337119765006e-07,4.5061132062167004e-07,4.395825901219888e-08,6.908742533008265e-06
MAL,0.0,5.761476667410067,0.0,-0.8238442339982509,5.3300079757871496e-08,1.3978912561658101e-06,-4.957853601558135,1.104300320970593e-09,8.756070114079211e-07,0.0,0.020216282876009076,2.557367663051681e-06,0.0
