,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
ASN,5.481328215168169,4.0295440920677486,-10.081895037123225,-8.998255326788692,10.219131669990913,3.0164398954556013,-9.241885046786072,-4.798244323235395,6.4039252100184045,3.9003262013884,5.137225213594121,3.945411854673324,-8.691317694771927,5.221489714155902,4.370045472241379,-9.099701175034484,4.665639565655109
PROPIONATE,0.0,-4.720972856095448,11.33010831998261,5.761182045830316,-11.330695131905072,0.0,0.0,0.0,0.0,-2.9527287256803083,0.0,0.0,0.0,0.0,8.460329351093652,0.0,0.0
PROPANE_1_2_DIOL,2.3265427820017486,4.720972856095448,0.0,0.0,0.0,0.0,0.0,1.7758003802006606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.723194657326
RIBOFLAVIN,3.31823554494527,2.067264949213996,7.642803359949003,3.9002783999130157,3.7562794812897415,0.8819347641658233,4.557430389435518,2.3576952462639653,4.343307003049821,1.875532285278851,3.1715403377982625,1.5091942651619679,3.6314377717740767,2.59427156734513,2.405762090006517,3.293544539983486,2.7005221529805414
METOH,0.0,0.0,11.189011061783177,0.0,-11.603453021610125,0.0,0.0,0.0,0.0,0.0,11.392267208229846,0.0,0.0,0.0,0.0,0.0,0.0
PPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETOH,7.467065972789519,0.0,-11.513575745611583,3.0153929875413965,11.513625766151002,-7.89231613056574,0.0,-3.97537862805771,-2.9767923811455894,0.0,0.0,0.0,0.0,5.190532274651376,0.0,7.041392933353597,0.0
PHOSPHO_ENOL_PYRUVATE,6.1843303525527356,8.989367964639467,-10.423678043714316,9.174921877586637,10.189015932661322,3.298839234279856,0.0,9.135590811403407,6.281929873118082,8.892406526013142,4.438290457591128,0.0,8.868456513453223,9.254247316210064,0.0,9.275830478077856,9.307351714584483
THR,5.510853030059663,4.059066334531642,9.638302646868755,5.895723605936813,-9.639086808591355,2.816996424493622,6.552917775109032,4.349788052242121,6.338786797871488,3.8652676306089804,5.166749914607946,3.4911752910296174,5.626836610077878,4.588675269356051,4.399569163872681,5.288825091437288,5.079374237767847
GLY,5.485201645378859,4.033214440781652,11.013619981223767,8.99925318581799,-11.017832967578894,2.7846701484065495,6.642910297213408,4.657210925932506,6.245859163023269,4.048269525012706,5.372501624237195,3.8069810412594167,5.600578485928077,4.598869784987454,4.3737160065308505,5.452693785916199,4.719707733519429
GLYCERATE,2.9825200424789164,1.5428688590322412,-10.772380027471568,9.175060687199556,10.761260921356287,0.4681812470907545,4.024174718888666,4.276437453553773,3.810069842837226,3.7926104932801374,5.1661811277642595,3.720029212247634,3.098397955304873,2.0636472627219486,1.8765769399086079,2.7607928383716107,2.1693218624920334
ACETYL_COA,3.508943779319641,2.3620465410018685,7.636260188061517,-6.001021351003008,-7.603319747239961,0.8762559595196091,4.550887399905544,5.129428581883159,-6.455157946923106,3.9357020609494002,5.239052974432802,1.5028551577512896,3.624896140107211,4.660964551744745,2.3992448163555196,5.359268055494658,4.767453514148547
BUTYRIC_ACID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPD_10353,-5.893341245665332,0.0,-12.003682496596186,0.0,0.0,0.0,0.0,0.0,10.254857855416791,0.0,11.995869068224412,0.0,0.0,0.0,0.0,0.0,0.0
BUTANEDIOL,0.0,0.0,12.003682833317853,0.0,0.0,0.0,0.0,0.0,-10.254857855416791,0.0,-11.995869068224412,0.0,0.0,0.0,2.4905704073347366,0.0,0.0
ILE,5.6773408385822846,4.22554249880098,8.913720620169974,0.0,5.918191409624304,2.983273843093346,6.71940597144002,4.517785915123882,6.505274969529094,4.031737005845074,5.333237207664293,-8.404279393636063,5.7934195557554835,4.755159938888924,-8.761331646060256,5.45531261531749,4.861649303224359
HYDROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADENOSYLCOBALAMIN,3.710900823981886,0.0,4.295082801699852,0.0,0.0,0.0,1.2356798801365034,0.0,1.0373443418513641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBON_DIOXIDE,-9.16101457290037,-4.6702714534194785,-11.19763009073094,-9.299517081080236,-10.346211979270407,-7.892338460986417,-9.534185252712591,-4.948562426189104,-9.655078704976312,-4.63253833193935,-9.036307724303155,-8.228210774460353,-9.200084237163807,-5.461553835153454,-8.285043514413758,-8.79895670652608,-5.829379024102255
L_ASPARTATE,-9.136712322479877,4.449858349973957,8.761170950695554,9.475395168501068,-9.962961303345226,0.0,9.18752524481231,5.0165986573838115,6.769549470797959,4.852502911127256,9.40421901511221,8.228192270517914,9.169452310002796,-4.825404976829968,-4.912387707757333,9.09986021098562,5.158421594103205
GLT,9.848970142453107,4.520460055982015,11.649171108779559,9.396200055448315,-11.655231233048962,3.2506184800405675,9.656774556067933,4.869324285839928,-10.053123759097915,-4.653207406651062,-5.345243136845428,-4.29901922918101,8.953124193795887,0.0,8.68229828432796,9.321625361043257,5.532137854768079
VAL,5.7486583445204795,-3.047836959656583,9.876052060532244,6.198540129514525,9.894293484365694,3.054523129756906,-9.610598216594491,3.981646222771227,-10.05231466919631,4.034197675518179,5.33537495496409,3.7289220704665347,5.864642056908675,4.757299837859208,4.637367745744875,5.457773504485869,-5.8207313902959745
G3P,3.7602943535112567,0.0,10.020895314914844,-7.885707771572687,0.0,1.1015152755733624,9.776162337194844,0.0,-10.130548488825145,0.0,-9.57377887653564,-4.067230761429274,3.876260570404784,0.0,8.937821782219103,0.0,-5.8625172101757475
LEU,5.844653792603952,4.19656187157365,9.97210412777017,6.229524790748435,-9.972880854044426,3.1504427597194393,6.88671919085499,4.685094946278087,6.6725881720590605,4.199037344746113,5.500549808930457,3.8249015945057243,5.960637540999383,4.922470744755414,4.733361362413597,5.622625374546326,5.028960639685708
LYS,-7.617454645836905,4.251324988573768,9.83057486094408,-9.474745085088127,5.943975358467008,3.0090318049380977,-7.9845400534379385,4.543569134324512,0.0,4.057518657966504,-9.337160069272468,3.7300919087651794,-9.16913770708876,4.7809434780459705,4.59183518706101,5.481096506640362,5.068517131585469
CPD_2961,2.4692656815406426,5.347932843838711,8.376663961824162,2.8446817539906233,-8.849129787316924,8.670478959342617,3.5013918117662666,1.3208782001017596,3.2873479938934675,0.8830740057259536,2.1184034424165734,0.5803838979991731,2.5763263697778065,1.5494336273422995,1.3669580070975194,2.2396683404822024,1.653251292042615
2_KETO_3_DEOXY_6_P_GLUCONATE,0.0,0.08041756495166119,-8.369419979788908,1.1751227732066134,0.0,8.36941973430395,1.809078461697533,0.14572614194380762,1.5992222264608618,0.0,0.5571267442622361,0.0,0.9304263374658852,0.22755300289258606,0.1600400977127201,0.6486476668433259,0.2741764137598306
PUTRESCINE,0.0,3.8216970509609878,0.0,0.0,0.0,-3.0503353631672807,0.0,0.0,-4.097594288550167,0.0,0.0,3.845705224203104,0.0,0.0,0.0,0.0,0.0
TRP,5.412395257919121,3.9606178673639887,9.539844533908557,5.797265633454505,-9.540615575907099,2.7187067066638466,6.454459693061432,-4.489540744278275,6.2403287355409995,3.7668245883798663,5.068292554388216,3.3927528409801786,5.528378758051985,4.490220005639909,4.301115454801308,5.190367546761079,4.596707975072085
FRUCTOSE_6P,9.418200795007458,-5.0728935756711815,12.167240631104402,-5.9520640811742345,0.0,-1.7242902384459455,6.932852360394071,4.61644768230902,-6.381122163044454,-2.7668378828745652,-12.170418474633657,9.307325128425214,9.788106962166044,4.42191728795708,-4.257008768720949,5.3998788044709505,5.864758981649668
CH4,0.0,0.0,0.0,0.0,11.603453021610125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SER,5.508707420167362,4.071179217926383,-11.15927804552962,-9.174794695714692,11.163737036607733,2.8378880849907375,6.522556466885158,0.0,6.328463161638171,0.0,0.0,-3.3334094273700456,5.516367278766075,5.033135699261503,4.411682613935361,0.0,4.626483974962753
ACETONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACET,-9.117163642655015,0.0,10.227966286546547,-9.635770247634893,-8.601208046670266,-8.193354181544166,-9.763092358063286,0.0,-6.912089291231292,0.0,8.86020725490119,-8.5291747527137,-9.487004239460674,-5.61554429516409,-8.585623805065197,-9.265656637582381,0.0
CYS,4.643842911751735,3.194364313467399,8.773360845864033,5.377664301068582,-8.77343056588279,1.8842496444154708,-5.9214557626938955,-4.160749721394476,5.827747561699851,-2.08057153828992,-3.378669112102896,2.6271193836973747,4.759301369745623,-4.865975525356196,3.9765211324700775,-3.50070051253227,-2.8896516507243595
