,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
ASN,5.295873714646917,-9.971064728250825,2.460043178094457,-10.10211344176311,6.658833607241652,-8.151060297360115,9.749070570605792,3.6230240496310344,10.218291574488806,4.475749718618931,4.699691386551662,3.6890099834345866,5.885280190566055
PROPIONATE,-4.142256588964913,10.867527833957338,0.07929272289092815,0.0,-6.462654115914782,0.0,-10.867510246817321,-3.7654933507509405,0.0,0.0,-4.510069628057922,-4.4931462094547765,0.0
PROPANE_1_2_DIOL,0.0,0.0,0.0,0.0,6.4626541159147814,0.0,-6.4626541159147814,0.0,0.0,0.0,0.0,0.0,0.0
RIBOFLAVIN,2.655495660002286,5.914922645037045,0.6136905496332403,5.692547310236244,3.340785050720278,4.759339941326229,7.266414102101799,1.6664106839872055,4.556180292047976,2.5111015743917626,2.7345094064719966,4.72997648906581,3.9193575315155593
METOH,0.0,0.0,0.0,0.0,0.0,11.372625031969601,-11.372625031969601,0.0,0.0,0.0,0.0,0.0,0.0
PPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETOH,-9.17016904822844,5.029676029830584,2.8752563816938093,0.0,0.0,0.0,9.666067275302451,0.0,0.0,0.0,-4.073445281367432,4.684092857723242,-9.499088446081561
PHOSPHO_ENOL_PYRUVATE,4.305182336433932,11.09594394406823,8.265007106970314,10.371046022296532,9.687940065926606,8.066555926000111,-11.208246221378046,8.844734538839191,9.824572074399844,0.0,3.742884940401794,8.877823590452909,0.0
THR,4.650043577296693,7.910421418802544,2.4894691143696424,9.295169383989398,5.3360881529162825,6.754831755688329,-9.314916111269723,3.6525421590611566,6.551667643386252,4.505273673272682,4.729215725745276,3.7185290513462768,5.9148050625127295
GLY,4.6651387955940775,-11.18845980932236,2.4637011953676673,7.662394268680606,-6.2820402281362515,9.86902934134833,11.177310133966419,-4.293182039212047,-9.547745671715724,4.596575942382486,5.008992765667058,3.6926799256277585,5.889059281937203
GLYCERATE,2.1245224725668734,-11.265661226169755,0.28114503895706555,5.159264720485385,2.80797844238064,10.044813199409294,11.23872462423694,-4.553925158235769,4.0229247052303005,2.2797923934025572,4.8895016897261545,1.2168548584606196,3.386199034406718
ACETYL_COA,2.978824206915175,5.908379481097151,0.6087490452423072,5.686004151573371,3.7670431864218843,4.752796883528275,7.25987093042431,1.660009608094505,4.549637303661994,2.504578723624146,5.773604307692494,1.724668519286686,3.912815152975991
BUTYRIC_ACID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPD_10353,0.0,-5.016454601964372,0.0,0.0,0.0,11.89817689621846,-11.788059289119012,0.0,-11.254450013752509,9.398717107904432,-8.812199837500717,0.0,0.0
BUTANEDIOL,0.0,0.0,0.0,0.0,0.0,-11.89817689621846,11.788059289119012,0.0,11.254450013752509,-9.398717107904432,0.0,0.0,0.0
ILE,4.8165287166809545,8.076909652148691,2.655509068226303,-9.44949594828741,5.502575750128123,6.921319966414172,9.428401610498206,3.8189996140982387,6.718155839605637,4.671757587918158,4.895701381020627,3.8849908452824566,0.0
HYDROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADENOSYLCOBALAMIN,0.0,2.5683544976689685,0.0,2.3467627132763678,0.0,1.4281060228238882,3.9187238860210227,0.0,1.2345025033999928,0.0,0.0,-5.362416641246557,0.0
CARBON_DIOXIDE,-8.869455692351151,-10.756923370293467,-2.5675959000585458,-10.292256593811333,-6.568938396050364,-9.87106657105122,-11.164850982960825,3.7638886861810468,9.595561722051922,-8.796893387728872,-8.812314172003004,-4.82981256574507,-9.500049025036368
L_ASPARTATE,0.0,11.821234065536473,0.0,10.68401481841231,0.0,-9.521424283844523,-11.83928127026077,0.0,-10.403327176909,5.316858276527981,0.0,-5.190591572660157,9.926348914958087
GLT,5.961189361230142,-10.958243743246438,2.8977541434126213,0.0,-6.906934892293222,8.336941382423653,11.05767749545495,4.886903501130326,-10.117039590741436,5.858919869224147,5.776353717872617,5.114668074878282,-10.020716585746621
VAL,4.887845357420748,8.148227295792326,2.726681303963524,7.925851609802455,5.573893187570406,-7.91648133955742,9.737872288826438,3.890307280570646,-8.54437934674278,4.743073831657801,4.9670181889865255,3.9562999183196013,-9.721100958866595
G3P,-9.346201271565306,0.0,0.0,10.410308793030957,3.58556617663593,11.129867907803876,-11.167787267394987,0.0,9.475091940643045,2.7553907814942953,5.428237020414966,1.9724652803002556,-10.151842181463357
LEU,4.983839844090042,8.244222896894643,2.822515270160716,8.021847210495373,5.669888559540918,7.088633195680128,-8.481844886878344,3.9862917947362444,6.885469058944233,4.839067877176554,5.431953283913283,4.052285995535358,6.248606260054211
LYS,4.84231231380786,8.102693631004186,2.8251738761866276,7.880317945242494,-6.862341402695046,0.0,-8.307604357200294,-4.495884833198558,6.743939813880504,4.891108257097213,4.92148504179765,0.0,6.300897230008742
CPD_2961,1.6091853078892822,4.858764665624854,0.10487867263497108,4.636392997723109,7.0040143815400295,3.703254934063816,-7.009342547317136,0.0,3.5001420743221034,1.4686168486657714,1.6865754583925447,0.7514973513671315,2.8637365388141243
2_KETO_3_DEOXY_6_P_GLUCONATE,0.2536368630053296,3.1600891498791315,0.0,2.937914287684629,0.6857359089235118,2.0084789138085952,-3.39479971893622,0.03332927220948534,1.8078477605251493,0.19544714729531698,0.29044953357257697,0.0,0.0
PUTRESCINE,0.0,0.0,-1.8986146501821555,0.0,0.0,0.0,5.7259591832688095,-5.193112200597797,0.0,0.0,0.0,-5.138574585765534,-5.3773070112918955
TRP,4.551587938115748,7.817193313482759,2.39136890174969,7.5901784153180305,5.237630549639093,6.656373662137443,9.163455262602865,3.554108641581566,-9.195093300261615,4.406819012796069,5.032865119836353,3.620092066954922,5.816347083990825
FRUCTOSE_6P,0.0,10.548842909232908,2.9150107758235224,-8.913342077988165,-6.939811266269064,-11.431071796098857,11.335799705686703,0.0,10.269719198442298,0.0,-6.088033322010761,0.0,-7.270516903771909
CH4,0.0,0.0,0.0,0.0,0.0,0.0,11.603453021610125,0.0,0.0,0.0,0.0,0.0,0.0
SER,4.809157220865308,11.345212137311405,2.30669711716728,7.685834238528896,6.632175689528716,-10.044584053446076,-11.344282256505636,-3.8679099493291957,10.023423831513016,4.339661475239729,-5.489780119794048,3.607437116076695,5.912642091688528
ACETONE,0.0,0.0,0.0,0.0,3.816817829047652,0.0,0.0,0.0,0.0,0.0,-4.888612179571738,0.0,0.0
ACET,-3.4895939566222633,11.0036370772974,0.2504863564236324,10.266348835582363,4.8747308342921984,-11.004273698821185,-10.232110118655504,4.120979755744974,5.762960809785968,-9.097757868415535,-5.002962998395588,-4.337684607553145,0.0
CYS,4.299789033665063,7.327929004902019,1.633340179889199,6.820089323218024,4.471159025047016,5.889904563510077,7.396546968578953,4.442662092995503,-7.730643822753137,3.63834134811081,3.8673640781116196,-3.0589960604359074,5.052232196936302
FUM,-4.717404738758365,0.0,3.2731237445715804,0.0,6.095757422114675,9.54182392377826,-9.972714694968191,0.0,9.77142422698552,5.201934390362118,-4.498241947825137,0.0,0.0
FRUCTOSE_16_DIPHOSPHATE,9.346187968056094,8.584623929847838,-1.9788452470910443,-10.405702655393746,-5.088573409006343,4.527090563648893,9.936623677049974,1.4407258073583904,4.323934102189675,-5.178884013376448,4.777948544613701,-5.221988984679468,10.15245940023185
PHE,4.86255949417091,8.1229410956402,2.7014439556193555,7.900565409774082,5.548607056686796,6.967351405036491,9.474433054339304,3.8411180815378767,-9.505823437468866,4.8691051626448125,4.941732269560919,3.9310165972806725,6.127324536932183
THIAMINE_PYROPHOSPHATE,-4.7426990841511385,5.191872708833806,0.20089898640695125,4.969498887741929,2.618581122108033,4.036320129696341,6.543362002961045,0.9817297782131895,3.8331797977733535,1.7937482595068808,2.0148732664197,1.0412967888769877,3.1965293452564234
GLN,-5.856247604098144,10.95949444355106,2.2067323315478227,-8.793844485827952,6.941506041295391,-7.996343402542731,-11.073219973121105,4.585584166121866,10.404476717406034,-5.782047000684758,4.824581179509439,-5.05745464491974,9.415610144545134
NITROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBON_MONOXIDE,-3.6642743323911855,0.0,0.0,0.0,0.0,0.0,0.0,0.292613148618889,0.0,0.0,0.0,0.0,0.0
PYRUVATE,9.346266934269194,11.535094598818883,-8.26501286714692,0.0,-9.687595929388435,0.0,-11.537984671393561,-8.844696142749479,0.0,9.273792257077337,0.0,-8.877799768809771,9.672102721123398
RIBOSE_5P,0.0,10.489741293910077,1.2501163940618234,0.0,0.0,0.0,-10.489750671501518,4.926193349485633,0.0,0.0,0.0,-4.101895983349235,5.774623252430648
ARG,4.77485262350801,8.035232891967201,2.7229235760604897,7.812857206590765,5.460899127086679,6.879643211109244,9.386724849966598,5.38017591369343,-9.418244666185968,4.6300817587802765,4.854025176629581,5.329090730855113,6.1622982746092285
PRO,4.657536976982887,7.91791498470179,2.496938609585852,-9.28988066281911,5.343581684641188,6.762325320372369,9.269406941514507,3.6600340715455886,0.0,4.512767007164072,4.736709153145965,3.7260211969102253,5.922298619463836
GAP,0.0,0.0,0.0,0.0,-6.1102872954778915,0.0,6.110288771378374,0.0,0.0,0.0,0.0,-0.7308528506751522,0.0
GDP_MANNOSE,6.519004956724464,-10.970932161848571,1.0298667533311523,9.38176642355752,6.9463871850953645,8.55239526576523,11.064086596637882,4.535732680269469,-10.401569750699231,6.3050933610049835,6.531405520019918,5.589437425324628,7.7123567891344535
CIT,2.423919235015145,-11.99653553647501,0.45040037303000346,9.625454657281047,3.1086704161176186,4.527090563648893,11.999971568704588,1.4407258073583904,-10.082835090987366,0.0,2.502820223420038,-4.793953248279606,3.687139781780526
TYR,4.969350391612093,7.973450523072108,2.5523080968209673,7.7510748381050405,5.402075005717209,6.817860850361443,9.324942480486564,3.715558206191065,-9.356338242000076,4.568300945379644,4.792243736294597,3.783765323486235,5.977834096119089
L_ALPHA_ALANINE,4.523446014287853,-11.669266098534163,2.6644742644380965,-10.336223439308913,5.510651995951128,6.929584938174081,11.688969307263584,-4.942569892333021,6.726611148808204,4.771228158653973,4.903879125312293,4.007424023183248,6.18061222058139
FORMATE,5.552161104312167,0.0,2.561533308350338,0.0,3.8378779144007744,-5.806791088878832,4.167874369378015,-3.946618066122146,4.597095581084446,5.305183868999722,2.7501983343129197,3.4039731861921636,4.425458215394682
BUTANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUCROSE,-6.022166844766988,7.398670755495605,1.9808714724810947,7.176295079038188,4.8243419825004175,6.243081252145042,-7.595727081000833,5.5030131538294365,6.039917242299756,-5.950604183933053,5.0314792326104225,3.2069650796606943,-6.3062446880637255
SUC,-4.40907536827937,0.0,0.49981063103349044,10.226990258823855,-5.114361835411188,-7.90526737515027,-10.363514993513931,-4.999298290863499,4.448867689318165,2.579680739909362,-5.402359150357012,4.643670123738411,9.800065676254535
HIS,4.382219346395834,7.642588901730456,2.222834909794571,7.420213220289563,5.0682573395408905,6.4869992991981595,8.994080854106393,3.384792062023376,-9.025468341184556,4.2374527223765766,4.461390113212903,3.4507673366404017,5.646972991533784
MAL,0.0,11.56810681170273,0.0,-10.723418110739917,3.53442775100676,4.953051231414657,-11.50286670278241,1.856742663601585,4.749889959775424,0.0,9.113274310412399,5.215368818596793,0.0
