,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
ASN,-6.895741013525871,-6.895741013525871,16.318680208084718,13.823507564892036,-6.895741013525871,-6.895741013525871,14.384485726368316,4.152624837699253,-6.895741013525871,-6.895741013525871,-6.895741013525871,-6.895741013525871,13.11675754893134,-6.895741013525871,-6.895741013525871,14.057095262808932,-6.895741013525871
PROPIONATE,-2.5740729749568523,8.296368747918049,-2.5740729749568523,-2.5740729749568523,23.515816729027968,-2.5740729749568523,-2.5740729749568523,-2.5740729749568523,-2.5740729749568523,4.22483617244993,-2.5740729749568523,-2.5740729749568523,-2.5740729749568523,-2.5740729749568523,-2.5740729749568523,-2.5740729749568523,-2.5740729749568523
PROPANE_1_2_DIOL,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,-0.6397386828981162,10.235818926369852
RIBOFLAVIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,25.146294545709356,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372,-1.5716434091068372
PPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETOH,-3.5700989811810047,-3.5700989811810047,22.94088889772203,-3.5700989811810047,-3.5700989811810047,14.602630490256118,-3.5700989811810047,5.5835485867917996,3.284218780583082,-3.5700989811810047,-3.5700989811810047,-3.5700989811810047,-3.5700989811810047,-3.5700989811810047,-3.5700989811810047,-3.5700989811810047,-3.5700989811810047
PHOSPHO_ENOL_PYRUVATE,-1.4118473928015227,-1.4118473928015227,22.5895582848244,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227,-1.4118473928015227
THR,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868,20.88924008991812,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868,-1.3055775056198868
GLY,-1.492323408720324,-1.492323408720324,-1.492323408720324,-1.492323408720324,23.87717453952519,-1.492323408720324,-1.492323408720324,-1.492323408720324,-1.492323408720324,-1.492323408720324,-1.492323408720324,-1.492323408720324,-1.492323408720324,-1.492323408720324,-1.492323408720324,-1.492323408720324,-1.492323408720324
GLYCERATE,-1.4590777451366357,-1.4590777451366357,23.34524392218619,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357,-1.4590777451366357
ACETYL_COA,-2.716982557313395,-2.716982557313395,-2.716982557313395,11.10087974824512,14.790308149948599,-2.716982557313395,-2.716982557313395,-2.716982557313395,12.1465679041938,-2.716982557313395,-2.716982557313395,-2.716982557313395,-2.716982557313395,-2.716982557313395,-2.716982557313395,-2.716982557313395,-2.716982557313395
BUTYRIC_ACID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPD_10353,11.145836166202312,-2.4240835339936417,25.215416843702286,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417,-2.4240835339936417
