,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
ASN,-4.999131596621893,17.960093407927182,-4.999131596621893,18.26184422211662,-4.999131596621893,13.76937833617512,-4.999131596621893,-4.999131596621893,-4.999131596621893,-4.999131596621893,-4.999131596621893,-4.999131596621893,-4.999131596621893
PROPIONATE,3.4730432094498536,-6.06485506365712,-6.06485506365712,-6.06485506365712,8.815955964824873,-6.06485506365712,18.95851202862449,2.605513793550198,-6.06485506365712,-6.06485506365712,4.319964030274253,4.280996418876153,-6.06485506365712
PROPANE_1_2_DIOL,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,13.736133257060297,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942
RIBOFLAVIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METOH,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013,24.172095569376122,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013
PPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETOH,17.086863136403952,-4.028231414282249,-4.028231414282249,-4.028231414282249,-4.028231414282249,-4.028231414282249,-4.028231414282249,-4.028231414282249,-4.028231414282249,-4.028231414282249,5.351222967721339,-4.028231414282249,17.844228038697132
PHOSPHO_ENOL_PYRUVATE,-1.9852262052270753,-1.9852262052270753,-1.9852262052270753,-1.9852262052270753,-1.9852262052270753,-1.9852262052270753,23.822714462724857,-1.9852262052270753,-1.9852262052270753,-1.9852262052270753,-1.9852262052270753,-1.9852262052270753,-1.9852262052270753
THR,-1.649875921561513,-1.649875921561513,-1.649875921561513,-1.649875921561513,-1.649875921561513,-1.649875921561513,19.798511058738217,-1.649875921561513,-1.649875921561513,-1.649875921561513,-1.649875921561513,-1.649875921561513,-1.649875921561513
GLY,-5.545940521061123,20.216440249447547,-5.545940521061123,-5.545940521061123,8.918991661834326,-5.545940521061123,-5.545940521061123,4.339476443938317,16.438556334329924,-5.545940521061123,-5.545940521061123,-5.545940521061123,-5.545940521061123
GLYCERATE,-2.8019956758510567,23.138147926248443,-2.8019956758510567,-2.8019956758510567,-2.8019956758510567,-2.8019956758510567,-2.8019956758510567,7.683804508113177,-2.8019956758510567,-2.8019956758510567,-2.8019956758510567,-2.8019956758510567,-2.8019956758510567
ACETYL_COA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUTYRIC_ACID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPD_10353,-6.530691691880524,5.020121894284021,-6.530691691880524,-6.530691691880524,-6.530691691880524,-6.530691691880524,20.6123179025749,-6.530691691880524,19.383637139632636,-6.530691691880524,13.760148290433179,-6.530691691880524,-6.530691691880524
BUTANEDIOL,-3.7721469739205915,-3.7721469739205915,-3.7721469739205915,-3.7721469739205915,-3.7721469739205915,23.6244177811182,-3.7721469739205915,-3.7721469739205915,-3.7721469739205915,17.869198932008267,-3.7721469739205915,-3.7721469739205915,-3.7721469739205915
ILE,-1.6737129620641724,-1.6737129620641724,-1.6737129620641724,20.084555544770055,-1.6737129620641724,-1.6737129620641724,-1.6737129620641724,-1.6737129620641724,-1.6737129620641724,-1.6737129620641724,-1.6737129620641724,-1.6737129620641724,-1.6737129620641724
HYDROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADENOSYLCOBALAMIN,-0.9498015861967328,-0.9498015861967328,-0.9498015861967328,-0.9498015861967328,-0.9498015861967328,-0.9498015861967328,-0.9498015861967328,-0.9498015861967328,-0.9498015861967328,-0.9498015861967328,-0.9498015861967328,11.39761903436079,-0.9498015861967328
CARBON_DIOXIDE,4.122117473677199,8.468172412415266,-10.388450942194305,7.398237619677904,-1.1750193589599576,6.428411751952644,9.407460452363772,-16.30055898650174,-16.30055898650174,3.9550365927406457,3.990544260732543,-5.1795045706618215,5.574112281259615
L_ASPARTATE,-6.545474387602791,-6.545474387602791,-6.545474387602791,-6.545474387602791,-6.545474387602791,15.378415232449115,20.715478177063268,-6.545474387602791,17.409071687487707,-6.545474387602791,-6.545474387602791,5.406304391425008,-6.545474387602791
GLT,-6.731153168323036,18.501135520271482,-6.731153168323036,-6.731153168323036,9.172652152951771,-6.731153168323036,-6.731153168323036,-6.731153168323036,16.564191378548777,-6.731153168323036,-6.731153168323036,-6.731153168323036,16.342399463135322
VAL,-4.637399583807916,-4.637399583807916,-4.637399583807916,-4.637399583807916,-4.637399583807916,13.590972337622535,-4.637399583807916,-4.637399583807916,15.036760928888212,-4.637399583807916,-4.637399583807916,-4.637399583807916,17.746262571568433
G3P,16.08883259471086,-5.431591129317411,-5.431591129317411,-5.431591129317411,-5.431591129317411,-5.431591129317411,20.283189354314995,-5.431591129317411,-5.431591129317411,-5.431591129317411,-5.431591129317411,-5.431591129317411,17.943889344148268
LEU,-1.5023207382779908,-1.5023207382779908,-1.5023207382779908,-1.5023207382779908,-1.5023207382779908,-1.5023207382779908,18.027848859335855,-1.5023207382779908,-1.5023207382779908,-1.5023207382779908,-1.5023207382779908,-1.5023207382779908,-1.5023207382779908
