,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
ASN,4.983345753054639,1.6404892729581775,-7.637878884999246,-7.637878884999246,15.89254136166518,-0.6922693478106616,-7.637878884999246,-7.637878884999246,7.107703840237894,1.342954084131776,4.191019311175728,1.44676763729354,-7.637878884999246,4.385045494037874,2.424522675089877,-7.637878884999246,3.105153228161422
PROPIONATE,-3.460869333058927,-3.460869333058927,22.627669186540842,9.804742563694898,-3.460869333058927,-3.460869333058927,-3.460869333058927,-3.460869333058927,-3.460869333058927,-3.460869333058927,-3.460869333058927,-3.460869333058927,-3.460869333058927,-3.460869333058927,16.019758912589303,-3.460869333058927,-3.460869333058927
PROPANE_1_2_DIOL,4.1619782613143474,9.675357256139126,-1.1950844667357767,-1.1950844667357767,-1.1950844667357767,-1.1950844667357767,-1.1950844667357767,2.893847016847422,-1.1950844667357767,-1.1950844667357767,-1.1950844667357767,-1.1950844667357767,-1.1950844667357767,-1.1950844667357767,-1.1950844667357767,-1.1950844667357767,-1.1950844667357767
RIBOFLAVIN,0.32547312746435964,-2.5549931180403522,10.283158511933786,1.6656763287967866,1.3341065653675717,-5.284316732408149,3.1788247037026798,-1.88625264549926,2.6857873861495696,-2.9964738918574536,-0.012305069726012974,-3.839998355975542,1.0466479060529092,-1.3415155352223973,-1.7755746476303855,0.2686199875083144,-1.0968645206164123
METOH,-3.0585479250166117,-3.0585479250166117,22.70510215119081,-3.0585479250166117,-3.0585479250166117,-3.0585479250166117,-3.0585479250166117,-3.0585479250166117,-3.0585479250166117,-3.0585479250166117,23.17311672405833,-3.0585479250166117,-3.0585479250166117,-3.0585479250166117,-3.0585479250166117,-3.0585479250166117,-3.0585479250166117
PPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETOH,12.557501536289308,-4.6360532610589225,-4.6360532610589225,2.3071456815726776,21.875049794392524,-4.6360532610589225,-4.6360532610589225,-4.6360532610589225,-4.6360532610589225,-4.6360532610589225,-4.6360532610589225,-4.6360532610589225,-4.6360532610589225,7.315588979257813,-4.6360532610589225,11.577353141194688,-4.6360532610589225
PHOSPHO_ENOL_PYRUVATE,0.24963231686484022,6.708470107743362,-13.990314563073701,7.135723781642234,9.470761635751083,-6.394456518037012,-13.990314563073701,7.045160654957163,0.4743635180019723,6.48520814456713,-3.7707731170466463,-13.990314563073701,6.430061202669641,7.318377354111748,-13.990314563073701,7.368074420888204,7.440654750181103
THR,1.492020099691766,-1.8508423036381405,10.995824059440366,2.378217350438524,-11.197187937004685,-4.7108139629481425,3.891462847577084,-1.1814308102283686,3.3984080514416677,-2.297080310332028,0.6996933955998337,-3.1584597548507354,1.7590821620737902,-0.6313726651950038,-1.0668055646751693,0.9807818779916868,0.49850346461755457
GLY,0.733193235280817,-2.610130857242808,13.462846883232253,8.824595928308725,-11.896950305434956,-5.485010332808518,3.398915919025285,-1.17332585245377,2.4846718962826913,-2.5754652447186146,0.47369184661990893,-3.131052510520071,0.9988582284061973,-1.3076612939021093,-1.8260970278075703,0.6583411226769513,-1.0294216349444039
GLYCERATE,-1.4879156885662148,-4.802835042681767,-8.355421877934138,12.770936087727268,16.42329710140022,-7.2773947175636025,0.9105828413824106,1.4914392537401984,0.41758814544902734,0.37738650742550206,3.540149774563014,0.21026193168964724,-1.2210969338859066,-3.60369845359261,-4.034443790244193,-1.9984614434549464,-3.360373695453898
