,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
ASN,2.141668104224914,-10.052531765500081,-4.388073015498087,-10.052531765500081,5.279999235262316,-10.052531765500081,12.395532800923771,-1.7102105972607387,13.475954089784501,0.25326281656416505,0.7689075628462945,-1.5582723697373897,3.498826669390475
PROPIONATE,-1.9389219869138152,23.084485601254222,-1.7563437452022548,-1.9389219869138152,-1.9389219869138152,-1.9389219869138152,-1.9389219869138152,-1.9389219869138152,-1.9389219869138152,-1.9389219869138152,-1.9389219869138152,-1.9389219869138152,-1.9389219869138152
PROPANE_1_2_DIOL,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,13.736133257060297,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942,-1.1446777714216942
RIBOFLAVIN,-2.8054852031937916,4.699622784249773,-7.506915213128616,4.187584653287889,-1.2275480677395691,2.0387952769634934,7.8115468665958785,-5.082937524670486,1.5710028970374914,-3.137964872237088,-2.6235493284310234,1.9711834295098098,0.10466430175622943
METOH,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013,24.172095569376122,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013,-2.014341297448013
PPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETOH,-3.941864948944925,7.639392099932454,2.678657534079239,-3.941864948944925,-3.941864948944925,-3.941864948944925,18.315077467044073,-3.941864948944925,-3.941864948944925,-3.941864948944925,-3.941864948944925,6.843657439448496,-3.941864948944925
PHOSPHO_ENOL_PYRUVATE,-4.802540725773579,10.83376572204144,4.315292761732064,9.164626573427565,7.59171698135473,3.858342030743012,-14.715589396267625,5.650164504353059,7.906323807291043,-14.715589396267625,-6.097278327706547,5.726354861340118,-14.715589396267625
THR,-0.8957924287413856,6.611504986638091,-5.8706989793808315,9.80000500883118,0.683883584209708,3.9506614547332886,-11.602913451597459,-3.19262432461095,3.4828587983151555,-1.229137451661252,-0.7134918199433677,-3.0406838901022297,2.0164285133100694
GLY,0.9957657988394484,-9.746113248643674,-4.073231602598472,7.897201571063304,-9.746113248643674,12.978166595065838,15.990594445598685,-9.746113248643674,-9.746113248643674,0.8378939951012985,1.7875188244963134,-1.243403498694832,3.8139468657031497
GLYCERATE,-3.51284667295819,-8.404740448021524,-7.757380072349758,3.474905588178217,-1.9391311451472255,14.724296686848142,17.47337933601156,-8.404740448021524,0.8583860084792327,-3.155324467851578,2.8537532549111155,-5.602828590592722,-0.6077290294857818
ACETYL_COA,-2.1896285595228484,4.555921743910651,-7.646928296066246,4.043883625099559,-0.3746872872957212,1.895094481025219,7.667845808440287,-5.226311395190246,1.42730226092619,-3.281619139768532,4.2455904387234025,-5.077428750149904,-0.03903493013180981
BUTYRIC_ACID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPD_10353,-3.7721469739205915,-3.7721469739205915,-3.7721469739205915,-3.7721469739205915,-3.7721469739205915,23.6244177811182,-3.7721469739205915,-3.7721469739205915,-3.7721469739205915,17.869198932008267,-3.7721469739205915,-3.7721469739205915,-3.7721469739205915
BUTANEDIOL,-4.081333725074511,-4.081333725074511,-4.081333725074511,-4.081333725074511,-4.081333725074511,-4.081333725074511,23.061675869380913,-4.081333725074511,21.83299510643865,-4.081333725074511,-4.081333725074511,-4.081333725074511,-4.081333725074511
ILE,0.21680136685608353,7.724105906346074,-4.759130261342827,-10.873665856151225,1.7964830391643218,5.063262322356097,10.836031142942996,-2.080094274578606,4.595459632535613,-0.11654647612905222,0.3991031635372355,-1.928143849385501,-10.873665856151225
HYDROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADENOSYLCOBALAMIN,-2.0362733480549897,3.87758143180179,-2.0362733480549897,3.367347492329438,-2.0362733480549897,1.252062291314311,6.986921855456716,-2.0362733480549897,0.8062737135376654,-2.0362733480549897,-2.0362733480549897,-2.0362733480549897,-2.0362733480549897
CARBON_DIOXIDE,-2.366251643122343,-2.366251643122343,-2.366251643122343,-2.366251643122343,-2.366251643122343,-2.366251643122343,-2.366251643122343,6.300422337367081,19.72834573697869,-2.366251643122343,-2.366251643122343,-2.366251643122343,-2.366251643122343
L_ASPARTATE,-6.686079403295139,20.533317936802543,-6.686079403295139,17.914773850908535,-6.686079403295139,-6.686079403295139,-6.686079403295139,-6.686079403295139,-6.686079403295139,5.556439205800205,-6.686079403295139,-6.686079403295139,16.170183636144973
GLT,4.889460475224931,-8.83668528445829,-2.1643597906746592,-8.83668528445829,-8.83668528445829,10.359831663875585,16.624558079712013,2.4158258681448075,-8.83668528445829,4.653976267463856,4.463860678175932,2.9402731803689957,-8.83668528445829
VAL,1.23718240371913,8.744489252480559,-3.7390817292860596,8.232450312875958,2.8168659105026475,-10.017497453138038,12.404782116593527,-1.059733901729862,-10.017497453138038,0.9038336466073673,1.4194845854526204,-0.9077802378017612,-10.017497453138038
G3P,-7.927433460884135,-7.927433460884135,-7.927433460884135,16.04318837941378,0.32863776738141226,17.700034470617897,-7.927433460884135,-7.927433460884135,13.889771996388564,-1.5829117220421551,4.57154418356178,-3.3856643100164447,-7.927433460884135
LEU,-0.6172173701798247,6.890092044658468,-5.593851115231198,6.378053104111192,0.9624681750850757,4.229248425024482,-12.092932701051325,-2.914156638167169,3.7614457123454055,-0.950567143078251,0.4146019563274548,-2.7621993751830747,2.2950149253387755
LYS,2.9122621517123815,10.419567570164931,-1.7323707452595691,9.907528631085732,-8.237573997683105,-8.237573997683105,-8.237573997683105,-8.237573997683105,7.290921285807183,3.0246189633290275,3.094564094953343,-8.237573997683105,6.2707780366225
CPD_2961,-1.9957479576278683,5.486685029995225,-5.459541991256476,4.974655342380447,10.42630504661122,2.82602554729323,-5.701034059438761,-5.701034059438761,2.358340904256572,-2.319418796381063,-1.817550550734488,-3.970647460756295,0.8929630050970054
2_KETO_3_DEOXY_6_P_GLUCONATE,-1.4303746481745092,5.261979061079559,-2.014395107964356,4.7504025353524915,-0.4354298263463532,2.6102984985641906,-2.014395107964356,-1.9376516226144513,2.1483281958235243,-1.5643614201339444,-1.3456103416930647,-2.014395107964356,-2.014395107964356
PUTRESCINE,-1.0141929429605447,-1.0141929429605447,-1.0141929429605447,-1.0141929429605447,-1.0141929429605447,-1.0141929429605447,12.170315315526578,-1.0141929429605447,-1.0141929429605447,-1.0141929429605447,-1.0141929429605447,-1.0141929429605447,-1.0141929429605447
TRP,-1.1809386435534819,6.338395613367825,-6.155026794291928,5.815674492966159,0.3987328468988771,3.665509588525553,9.438278308676887,-3.477719602323276,-11.661357179310308,-1.514281412923344,-0.0727569793254279,-3.325787150673902,1.7312769119663542
FRUCTOSE_6P,-6.211554964962492,18.078053466173145,0.5005053933657599,-6.211554964962492,-6.211554964962492,-6.211554964962492,19.890088454518,-6.211554964962492,17.435347370605502,-6.211554964962492,-6.211554964962492,-6.211554964962492,-6.211554964962492
CH4,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,24.662711958291872,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321,-2.055225996524321
SER,1.0373682440722973,16.087190861671523,-4.7247590865151174,7.661161862303041,5.235023394269492,-10.036125482556837,-10.036125482556837,-10.036125482556837,13.043660812646296,-0.04368566102928639,-10.036125482556837,-1.7296945551652065,3.5782360579743013
ACETONE,-0.6760421412183888,-0.6760421412183888,-0.6760421412183888,-0.6760421412183888,8.112505694620632,-0.6760421412183888,-0.6760421412183888,-0.6760421412183888,-0.6760421412183888,-0.6760421412183888,-0.6760421412183888,-0.6760421412183888,-0.6760421412183888
ACET,-6.42583195377847,18.910978749123096,-5.849065803479018,17.213309834510262,4.798650597621176,-6.42583195377847,-6.42583195377847,3.063074600330154,6.843875698343595,-6.42583195377847,-6.42583195377847,-6.42583195377847,-6.42583195377847
CYS,0.1873772231592188,7.159927180428853,-5.952348158776148,5.9905830997524445,0.5819712107018216,3.848753538318676,7.317925880702966,0.5163545997639432,-9.713252908777232,-1.335662357393419,-0.8083180333367537,-9.713252908777232,1.919941634232858
FUM,-6.0016107679745225,-6.0016107679745225,1.5350351738008499,-6.0016107679745225,8.03438940269454,15.969250758891254,-6.0016107679745225,-6.0016107679745225,16.4979249944032,5.97628581400636,-6.0016107679745225,-6.0016107679745225,-6.0016107679745225
FRUCTOSE_16_DIPHOSPHATE,12.117061728383213,10.363495726644535,-9.40333136318306,-9.40333136318306,-9.40333136318306,1.020679883308894,13.476590190283892,-6.085937596067819,0.5528948436074774,-9.40333136318306,1.5983017307370453,-9.40333136318306,13.973570309018067
PHE,-1.0760023879825003,6.431303685032744,-6.05215481128911,5.91926474571309,0.5036805025514806,3.7704600898310394,9.543228922434622,-3.427958158078102,-12.272459393057105,-1.0609304293308117,-0.8937003355984992,-3.220959175846451,1.8362267456195829
THIAMINE_PYROPHOSPHATE,-6.451115649628649,5.503613054454689,-5.98852863833039,4.991578408936407,-0.4216097930670717,2.8428549115619397,8.615532156453114,-4.190599296966608,2.375107011490205,-2.320857646704088,-1.8116985020984266,-4.053441186177928,0.9091651700768084
GLN,-8.738839141120952,16.496329391350795,-3.657650170270937,-8.738839141120952,7.244569192493927,-8.738839141120952,-8.738839141120952,1.8198586024607906,15.218353848781808,-8.738839141120952,2.3701695627571127,-8.738839141120952,12.941404419152189
NITROGEN_MOLECULE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBON_MONOXIDE,-0.051828205694146146,-0.051828205694146146,-0.051828205694146146,-0.051828205694146146,-0.051828205694146146,-0.051828205694146146,-0.051828205694146146,0.6219384683297606,-0.051828205694146146,-0.051828205694146146,-0.051828205694146146,-0.051828205694146146,-0.051828205694146146
PYRUVATE,14.4662943689342,19.506256320459286,-7.054280549057204,-7.054280549057204,-7.054280549057204,-7.054280549057204,-7.054280549057204,-7.054280549057204,-7.054280549057204,14.29941525761268,-7.054280549057204,-7.054280549057204,15.216558994508677
RIBOSE_5P,-3.9747355458947133,20.178786386826705,-1.096236172420486,-3.9747355458947133,-3.9747355458947133,-3.9747355458947133,-3.9747355458947133,7.368243825837313,-3.9747355458947133,-3.9747355458947133,-3.9747355458947133,-3.9747355458947133,9.32182587280889
ARG,-1.6571034038846317,5.850199599761426,-6.3818446404187625,5.338160661569311,-0.07742295164370105,3.1893560270001453,8.962124835552174,-0.26329501946157485,-12.651607876017687,-1.9904506389065677,-1.4748018632926225,-0.3809229999379582,1.5376082696804518
PRO,0.2732010366630693,7.780498834762243,-4.701760556052614,-10.451174176606278,1.8528773536445318,5.119655300059324,10.892424067820558,-2.0236342836151042,-10.451174176606278,-0.0601441377549321,0.4555017092760707,-1.8716933124209625,3.1854223408303675
GAP,-1.0822661414511359,-1.0822661414511359,-1.0822661414511359,-1.0822661414511359,-1.0822661414511359,-1.0822661414511359,12.98719369741361,-1.0822661414511359,-1.0822661414511359,-1.0822661414511359,-1.0822661414511359,-1.0822661414511359,-1.0822661414511359
GDP_MANNOSE,1.8738670367678871,-13.13669659774016,-10.765340763749672,8.46561891509545,2.8579509848252993,6.555921250603707,12.339304267273453,-2.692786142345751,-13.13669659774016,1.3813173852456426,1.9024203889567293,-0.2665413039646509,4.621661176772256
CIT,-1.462184498723186,-7.043464795890589,-6.006379611072745,15.119963611254864,0.1145133632934403,3.380546450601365,20.587490854560972,-3.726071028775344,-7.043464795890589,-7.043464795890589,-1.280508258999582,-7.043464795890589,1.4464883014225727
TYR,-0.5361851726155944,6.381011007945689,-6.10163072973776,5.868972070696179,0.46020007319444645,3.720167453944245,9.49293624238956,-3.423148368478481,-11.978537306205723,-1.4596356490639497,-0.9439883170196968,-3.2660956769585248,1.7859343719096277
L_ALPHA_ALANINE,0.15904079029390417,-10.256578571168639,-4.121399849207204,-10.256578571168639,2.4321665673863144,5.699380408107066,16.658267908201427,-10.256578571168639,5.232015986444685,0.7295802622214307,1.0350204006201285,-1.0291437540806676,3.9748069935188965
FORMATE,6.301420589748841,-6.482902802941714,-0.5847543919265039,-6.482902802941714,2.354137671488589,-6.482902802941714,3.1139825894600626,-6.482902802941714,4.102300953132133,5.732734489409525,-0.1503371155757307,1.355035112535809,3.707091313494116
BUTANOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUCROSE,-8.396400497354598,8.63966849222058,-3.835275373682462,8.127629574565264,2.7120574350562068,5.97882532818518,-8.396400497354598,4.274755557203215,5.511022907682529,-8.396400497354598,3.1890085793632847,-1.012090511175419,-8.396400497354598
SUC,-5.703164107941152,-5.703164107941152,-4.552307599603488,17.845351208221977,-5.703164107941152,-5.703164107941152,-5.703164107941152,-5.703164107941152,4.540732314185723,0.23677030845799862,-5.703164107941152,4.98928149576073,16.862321028565155
HIS,-1.1388439910314148,6.368434344733711,-6.111010404792831,5.856395415603517,0.44081686521194285,3.7075909523239305,9.480359567575965,-3.4355051873729696,-11.229276932272574,-1.472181461461231,-0.9565465635575237,-3.283591503533618,1.7733588985731101
MAL,-7.260380518921352,19.37616977986823,-7.260380518921352,-7.260380518921352,0.8779401328112861,4.14444141136984,-7.260380518921352,-2.9850725401862803,3.676645295819629,-7.260380518921352,13.723709056599832,4.748449977245592,-7.260380518921352
