,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
Acer,0.0,-2.6666935576815535e-05,-0.9941263266393348,-0.20312619743270688,0.42558064099943954,-0.022323746298839372,-0.3897715557302227,-2.8312736684770114e-05,0.013634955840739232,-5.238821360671819e-06,0.5607844031598213,-0.10348875497353863,-0.32160723372015987,-7.376576279018975e-05,-0.04202978146697542,-0.09625358911071828,-9.84401009593866e-05
Phum,0.0024189780823964755,0.0,0.9960373178389668,-0.002903918515468081,-0.4064984428014668,-0.0009580096384284326,0.0004566772456786738,-0.0019725124719296118,-0.022421904823336468,-0.0011274700413790224,0.0006039629473800841,-0.00024453796187851387,-0.002301786101360139,-0.0025912649573428493,0.00048306388557815507,-0.0023149953089153536,-0.002927499064331395
Meus,-0.0019584896162792424,0.1355718828194229,0.0,0.0014316929160572713,0.41841030919338695,1.5287327543772427e-05,-0.0014172651480842946,0.00026765509689076765,0.007944415239150284,0.00015293297332255888,0.43545663674664975,-0.00031599435524457404,-0.0001784541896073434,0.0003518524788126461,-0.00011373685990823417,-8.128826570259805e-05,0.00039733520876311483
Seum,-0.011756377690475162,0.39542093094934255,0.6038521992156493,0.0,-0.9566735159419535,-0.028107096762153876,-0.1811807803910156,-0.06327330930270261,-0.47194489793124905,-0.03714511124752106,-0.9838929756784888,0.0007268698350081307,-0.2459057106382649,-0.08155927160120909,-0.032249116013963845,-0.18360979875110583,-0.0912140218854846
Meis,0.002677405975348133,-0.0003968411724672391,0.9932613007020904,-0.00257158444854492,0.0,3.148670052519926e-05,0.002892742000440203,-0.0005557089103284886,-0.006407736867200539,-0.0003174964384711602,-0.3335263593461802,0.0004548648644596576,0.00021093955591035816,-0.0007305140692123674,0.0002846192032649616,0.00018664099796111513,-0.0008248304062636608
Psas,0.014935337720593338,-0.6002943278588986,0.9416095868461755,0.005662031431921967,-0.9961551375040527,0.0,-0.8210538333524523,-0.6777234035504934,-0.8757514951773213,-0.5456757786922649,0.037793044001309326,-0.00010743830513435115,-0.15460277297756078,-0.7343891334340683,-0.37288038166426507,-0.660193637341662,-0.7574134494730014
Teas,-0.3350159006397631,0.7237655396998747,-0.9695384175300346,-0.40705564944342176,-0.7708999233135027,-0.027246054041646917,0.0,0.001428921563898436,0.011717036518954903,0.0008164108982676657,0.258276136353018,-0.01983139062520774,-0.32365626986491275,0.0018768843460889595,-0.029846423360668214,-0.15018768611702937,0.00211907061989733
OL12,0.001190562492512166,-0.4260289856506367,0.8194084072134982,-0.9208976940580899,-0.9990343760610397,-0.33527508132615647,0.002059843291084862,0.0,-0.7765407270399561,-0.3725274474272273,0.17692941369914508,-0.2783888197229737,-0.8621428147747071,-0.5774076551015747,0.0004117733037598602,-0.7483674447473858,-0.6069554169905682
Tala,0.0028027567205150096,-0.9218946699896213,0.9960557800983346,-0.18514179177511364,-0.9448323315576324,-0.011841395776585818,0.0005210732087184618,-0.02278963741571193,0.0,-0.013146870433033564,-0.9743417507535153,0.00038019533150076786,-0.03576969557381661,-0.029748977600340246,0.00024019464093112848,-0.007177374981427043,-0.033485676726651356
Bola,0.0037571984405142026,0.22957855922352816,0.7626870930889693,-0.9419865410252602,-0.9995808637058891,-0.37074831259501195,0.002955079216888341,-0.6523746546944117,-0.9561502181097772,0.0,-0.9994093288795182,0.0005064237192974318,-0.4895558928163316,-0.7115600217904049,0.00035202278151738863,0.00016362352928515252,-0.7359097703946056
