,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
Acer,0.0,0.9537434684431555,-1.0555254985748866e-06,0.023328370174367626,-0.003935252539062102,-0.6432388943680696,-0.9967397019017421,-6.945413212743154e-05,0.02292816138247696,-0.2993707174846304,-0.0012827958445584195,-0.00015525779474400003,-0.4224552542680752
Seum,-0.0014373704272697505,0.0,-2.087266137497604e-09,-0.004020538458927649,-5.320513285446282e-06,0.18217823086546855,0.81782170000692,-3.849013828473908e-07,-0.011925928062443704,-0.00030408532151228544,-0.000631320316293877,6.912761138241429e-08,-0.010365489603867474
Meus,0.0008762735042486956,0.7790059313839355,0.0,-0.9949325114743682,-0.9720998500875285,0.21347098256447386,-0.9999140537963511,-0.8330851238098197,-0.9925259466279771,0.0007422225898956485,-0.028522324788335423,-0.8434272560997893,0.005904589957446243
Raer,0.005850193644999896,0.828037526505633,-0.0012940824792973431,0.0,-0.033281140428118285,-0.21238249882931312,-0.574654531343345,-0.0049023515806980895,0.1505755196902444,0.003301092351441686,-3.3489793663117754e-05,-0.005286799908259296,0.012235667807680994
Boea,0.002538341510568442,0.9587107401124468,-0.03638884897997085,0.018099499299359896,0.0,-0.8851708692035899,-0.99400439575124,-0.12556502000890032,-0.80098032842428,0.0014326660190180564,-0.21092170936500468,-0.13418264494721213,0.01921875305860678
Hyum,-3.0795321177911693e-06,0.8387396093784059,-0.00015531901217982237,0.026264105129608844,-0.004107430417181919,0.0,-0.32748639418852443,-0.0005903611635230817,0.12912191800546377,-0.002110926690550407,-0.0005525461863367386,-0.000636994933994173,0.005874367486521457
Meis,-0.00025571266168785724,0.6383600790772532,-2.3156512840788155e-09,0.01905098944338611,1.3834322962397269e-06,0.3402495151111186,0.0,-3.867564601459165e-08,-0.048913113571302555,0.0008167893762374646,-1.4823990804010572e-06,-1.0382300924377449e-07,0.001521243559708336
Brla,-0.006341062315545552,0.7381901347408137,-0.0007920403075114726,0.09148794235780093,-0.020613023736416627,0.15213706266879953,-0.6691041739291232,0.0,0.012660453884514545,0.002644886872351876,-0.002810735195751831,-0.0032420067789227266,0.0028795194757193143
Teas,0.0006827187583332567,-0.3109946319044473,-0.0003667114806669736,0.04583149076460109,-0.009641111419865038,0.9494485131421311,-0.40721909787522176,-0.0013921089180016686,0.0,0.004037277334934688,-0.0012912034688621816,-0.001501296140535255,-0.011346213703594303
Afia,-0.0011654144691825706,-0.9786361453486623,0.000150357238344814,-0.9192213393056863,0.003966512459740323,-0.9946822255563096,0.8043841461073283,0.0005711358705194387,0.1812760338439638,0.0,0.0005255152750471969,0.0006158781668004163,0.008510421038255746
Chae,-0.0029142424587173437,0.9421766622374087,-0.12742629820386514,0.04002525387023556,-0.7951374568035012,-0.9918694120816013,-0.9990521444948116,-0.3570464859393066,0.009032393492042039,-0.0015357969325572136,0.0,-0.37473143885772386,0.008765690400313657
Beae,0.01056372020317132,0.8069578423648666,-0.20541657121793433,0.05994377424508004,-0.8730141782138221,-0.9950353097427259,-0.9964383809402743,-0.49568022244636545,0.046137190287805614,-0.003687342329759975,-0.6467326486192716,0.0,0.07639747289907654
Deae,-0.1090842777173661,0.9468092312488974,0.00031662979813134543,-0.24797978072319493,0.008327354030685668,-0.10329221201445057,-0.9350809713147253,0.0012026490356416974,0.042046349139680715,-0.049278978106696646,-0.0001294362776929921,0.0012977867469631129,0.0
