Giver,Reciver,Interaction Coefficient,Sample,N Blocked
Acer,Acer,0.0,CIR_19,1
Acer,Phum,-0.6886001088257089,CIR_19,1
Acer,Meus,-0.0004534982938290317,CIR_19,1
Acer,Seum,-0.10998134758084162,CIR_19,1
Acer,Meis,0.0014976620941352962,CIR_19,1
Acer,Psas,0.0020473151360171976,CIR_19,1
Acer,Teas,-0.15104025084421588,CIR_19,1
Acer,OL12,0.003924495059298578,CIR_19,1
Acer,Tala,0.0006227630913891133,CIR_19,1
Acer,Bola,0.0029740992638844603,CIR_19,1
Acer,Hyum,-0.0007376871192493289,CIR_19,1
Acer,Afia,0.0011723237341840541,CIR_19,1
Acer,Vaax,0.001523611735704784,CIR_19,1
Acer,Neae,-0.2523543550841192,CIR_19,1
Acer,Rher,-0.06992338343245624,CIR_19,1
Acer,Spas,0.00478612382951848,CIR_19,1
Acer,Paas,0.0010493315345438147,CIR_19,1
Phum,Acer,-0.14568523089796231,CIR_19,1
Phum,Phum,0.0,CIR_19,1
Phum,Meus,-3.8548904499902844e-08,CIR_19,1
Phum,Seum,-1.4040239609291727e-05,CIR_19,1
Phum,Meis,-1.1286050798011858e-07,CIR_19,1
Phum,Psas,-0.00041219019798307367,CIR_19,1
Phum,Teas,-1.661813272936084e-05,CIR_19,1
Phum,OL12,-0.00017470006528107389,CIR_19,1
Phum,Tala,0.0007124285117477842,CIR_19,1
Phum,Bola,-0.00039321983775011986,CIR_19,1
Phum,Hyum,-0.000355046036425895,CIR_19,1
Phum,Afia,-0.0007287086631155794,CIR_19,1
Phum,Vaax,0.0004701467096122676,CIR_19,1
Phum,Neae,-0.35957428721665835,CIR_19,1
Phum,Rher,-0.19479027506683008,CIR_19,1
Phum,Spas,0.0014764657917933665,CIR_19,1
Phum,Paas,-0.00018507256321766396,CIR_19,1
Meus,Acer,-0.9842395045975108,CIR_19,1
Meus,Phum,-0.99904535029226,CIR_19,1
Meus,Meus,0.0,CIR_19,1
Meus,Seum,-0.9854935350758794,CIR_19,1
Meus,Meis,0.09376585195297592,CIR_19,1
Meus,Psas,-0.9996255815109125,CIR_19,1
Meus,Teas,-0.976628185576956,CIR_19,1
Meus,OL12,0.6528823909119298,CIR_19,1
Meus,Tala,-0.9820798986396231,CIR_19,1
Meus,Bola,-0.997786277472197,CIR_19,1
Meus,Hyum,0.993235937290812,CIR_19,1
Meus,Afia,0.3829204510382192,CIR_19,1
Meus,Vaax,-0.9937372167113934,CIR_19,1
Meus,Neae,-0.9991989361916938,CIR_19,1
Meus,Rher,0.9847007311861118,CIR_19,1
Meus,Spas,-0.9570406058788475,CIR_19,1
Meus,Paas,-0.9986878719445067,CIR_19,1
Seum,Acer,-0.20936498222062638,CIR_19,1
Seum,Phum,0.000718004055436308,CIR_19,1
Seum,Meus,0.0015041487990793538,CIR_19,1
Seum,Seum,0.0,CIR_19,1
Seum,Meis,0.001785337083516334,CIR_19,1
Seum,Psas,0.0008741091690942191,CIR_19,1
Seum,Teas,-0.43731012456016133,CIR_19,1
Seum,OL12,0.008836215990779491,CIR_19,1
Seum,Tala,-0.24933065953181013,CIR_19,1
Seum,Bola,-0.4186337680636441,CIR_19,1
Seum,Hyum,-0.0011272769460549596,CIR_19,1
Seum,Afia,-0.5381399567387393,CIR_19,1
Seum,Vaax,-0.32008705376095814,CIR_19,1
Seum,Neae,0.0020259439602025066,CIR_19,1
Seum,Rher,-0.18705028534819984,CIR_19,1
Seum,Spas,-0.6665746365044914,CIR_19,1
Seum,Paas,0.00035433257402925876,CIR_19,1
Meis,Acer,0.33986197093052295,CIR_19,1
Meis,Phum,-0.9994817906063579,CIR_19,1
Meis,Meus,0.5117362420615973,CIR_19,1
Meis,Seum,0.01673100403556138,CIR_19,1
Meis,Meis,0.0,CIR_19,1
Meis,Psas,-0.9987738303636526,CIR_19,1
Meis,Teas,-0.9768279630747392,CIR_19,1
Meis,OL12,-0.9983675769485435,CIR_19,1
Meis,Tala,0.45109802090542844,CIR_19,1
Meis,Bola,-0.9992166484931259,CIR_19,1
Meis,Hyum,-0.1988897786378255,CIR_19,1
Meis,Afia,-0.9996295057102041,CIR_19,1
Meis,Vaax,0.2789356787463424,CIR_19,1
Meis,Neae,-0.9726855337940677,CIR_19,1
Meis,Rher,-0.9938657622842849,CIR_19,1
Meis,Spas,0.9839363409607603,CIR_19,1
Meis,Paas,-0.9983970651068901,CIR_19,1
Psas,Acer,-0.075608515485484,CIR_19,1
Psas,Phum,-0.3894197061494079,CIR_19,1
Psas,Meus,2.280477209139727e-05,CIR_19,1
Psas,Seum,-0.03214935995623859,CIR_19,1
Psas,Meis,-0.00017184389363480022,CIR_19,1
Psas,Psas,0.0,CIR_19,1
Psas,Teas,-0.02665482947839148,CIR_19,1
Psas,OL12,-0.29449716484453053,CIR_19,1
Psas,Tala,-0.009646007014598326,CIR_19,1
Psas,Bola,-0.4476579813020172,CIR_19,1
Psas,Hyum,-5.679217075252972e-05,CIR_19,1
Psas,Afia,3.193643634335092e-05,CIR_19,1
Psas,Vaax,-0.018057357194657127,CIR_19,1
Psas,Neae,-0.10089100544569261,CIR_19,1
Psas,Rher,-0.08819308893691925,CIR_19,1
Psas,Spas,-0.0898763784696019,CIR_19,1
Psas,Paas,-0.22872243786425825,CIR_19,1
Teas,Acer,-0.6600540276387203,CIR_19,1
Teas,Phum,-0.11271898651834804,CIR_19,1
Teas,Meus,-0.0008516263273556062,CIR_19,1
Teas,Seum,-0.503971736929128,CIR_19,1
Teas,Meis,0.002191207494053592,CIR_19,1
Teas,Psas,0.0018610078755485055,CIR_19,1
Teas,Teas,0.0,CIR_19,1
Teas,OL12,0.016253066232962268,CIR_19,1
Teas,Tala,-0.2528015230053732,CIR_19,1
Teas,Bola,0.004254566826806038,CIR_19,1
Teas,Hyum,0.002648501985378439,CIR_19,1
Teas,Afia,0.002135902771015064,CIR_19,1
Teas,Vaax,-0.5124745266316718,CIR_19,1
Teas,Neae,-0.4588625893120091,CIR_19,1
Teas,Rher,-0.2911621029089171,CIR_19,1
Teas,Spas,-0.4280920723763909,CIR_19,1
Teas,Paas,-0.3912962360824308,CIR_19,1
OL12,Acer,-0.00010629961759627748,CIR_19,1
OL12,Phum,-0.5983040660272773,CIR_19,1
OL12,Meus,-1.1313335189821563e-07,CIR_19,1
OL12,Seum,0.0009001998871342934,CIR_19,1
OL12,Meis,-0.000546946509571223,CIR_19,1
OL12,Psas,-0.679869436673043,CIR_19,1
OL12,Teas,0.0006872206520443303,CIR_19,1
OL12,OL12,0.0,CIR_19,1
OL12,Tala,-3.450964030081562e-05,CIR_19,1
OL12,Bola,-0.6543341589300855,CIR_19,1
OL12,Hyum,-3.0814965032745126e-07,CIR_19,1
OL12,Afia,-0.7528767521333007,CIR_19,1
OL12,Vaax,0.0006579441797781228,CIR_19,1
OL12,Neae,-0.44012666910540155,CIR_19,1
OL12,Rher,-0.2530831224347839,CIR_19,1
OL12,Spas,0.0020661370956189186,CIR_19,1
OL12,Paas,-0.40916535000201104,CIR_19,1
Tala,Acer,0.01748486429800627,CIR_19,1
Tala,Phum,0.0006699254861333224,CIR_19,1
Tala,Meus,-0.0018757048624720278,CIR_19,1
Tala,Seum,-0.4825957892917259,CIR_19,1
Tala,Meis,0.00394231549941765,CIR_19,1
Tala,Psas,-0.7189343027309005,CIR_19,1
Tala,Teas,-0.4046788101455298,CIR_19,1
Tala,OL12,0.0008029529491231626,CIR_19,1
Tala,Tala,0.0,CIR_19,1
Tala,Bola,-0.8499548275722717,CIR_19,1
Tala,Hyum,0.0024442209512310913,CIR_19,1
Tala,Afia,-0.9127918623119391,CIR_19,1
Tala,Vaax,-0.5638616004961097,CIR_19,1
Tala,Neae,8.870937239720271e-05,CIR_19,1
Tala,Rher,-0.6779065131542356,CIR_19,1
Tala,Spas,-0.6508936538014707,CIR_19,1
Tala,Paas,-0.38062630387014873,CIR_19,1
Bola,Acer,-3.680021248463565e-05,CIR_19,1
Bola,Phum,-0.45967401484705517,CIR_19,1
Bola,Meus,-4.388857655572049e-08,CIR_19,1
Bola,Seum,0.0005144291909948322,CIR_19,1
Bola,Meis,-0.00031247543742901715,CIR_19,1
Bola,Psas,-0.5481235347324347,CIR_19,1
Bola,Teas,0.0003927140409012102,CIR_19,1
Bola,OL12,-0.3736730413485965,CIR_19,1
Bola,Tala,-9.51830210372027e-06,CIR_19,1
Bola,Bola,0.0,CIR_19,1
Bola,Hyum,-7.116441864830226e-08,CIR_19,1
Bola,Afia,-0.6350219589883025,CIR_19,1
Bola,Vaax,0.00037602369370368766,CIR_19,1
Bola,Neae,-0.30989455014588285,CIR_19,1
Bola,Rher,-0.16215792087236072,CIR_19,1
Bola,Spas,0.001180805028164648,CIR_19,1
Bola,Paas,-0.2834575104260762,CIR_19,1
Hyum,Acer,0.6423244279945076,CIR_19,1
Hyum,Phum,0.9973538909760463,CIR_19,1
Hyum,Meus,0.48650243109542507,CIR_19,1
Hyum,Seum,0.980182235467245,CIR_19,1
Hyum,Meis,0.894029120772908,CIR_19,1
