Sample,Metabolite,Yield,N Blocked
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.49,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.49,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.2,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.49,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.49,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.49,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.2,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.21,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.2,1
CIR_19,CO2,0.47,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.2,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.49,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.49,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.48,1
CIR_19,Biomass,0.67,1
CIR_19,O2,1.22,1
CIR_19,CO2,0.49,1
CIR_19,Biomass,0.67,7
CIR_19,O2,1.2,7
CIR_19,CO2,0.47,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.22,7
CIR_19,CO2,0.49,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.2,7
CIR_19,CO2,0.47,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.2,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.21,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.22,7
CIR_19,CO2,0.49,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.22,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.21,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.2,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.22,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.22,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.22,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.22,7
CIR_19,CO2,0.49,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.2,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.2,7
CIR_19,CO2,0.47,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.22,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.22,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.22,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.2,7
CIR_19,CO2,0.47,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.21,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.21,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.2,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.22,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.2,7
CIR_19,CO2,0.48,7
CIR_19,Biomass,0.67,7
CIR_19,O2,1.21,7
CIR_19,CO2,0.48,7
